Saturday,FR,DE,IT,PL,ES,UK,CA
,1.071811361,0.643086817,0.535905681,1.143265452,0.571632726,0.643086817,0.199283
,1.071811361,0.643086817,0.535905681,1.143265452,0.571632726,0.643086817,0.039857
,1.071811361,0.643086817,0.535905681,1.143265452,0.571632726,0.643086817,0.11957
,1.071811361,0.643086817,0.535905681,1.143265452,0.571632726,0.643086817,0.000001
,1.071811361,0.643086817,0.535905681,1.143265452,0.571632726,0.643086817,0.239139
,1.071811361,0.643086817,0.535905681,1.143265452,0.571632726,0.643086817,0.358709
,1.071811361,0.643086817,0.535905681,1.143265452,0.571632726,0.643086817,1.076126
,1.071811361,0.643086817,0.535905681,1.143265452,0.571632726,0.643086817,2.032682
,1.071811361,0.643086817,0.535905681,1.143265452,0.571632726,0.643086817,4.46393
,8.360128617,7.288317256,10.3965702,7.18113612,6.002143623,9.271168274,7.413312
,8.360128617,7.288317256,10.3965702,7.18113612,6.002143623,9.271168274,8.489438
,8.360128617,7.288317256,10.3965702,7.18113612,6.002143623,9.271168274,9.366281
,8.102893891,8.938906752,7.073954984,8.424437299,8.553054662,9.678456592,10.203268
,8.102893891,8.938906752,7.073954984,8.424437299,8.553054662,9.678456592,9.84456
,8.102893891,8.938906752,7.073954984,8.424437299,8.553054662,9.678456592,9.406138
,8.102893891,8.938906752,7.073954984,8.424437299,8.553054662,9.678456592,8.130729
,8.102893891,8.938906752,7.073954984,8.424437299,8.553054662,9.678456592,7.772021
,8.360128617,7.717041801,8.360128617,7.556270096,8.520900322,4.421221865,6.97489
,8.360128617,7.717041801,8.360128617,7.556270096,8.520900322,4.421221865,4.424073
,1.736334405,2.443729904,2.443729904,2.250803859,3.536977492,1.832797428,3.6668
,1.736334405,2.443729904,2.443729904,2.250803859,3.536977492,1.832797428,2.7501
,1.736334405,2.443729904,2.443729904,2.250803859,3.536977492,1.832797428,1.873256
,1.736334405,2.443729904,2.443729904,2.250803859,3.536977492,1.832797428,0.79713
,1.736334405,2.443729904,2.443729904,2.250803859,3.536977492,1.832797428,0.358709
