,Charging Profile
0,464.9647137
1,326.9068868
2,275.459111
3,281.2142626
4,222.8912273
5,215.5886702
6,170.8398272
7,159.4586494
8,167.236667
9,170.0354714
10,245.9500465
11,314.6042741
12,325.064644
13,387.1547273
14,341.5757614
15,324.073163
16,294.7179265
17,333.2303172
18,294.6064542
19,350.0131467
20,348.6583724
21,379.2685463
22,468.4317223
23,538.7268936
24,212.4721277
25,160.1661613
26,131.4187172
27,143.7833087
28,136.5912663
29,116.1501046
30,294.0742786
31,612.4520029
32,640.4663731
33,590.2064193
34,407.7357057
35,330.3593912
36,252.2656195
37,181.9528357
38,177.7920523
39,282.8644213
40,440.4919918
41,569.2599166
42,642.9513982
43,677.9881246
44,422.2859382
45,299.6294355
46,295.4846204
47,316.1628145
48,212.4721277
49,160.1661613
50,131.4187172
51,143.7833087
52,136.5912663
53,116.1501046
54,294.0742786
55,612.4520029
56,640.4663731
57,590.2064193
58,407.7357057
59,330.3593912
60,252.2656195
61,181.9528357
62,177.7920523
63,282.8644213
64,440.4919918
65,569.2599166
66,642.9513982
67,677.9881246
68,422.2859382
69,299.6294355
70,295.4846204
71,316.1628145
72,212.4721277
73,160.1661613
74,131.4187172
75,143.7833087
76,136.5912663
77,116.1501046
78,294.0742786
79,612.4520029
80,640.4663731
81,590.2064193
82,407.7357057
83,330.3593912
84,252.2656195
85,181.9528357
86,177.7920523
87,282.8644213
88,440.4919918
89,569.2599166
90,642.9513982
91,677.9881246
92,422.2859382
93,299.6294355
94,295.4846204
95,316.1628145
96,173.2327156
97,161.9191625
98,220.6469283
99,205.5551673
100,234.3967959
101,192.9450647
102,340.9618531
103,562.5645358
104,603.4991749
105,554.2139535
106,523.1657253
107,405.7465787
108,283.7764343
109,195.4771754
110,161.3260977
111,320.4371953
112,460.8043792
113,611.965543
114,626.0231683
115,584.8192319
116,455.5932041
117,363.0121459
118,312.0071325
119,300.6004942
120,464.9647137
121,326.9068868
122,275.459111
123,281.2142626
124,222.8912273
125,215.5886702
126,170.8398272
127,159.4586494
128,167.236667
129,170.0354714
130,245.9500465
131,314.6042741
132,325.064644
133,387.1547273
134,341.5757614
135,324.073163
136,294.7179265
137,333.2303172
138,294.6064542
139,350.0131467
140,348.6583724
141,379.2685463
142,468.4317223
143,538.7268936
144,207.1981254
145,146.1402461
146,162.8172611
147,117.4459152
148,115.3609341
149,184.9423299
150,324.2270721
151,583.8745348
152,703.9563083
153,708.1227106
154,514.6012594
155,336.9974987
156,249.3391782
157,182.5636444
158,161.6817319
159,269.4424956
160,396.2119893
161,528.239248
162,641.3655628
163,555.3730658
164,426.9700546
165,346.5317107
166,313.617835
167,333.0596675
168,173.2327156
169,161.9191625
170,220.6469283
171,205.5551673
172,234.3967959
173,192.9450647
174,340.9618531
175,562.5645358
176,603.4991749
177,554.2139535
178,523.1657253
179,405.7465787
180,283.7764343
181,195.4771754
182,161.3260977
183,320.4371953
184,460.8043792
185,611.965543
186,626.0231683
187,584.8192319
188,455.5932041
189,363.0121459
190,312.0071325
191,300.6004942
192,212.4721277
193,160.1661613
194,131.4187172
195,143.7833087
196,136.5912663
197,116.1501046
198,294.0742786
199,612.4520029
200,640.4663731
201,590.2064193
202,407.7357057
203,330.3593912
204,252.2656195
205,181.9528357
206,177.7920523
207,282.8644213
208,440.4919918
209,569.2599166
210,642.9513982
211,677.9881246
212,422.2859382
213,299.6294355
214,295.4846204
215,316.1628145
216,212.4721277
217,160.1661613
218,131.4187172
219,143.7833087
220,136.5912663
221,116.1501046
222,294.0742786
223,612.4520029
224,640.4663731
225,590.2064193
226,407.7357057
227,330.3593912
228,252.2656195
229,181.9528357
230,177.7920523
231,282.8644213
232,440.4919918
233,569.2599166
234,642.9513982
235,677.9881246
236,422.2859382
237,299.6294355
238,295.4846204
239,316.1628145
240,212.4721277
241,160.1661613
242,131.4187172
243,143.7833087
244,136.5912663
245,116.1501046
246,294.0742786
247,612.4520029
248,640.4663731
249,590.2064193
250,407.7357057
251,330.3593912
252,252.2656195
253,181.9528357
254,177.7920523
255,282.8644213
256,440.4919918
257,569.2599166
258,642.9513982
259,677.9881246
260,422.2859382
261,299.6294355
262,295.4846204
263,316.1628145
264,173.2327156
265,161.9191625
266,220.6469283
267,205.5551673
268,234.3967959
269,192.9450647
270,340.9618531
271,562.5645358
272,603.4991749
273,554.2139535
274,523.1657253
275,405.7465787
276,283.7764343
277,195.4771754
278,161.3260977
279,320.4371953
280,460.8043792
281,611.965543
282,626.0231683
283,584.8192319
284,455.5932041
285,363.0121459
286,312.0071325
287,300.6004942
288,173.2327156
289,161.9191625
290,220.6469283
291,205.5551673
292,234.3967959
293,192.9450647
294,340.9618531
295,562.5645358
296,603.4991749
297,554.2139535
298,523.1657253
299,405.7465787
300,283.7764343
301,195.4771754
302,161.3260977
303,320.4371953
304,460.8043792
305,611.965543
306,626.0231683
307,584.8192319
308,455.5932041
309,363.0121459
310,312.0071325
311,300.6004942
312,212.4721277
313,160.1661613
314,131.4187172
315,143.7833087
316,136.5912663
317,116.1501046
318,294.0742786
319,612.4520029
320,640.4663731
321,590.2064193
322,407.7357057
323,330.3593912
324,252.2656195
325,181.9528357
326,177.7920523
327,282.8644213
328,440.4919918
329,569.2599166
330,642.9513982
331,677.9881246
332,422.2859382
333,299.6294355
334,295.4846204
335,316.1628145
336,173.2327156
337,161.9191625
338,220.6469283
339,205.5551673
340,234.3967959
341,192.9450647
342,340.9618531
343,562.5645358
344,603.4991749
345,554.2139535
346,523.1657253
347,405.7465787
348,283.7764343
349,195.4771754
350,161.3260977
351,320.4371953
352,460.8043792
353,611.965543
354,626.0231683
355,584.8192319
356,455.5932041
357,363.0121459
358,312.0071325
359,300.6004942
360,464.9647137
361,326.9068868
362,275.459111
363,281.2142626
364,222.8912273
365,215.5886702
366,170.8398272
367,159.4586494
368,167.236667
369,170.0354714
370,245.9500465
371,314.6042741
372,325.064644
373,387.1547273
374,341.5757614
375,324.073163
376,294.7179265
377,333.2303172
378,294.6064542
379,350.0131467
380,348.6583724
381,379.2685463
382,468.4317223
383,538.7268936
384,212.4721277
385,160.1661613
386,131.4187172
387,143.7833087
388,136.5912663
389,116.1501046
390,294.0742786
391,612.4520029
392,640.4663731
393,590.2064193
394,407.7357057
395,330.3593912
396,252.2656195
397,181.9528357
398,177.7920523
399,282.8644213
400,440.4919918
401,569.2599166
402,642.9513982
403,677.9881246
404,422.2859382
405,299.6294355
406,295.4846204
407,316.1628145
408,212.4721277
409,160.1661613
410,131.4187172
411,143.7833087
412,136.5912663
413,116.1501046
414,294.0742786
415,612.4520029
416,640.4663731
417,590.2064193
418,407.7357057
419,330.3593912
420,252.2656195
421,181.9528357
422,177.7920523
423,282.8644213
424,440.4919918
425,569.2599166
426,642.9513982
427,677.9881246
428,422.2859382
429,299.6294355
430,295.4846204
431,316.1628145
432,212.4721277
433,160.1661613
434,131.4187172
435,143.7833087
436,136.5912663
437,116.1501046
438,294.0742786
439,612.4520029
440,640.4663731
441,590.2064193
442,407.7357057
443,330.3593912
444,252.2656195
445,181.9528357
446,177.7920523
447,282.8644213
448,440.4919918
449,569.2599166
450,642.9513982
451,677.9881246
452,422.2859382
453,299.6294355
454,295.4846204
455,316.1628145
456,173.2327156
457,161.9191625
458,220.6469283
459,205.5551673
460,234.3967959
461,192.9450647
462,340.9618531
463,562.5645358
464,603.4991749
465,554.2139535
466,523.1657253
467,405.7465787
468,283.7764343
469,195.4771754
470,161.3260977
471,320.4371953
472,460.8043792
473,611.965543
474,626.0231683
475,584.8192319
476,455.5932041
477,363.0121459
478,312.0071325
479,300.6004942
480,212.4721277
481,160.1661613
482,131.4187172
483,143.7833087
484,136.5912663
485,116.1501046
486,294.0742786
487,612.4520029
488,640.4663731
489,590.2064193
490,407.7357057
491,330.3593912
492,252.2656195
493,181.9528357
494,177.7920523
495,282.8644213
496,440.4919918
497,569.2599166
498,642.9513982
499,677.9881246
500,422.2859382
501,299.6294355
502,295.4846204
503,316.1628145
504,212.4721277
505,160.1661613
506,131.4187172
507,143.7833087
508,136.5912663
509,116.1501046
510,294.0742786
511,612.4520029
512,640.4663731
513,590.2064193
514,407.7357057
515,330.3593912
516,252.2656195
517,181.9528357
518,177.7920523
519,282.8644213
520,440.4919918
