tech,flag,category,sub_category,unlim_cap,annual,description,notes
T_LDV_C_GSL_EX,p,cars,gasoline,,1,Existing light-duty car (gasoline),Vehicle class corresponds to “Cars” from NRCan Comprehensive Energy Use Database.
T_LDV_C_DSL_EX,p,cars,diesel,,1,Existing light-duty car (diesel),Vehicle class corresponds to “Cars” from NRCan Comprehensive Energy Use Database.
T_LDV_C_BEV150_EX,p,cars,bev_150_miles,,,"Existing light-duty car (battery electric, 150-mile range)",Vehicle class corresponds to “Cars” from NRCan Comprehensive Energy Use Database.
T_LDV_C_GSL_HEV_EX,p,cars,hev,,1,"Existing light-duty car (gasoline, hybrid electric)",Vehicle class corresponds to “Cars” from NRCan Comprehensive Energy Use Database. Existing hybrids are assumed to run only on gasoline.
T_LDV_C_GSL_PHEV35_EX,p,cars,phev_35_miles,,,"Existing light-duty car (gasoline, plug-in hybrid)",Vehicle class corresponds to “Cars” from NRCan Comprehensive Energy Use Database. Existing hybrids are assumed to run only on gasoline.
T_LDV_LTP_GSL_EX,p,passenger_light_trucks,gasoline,,1,Existing light-duty passenger truck (gasoline),"Vehicle class corresponds to “Passenger Light Trucks” from NRCan Comprehensive Energy Use Database; a truck up to 8500 lb of gross weight (classes 1 and 2), including pickup trucks, vans and SUVs. "
T_LDV_LTP_DSL_EX,p,passenger_light_trucks,diesel,,1,Existing light-duty passenger truck (diesel),"Vehicle class corresponds to “Passenger Light Trucks” from NRCan Comprehensive Energy Use Database; a truck up to 8500 lb of gross weight (classes 1 and 2), including pickup trucks, vans and SUVs. "
T_LDV_LTP_BEV300_EX,p,passenger_light_trucks,bev_300_miles,,,"Existing light-duty passenger truck (battery electric, 300-mile range)","Vehicle class corresponds to “Passenger Light Trucks” from NRCan Comprehensive Energy Use Database; a truck up to 8500 lb of gross weight (classes 1 and 2), including pickup trucks, vans and SUVs. "
T_LDV_LTP_GSL_HEV_EX,p,passenger_light_trucks,hev,,1,"Existing light-duty passenger truck (gasoline, hybrid electric)","Vehicle class corresponds to “Passenger Light Trucks” from NRCan Comprehensive Energy Use Database; a truck up to 8500 lb of gross weight (classes 1 and 2), including pickup trucks, vans and SUVs. Existing hybrids are assumed to run only on gasoline. "
T_LDV_LTP_GSL_PHEV35_EX,p,passenger_light_trucks,phev_35_miles,,,"Existing light-duty passenger truck (gasoline, plug-in hybrid)","Vehicle class corresponds to “Passenger Light Trucks” from NRCan Comprehensive Energy Use Database; a truck up to 8500 lb of gross weight (classes 1 and 2), including pickup trucks, vans and SUVs. Existing hybrids are assumed to run only on gasoline. "
T_LDV_LTF_GSL_EX,p,freight_light_trucks,gasoline,,1,Existing light-duty freight truck (gasoline),"Vehicle class corresponds to “Freight Light Trucks” from NRCan Comprehensive Energy Use Database; a truck up to 8500 lb of gross weight (classes 1 and 2), including pickup trucks and vans."
T_LDV_LTF_DSL_EX,p,freight_light_trucks,diesel,,1,Existing light-duty freight truck (diesel),"Vehicle class corresponds to “Freight Light Trucks” from NRCan Comprehensive Energy Use Database; a truck up to 8500 lb of gross weight (classes 1 and 2), including pickup trucks and vans."
T_LDV_LTF_GSL_HEV_EX,p,freight_light_trucks,hev,,1,"Existing light-duty freight truck (gasoline, hybrid electric)","Vehicle class corresponds to “Freight Light Trucks” from NRCan Comprehensive Energy Use Database; a truck up to 8500 lb of gross weight (classes 1 and 2), including pickup trucks and vans. Existing hybrids are assumed to run only on gasoline. "
T_LDV_LTF_GSL_PHEV35_EX,p,freight_light_trucks,phev_35_miles,,,"Existing light-duty freight truck (gasoline, plug-in hybrid electric)","Vehicle class corresponds to “Freight Light Trucks” from NRCan Comprehensive Energy Use Database; a truck up to 8500 lb of gross weight (classes 1 and 2), including pickup trucks and vans. Existing hybrids are assumed to run only on gasoline. "
T_MDV_T_GSL_EX,p,medium_trucks,gasoline,,1,Existing medium-duty freight truck (gasoline),"Vehicle class corresponds to “Medium Trucks” from NRCan Comprehensive Energy Use Database; a truck with a gross weight from 8,501 to 33,000 lb (classes 2b to 7), including pickup trucks and vans."
T_MDV_T_DSL_EX,p,medium_trucks,diesel,,1,Existing medium-duty freight truck (diesel),"Vehicle class corresponds to “Medium Trucks” from NRCan Comprehensive Energy Use Database; a truck with a gross weight from 8,501 to 33,000 lb (classes 2b to 7), including pickup trucks and vans."
T_HDV_T_DSL_EX,p,heavy_trucks,diesel,,1,Existing heavy-duty freight truck (diesel),"Vehicle class corresponds to “Heavy Trucks” from NRCan Comprehensive Energy Use Database; a truck with a gross weight of more than 33,000 lb (class 8). "
T_LDV_M_GSL_EX,p,motorcycles,gasoline,,1,Existing light-duty motorbike (gasoline),Vehicle class corresponds to “Motorcycles” from NRCan Comprehensive Energy Use Database; excluding other 2-wheel vehicles like mopeds and scooters.
T_HDV_BS_GSL_EX,p,school_buses,gasoline,,1,Existing school and employee bus (gasoline),Vehicle class corresponds to “School Bus” from NRCan Comprehensive Energy Use Database.
T_HDV_BS_DSL_EX,p,school_buses,diesel,,1,Existing school and employee bus (diesel),Vehicle class corresponds to “School Bus” from NRCan Comprehensive Energy Use Database.
T_HDV_BS_CNG_EX,p,school_buses,cng,,1,Existing school and employee bus (compressed natural gas),Vehicle class corresponds to “School Bus” from NRCan Comprehensive Energy Use Database.
T_HDV_BT_GSL_EX,p,urban_transit,gasoline,,1,Existing urban transit bus (gasoline),"Vehicle class corresponds to “Urban Transit” from NRCan Comprehensive Energy Use Database; excluding commuter rails, subways, streetcars."
T_HDV_BT_DSL_EX,p,urban_transit,diesel,,1,Existing urban transit bus (diesel),"Vehicle class corresponds to “Urban Transit” from NRCan Comprehensive Energy Use Database; excluding commuter rails, subways, streetcars."
T_HDV_BT_CNG_EX,p,urban_transit,cng,,1,Existing urban transit bus (compressed natural gas),"Vehicle class corresponds to “Urban Transit” from NRCan Comprehensive Energy Use Database; excluding commuter rails, subways, streetcars."
T_HDV_BT_BEV_EX,p,urban_transit,bev,,,Existing urban transit bus (battery electric),"Vehicle class corresponds to “Urban Transit” from NRCan Comprehensive Energy Use Database; excluding commuter rails, subways, streetcars. Electricity consumption of this technology is assumed to come exclusively from battery electric powertrains."
T_HDV_BIC_GSL_EX,p,inter_city_buses,gasoline,,1,Existing inter-city bus (gasoline),Vehicle class corresponds to “Inter-City Bus” from NRCan Comprehensive Energy Use Database.
T_HDV_BIC_DSL_EX,p,inter_city_buses,diesel,,1,Existing inter-city bus (diesel),Vehicle class corresponds to “Inter-City Bus” from NRCan Comprehensive Energy Use Database.
T_HDV_AJP_JFL_EX,p,passenger_air,jet fuel,,1,Existing jet passenger aircraft (jet fuel),Vehicle class corresponds to “Passenger Air Transportation” from NRCan Comprehensive Energy Use Database; excluding non-commercial aviation.
T_HDV_AJF_JFL_EX,p,freight_air,jet fuel,,1,Existing jet freight aircraft (jet fuel),Vehicle class corresponds to “Freight Air Transportation” from NRCan Comprehensive Energy Use Database.
