Model,Total 2021 Sales
Honda Civic,43556
Toyota Corolla,40019
Hyundai Elantra,26312
Tesla Model 3,15511
Kia Forte,14428
Volkswagen Jetta,12585
Toyota Camry,11896
Mazda3,11804
Nissan Sentra,10017
Kia Soul,7344
Toyota Prius,6718
Volkswagen Golf,6620
Honda Accord,6403
Chevrolet Spark,6145
Kia Rio,5323
Subaru Impreza,4416
BMW 3-Series,4348
Ford Mustang,4224
Hyundai Sonata,4121
Hyundai Ioniq,3459
Subaru WRX,3278
Mercedes C-Class,3010
Mercedes A-Class,2995
Nissan Versa,2897
Mini Cooper,2704
Audi A5,2620
Acura TLX,2450
Chevrolet Corvette,2262
Volkswagen Passat,2153
Lexus IS,2118
BMW 2-Series,2045
Volkswagen GTI,1969
Dodge Charger,1924
Mercedes E-Class,1828
BMW 4-Series,1798
Lexus ES,1699
Chevrolet Malibu,1615
Dodge Challenger,1563
Audi A4,1503
Mazda6,1411
Volvo 60 Series,1372
Porsche 911,1364
Kia K5,1335
Kia Stinger,1229
Nissan Leaf,1224
Nissan Altima,1218
Chevrolet Camaro,1196
Genesis G70,1160
Mazda Miata,1016
Infiniti Q50,1001
Subaru Legacy,950
BMW 5-Series,940
Cadillac CT5,925
Mitsubishi Mirage,911
Ford Fusion,907
Acura ILX,870
Chrysler 300 Series,795
Audi A6,763
Hyundai Veloster,734
Porsche Taycan,732
Cadillac CT4,727
Mercedes S-Class,543
BMW 8-Series,532
Nissan Maxima,487
Subaru BRZ,438
Audi A3,425
Toyota Supra,410
Audi A7,390
Porsche Boxster,390
Honda Fit,361
Infiniti Q60,307
Porsche Panamera,305
Volkswagen Arteon,290
Toyota Yaris,283
Genesis G80,277
Tesla Model S,276
Honda Insight,251
Mercedes GT,250
Porsche Cayman,250
Honda Clarity,248
Lexus RC,220
Audi e-Tron GT,210
BMW Z4,209
Polestar 2,209
Alfa Romeo Giulia,200
Lexus LC,194
Audi TT,191
Volvo 90 Series,184
BMW 7-Series,180
BMW i3,177
Jaguar F-Type,171
Toyota Avalon,167
Audi R8,146
Toyota Mirai,128
Maserati Ghibli,110
Toyota 86,76
Audi A8,69
Jaguar XF,62
Genesis G90,57
Fiat 124 Spider,55
Nissan GT-R,54
Maserati Quattroporte,45
Lexus LS,39
Lincoln MKZ,35
Mercedes SL,25
Acura NSX,23
Buick Regal,22
Mercedes SLC,20
Nissan 370Z,19
Ford GT,15
Lincoln Continental,15
Chevrolet Cruze,12
Alfa Romeo 4C,12
Polestar 1,12
Chevrolet Impala,11
Cadillac CTS,9
Buick LaCrosse,8
Lucid Air,6
Maserati GranTurismo Convertible,6
Volkswagen Beetle Cabrio,4
Cadillac XTS,3
Acura RLX,3
Kia Optima,3
Fiat 500,3
Fiat 500L,3
Cadillac CT6,2
Maserati GranTurismo,2
Lexus GS,2
Toyota Prius C,2
Jaguar XE,1
Maserati MC20,1
