Model,Total 2021 Sales
Ford F-Series Light-Duty,111332
Ram Pickup Light-Duty,72419
Toyota RAV4,57899
GMC Sierra,53757
Chevrolet Silverado Light-Duty,51684
Honda CR-V,50935
Hyundai Kona,31101
Mazda CX-5,26571
Ford Escape,25960
Nissan Rogue,23541
Subaru Crosstrek,23342
Jeep Wrangler,20026
Toyota Highlander,19885
Jeep Grand Cherokee,19433
Volkswagen Tiguan,19032
Hyundai Tucson,18760
Nissan Kicks,18750
Ford Explorer,16388
Toyota Tacoma,14878
Kia Seltos,14436
Tesla Model Y,14386
Ford Transit Van,14328
Nissan Qashqai,11972
Toyota Sienna,11868
Kia Sportage,11837
Ford Edge,11830
Honda HR-V,11616
Hyundai Venue,11548
Mazda CX-30,11407
Subaru Outback,11264
Ford Ranger,11201
Ford Bronco Sport,11094
Kia Sorento,10275
Hyundai Santa Fe,10064
Audi Q5,9969
Subaru Forester,9823
Lexus RX,9809
Mitsubishi Outlander,9509
Jeep Cherokee,9233
Mitsubishi RVR,8704
Chevrolet Equinox,8675
Volkswagen Atlas,8436
Toyota 4Runner,8293
Toyota C-HR,8176
Acura RDX,7976
Audi Q3,7666
Chevrolet Trailblazer,7641
BMW X3,7506
Honda Pilot,7398
Lexus NX,7283
GMC Terrain,7235
Mercedes GLE,6998
Buick Encore GX,6959
Mercedes GLC,6887
Nissan Murano,6853
Hyundai Palisade,6739
Hyundai Tucson,6727
Toyota Tundra,6653
Nissan Rogue Sport,6385
Toyota Venza,6250
Dodge Caravan ,6113
Jeep Compass,5931
Hyundai Santa Fe,5882
Dodge Durango,5763
BMW X5,5686
Chevrolet Colorado,5571
Mazda CX-3,5314
GMC Yukon,5220
Acura MDX,5082
Volkswagen Atlas Cross Sport ,5055
Ford Expedition,4876
GMC Canyon,4866
Jeep Gladiator,4724
Chevrolet Traverse,4704
Chevrolet Tahoe,4593
Mazda CX-9,4530
Mitsubishi Eclipse Cross,4520
Chrysler Pacifica,4505
Kia Niro,4403
Ford Mustang Mach-E,4352
Cadillac XT5,4341
Buick Envision,4292
Kia Telluride,4270
Ford Bronco,4261
Honda Odyssey,4126
Kia Carnival,4125
Mercedes Sprinter Van,4070
Toyota RAV4,4035
Porsche Macan,3657
Volkswagen Taos,3619
Chevrolet Bolt,3578
Honda Ridgeline,3491
GMC Acadia,3485
Chevrolet Blazer,3419
Volvo XC60,3397
Subaru Ascent,3359
Ford Econoline,3336
Volvo XC40,3296
Lexus UX,3284
Nissan Pathfinder,3243
GMC Yukon XL,3118
Ram Promaster,3008
Ford EcoSport,2966
Nissan NV200,2872
Honda Passport,2869
Volvo XC90,2855
Mercedes GLB,2774
Chrysler Grand Caravan,2721
Cadillac Escalade,2692
Audi Q7,2638
BMW X1,2602
Land Rover Range Rover Sport,2561
Lincoln Corsair,2503
Porsche Cayenne,2443
Mercedes GLA,2417
Chevrolet Suburban,2381
GMC Savana Cargo,2320
Ford Transit Connect,2272
Chevrolet Trax,2232
Cadillac XT4,2202
Buick Enclave,2169
Infiniti QX50,2158
Mercedes GLS,2129
Lincoln Aviator,2043
Buick Encore,1902
Land Rover Defender,1777
Chevrolet Express Cargo,1719
Nissan Frontier,1714
Lincoln Nautilus,1625
Cadillac XT6,1623
BMW X4,1564
Genesis GV80,1553
Mini Countryman,1540
Genesis GV70,1522
Ford Maverick,1504
Audi Q8,1473
Land Rover Range Rover,1441
Jaguar F-Pace,1428
Mercedes G-Class,1367
Lincoln Navigator,1311
Land Rover Velar,1255
BMW X6,1210
Chevrolet Bolt EUV,1090
Infiniti QX60,1040
BMW X7,954
Hyundai Santa Cruz,930
Mercedes Metris,927
BMW X2,900
Land Rover Evoque,879
Toyota Corolla Cross,867
Infiniti QX80,847
Cadillac Escalade ESV,750
Audi e-Tron,727
Alfa Romeo Stelvio,707
Nissan Armada,595
Land Rover Discovery Sport,569
Volkswagen ID.4,536
Lexus RX,523
Ram Promaster City,521
Infiniti QX55,484
Maserati Levante,448
Toyota Sequoia,418
Nissan Titan,414
Lexus LX,412
Toyota Land Cruiser,387
Jeep Wagoneer,329
Lexus GX,324
Nissan NV,312
Jeep Renegade,303
Hyundai Ioniq 5,232
Tesla Model X,224
Land Rover Discovery,215
Kia Sedona,190
Chevrolet Trax,163
Mazda MX-30,148
Jaguar E-Pace,98
Chevrolet Express Passenger,95
Dodge Journey,94
Jaguar I-Pace,86
GMC Savana Passenger,62
Rivian R1T,18
Fiat 500X,18
Isuzu Truck Light-Duty,5
Hyundai Nexo,1
Infiniti QX30,1
