Model,Total,GVWR
Ford F-Series Medium-Duty,"4,725",Class 3
Isuzu Truck Medium-Duty,"1,138",Class 3
Ram Pickup Medium-Duty,"1,068",Class 3
Ford Truck Medium-Duty,203,Class 3
Ford,"1,286",Class 4
Isuzu,403,Class 4
Daimler (Freightliner),51,Class 4
Hino,44,Class 4
International,1,Class 4
Ford,"3,439",Class 5
Stellantis (Ram),"1,068",Class 5
Hino,789,Class 5
Isuzu,715,Class 5
International,234,Class 5
Daimler (Freightliner),28,Class 5
Peterbilt,2,Class 5
Kenworth,1,Class 5
Hino,302,Class 6
Daimler (Freightliner),238,Class 6
International,179,Class 6
Ford,98,Class 6
Isuzu,20,Class 6
Kenworth,15,Class 6
Peterbilt,6,Class 6
International,"2,005",Class 7
Daimler (Freightliner),"1,231",Class 7
Hino,592,Class 7
Peterbilt,488,Class 7
Kenworth,478,Class 7
Ford,105,Class 7
Volvo Truck (Mack Truck),2,Class 7
Freightliner,"7,781",Class 8
Kenworth,"4,057",Class 8
Volvo Truck,"3,040",Class 8
International,"2,955",Class 8
Peterbilt,"2,756",Class 8
Western Star,"2,334",Class 8
Mack,"1,676",Class 8
