region,period,commodity,demand,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
ON,2025,T_D_pkm_ldv_c,93.64133663017184,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
ON,2030,T_D_pkm_ldv_c,102.43351385717187,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
ON,2035,T_D_pkm_ldv_c,110.90505065828263,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
ON,2040,T_D_pkm_ldv_c,118.62495518503083,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
ON,2045,T_D_pkm_ldv_c,127.88158975909963,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
AB,2025,T_D_pkm_ldv_c,17.46802355359687,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
AB,2030,T_D_pkm_ldv_c,19.10813212546821,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
AB,2035,T_D_pkm_ldv_c,20.68842785492157,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
AB,2040,T_D_pkm_ldv_c,22.128512746461947,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
AB,2045,T_D_pkm_ldv_c,23.855262028197142,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
BCT,2025,T_D_pkm_ldv_c,25.999176863583713,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
BCT,2030,T_D_pkm_ldv_c,28.440292923722204,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
BCT,2035,T_D_pkm_ldv_c,30.79238433468002,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
BCT,2040,T_D_pkm_ldv_c,32.93578777576499,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
BCT,2045,T_D_pkm_ldv_c,35.50585873068166,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
MB,2025,T_D_pkm_ldv_c,7.531140244928052,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
MB,2030,T_D_pkm_ldv_c,8.238254454716733,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
MB,2035,T_D_pkm_ldv_c,8.91958103585267,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
MB,2040,T_D_pkm_ldv_c,9.540457304396476,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
MB,2045,T_D_pkm_ldv_c,10.284925673624132,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
NB,2025,T_D_pkm_ldv_c,5.287525536916922,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
NB,2030,T_D_pkm_ldv_c,5.78398215838171,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
NB,2035,T_D_pkm_ldv_c,6.262333587192605,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
NB,2040,T_D_pkm_ldv_c,6.6982435581165936,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
NB,2045,T_D_pkm_ldv_c,7.220926098302875,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
NLLAB,2025,T_D_pkm_ldv_c,3.0581579451807763,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
