region,input_comm,tech,vintage,output_comm,efficiency,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
AB,T_dsl,T_BLND_DSL_ELC_HDV,2025,T_dsl_elc_hdv,1.0,PJ/PJ,blend/fuel; Mid; source years 2030..2030,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_elc_mhdv_chrg,T_BLND_DSL_ELC_HDV,2025,T_dsl_elc_hdv,1.0,PJ/PJ,blend/electricity; Mid; source years 2030..2030,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_dsl,T_BLND_DSL_ELC_HDV,2030,T_dsl_elc_hdv,1.0,PJ/PJ,blend/fuel; Mid; source years 2035..2035,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_elc_mhdv_chrg,T_BLND_DSL_ELC_HDV,2030,T_dsl_elc_hdv,1.0,PJ/PJ,blend/electricity; Mid; source years 2035..2035,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_dsl,T_BLND_DSL_ELC_HDV,2035,T_dsl_elc_hdv,1.0,PJ/PJ,blend/fuel; Mid; source years 2040..2040,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_elc_mhdv_chrg,T_BLND_DSL_ELC_HDV,2035,T_dsl_elc_hdv,1.0,PJ/PJ,blend/electricity; Mid; source years 2040..2040,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_dsl,T_BLND_DSL_ELC_HDV,2040,T_dsl_elc_hdv,1.0,PJ/PJ,blend/fuel; Mid; source years 2045..2045,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_elc_mhdv_chrg,T_BLND_DSL_ELC_HDV,2040,T_dsl_elc_hdv,1.0,PJ/PJ,blend/electricity; Mid; source years 2045..2045,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_dsl,T_BLND_DSL_ELC_HDV,2045,T_dsl_elc_hdv,1.0,PJ/PJ,blend/fuel; Mid; source years 2050..2050,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_elc_mhdv_chrg,T_BLND_DSL_ELC_HDV,2045,T_dsl_elc_hdv,1.0,PJ/PJ,blend/electricity; Mid; source years 2050..2050,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_dsl,T_BLND_DSL_ELC_MDV,2025,T_dsl_elc_mdv,1.0,PJ/PJ,blend/fuel; Mid; source years 2030..2030,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_elc_mhdv_chrg,T_BLND_DSL_ELC_MDV,2025,T_dsl_elc_mdv,1.0,PJ/PJ,blend/electricity; Mid; source years 2030..2030,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_dsl,T_BLND_DSL_ELC_MDV,2030,T_dsl_elc_mdv,1.0,PJ/PJ,blend/fuel; Mid; source years 2035..2035,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_elc_mhdv_chrg,T_BLND_DSL_ELC_MDV,2030,T_dsl_elc_mdv,1.0,PJ/PJ,blend/electricity; Mid; source years 2035..2035,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_dsl,T_BLND_DSL_ELC_MDV,2035,T_dsl_elc_mdv,1.0,PJ/PJ,blend/fuel; Mid; source years 2040..2040,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_elc_mhdv_chrg,T_BLND_DSL_ELC_MDV,2035,T_dsl_elc_mdv,1.0,PJ/PJ,blend/electricity; Mid; source years 2040..2040,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_dsl,T_BLND_DSL_ELC_MDV,2040,T_dsl_elc_mdv,1.0,PJ/PJ,blend/fuel; Mid; source years 2045..2045,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_elc_mhdv_chrg,T_BLND_DSL_ELC_MDV,2040,T_dsl_elc_mdv,1.0,PJ/PJ,blend/electricity; Mid; source years 2045..2045,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_dsl,T_BLND_DSL_ELC_MDV,2045,T_dsl_elc_mdv,1.0,PJ/PJ,blend/fuel; Mid; source years 2050..2050,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_elc_mhdv_chrg,T_BLND_DSL_ELC_MDV,2045,T_dsl_elc_mdv,1.0,PJ/PJ,blend/electricity; Mid; source years 2050..2050,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_elc_ldv_chrg,T_BLND_GSL_ELC_PHEV35,2025,T_gsl_elc_phev35,1.0,PJ/PJ,blend/electricity; Mid; source years 2030..2030,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_gsl,T_BLND_GSL_ELC_PHEV35,2025,T_gsl_elc_phev35,1.0,PJ/PJ,blend/fuel; Mid; source years 2030..2030,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_elc_ldv_chrg,T_BLND_GSL_ELC_PHEV35,2030,T_gsl_elc_phev35,1.0,PJ/PJ,blend/electricity; Mid; source years 2035..2035,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_gsl,T_BLND_GSL_ELC_PHEV35,2030,T_gsl_elc_phev35,1.0,PJ/PJ,blend/fuel; Mid; source years 2035..2035,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_elc_ldv_chrg,T_BLND_GSL_ELC_PHEV35,2035,T_gsl_elc_phev35,1.0,PJ/PJ,blend/electricity; Mid; source years 2040..2040,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_gsl,T_BLND_GSL_ELC_PHEV35,2035,T_gsl_elc_phev35,1.0,PJ/PJ,blend/fuel; Mid; source years 2040..2040,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
