region,road_class,tech,vintage,capacity,units
AB,inter_city_buses,T_HDV_BIC_DSL_EX,2015,0.24947307014022574,k vehicles
AB,inter_city_buses,T_HDV_BIC_DSL_EX,2020,0.2703605982300979,k vehicles
AB,inter_city_buses,T_HDV_BIC_DSL_EX,2023,0.1460117347506155,k vehicles
AB,inter_city_buses,T_HDV_BIC_GSL_EX,2015,0.00978629611086775,k vehicles
AB,inter_city_buses,T_HDV_BIC_GSL_EX,2020,0.04139865756783202,k vehicles
AB,inter_city_buses,T_HDV_BIC_GSL_EX,2023,0.031969643200360116,k vehicles
AB,school_buses,T_HDV_BS_CNG_EX,2015,0.11149483501195964,k vehicles
AB,school_buses,T_HDV_BS_CNG_EX,2020,0.8569604331205614,k vehicles
AB,school_buses,T_HDV_BS_CNG_EX,2023,0.8025845375429863,k vehicles
AB,school_buses,T_HDV_BS_DSL_EX,2015,2.451886298829028,k vehicles
AB,school_buses,T_HDV_BS_DSL_EX,2020,1.9499976412500308,k vehicles
AB,school_buses,T_HDV_BS_DSL_EX,2023,0.7109365811735728,k vehicles
AB,school_buses,T_HDV_BS_GSL_EX,2015,0.12727125143010282,k vehicles
AB,school_buses,T_HDV_BS_GSL_EX,2020,0.21530023146256863,k vehicles
AB,school_buses,T_HDV_BS_GSL_EX,2023,0.11708766094367745,k vehicles
AB,urban_transit,T_HDV_BT_BEV_EX,2010,0.0235094795516062,k vehicles
AB,urban_transit,T_HDV_BT_BEV_EX,2015,0.23057704356662762,k vehicles
AB,urban_transit,T_HDV_BT_BEV_EX,2020,0.29622941280468107,k vehicles
AB,urban_transit,T_HDV_BT_BEV_EX,2023,0.21061572211222399,k vehicles
AB,urban_transit,T_HDV_BT_CNG_EX,2015,0.0739284996853376,k vehicles
AB,urban_transit,T_HDV_BT_CNG_EX,2020,0.14041243260130853,k vehicles
AB,urban_transit,T_HDV_BT_CNG_EX,2023,0.05168427890976979,k vehicles
AB,urban_transit,T_HDV_BT_DSL_EX,2015,1.13665552407342,k vehicles
AB,urban_transit,T_HDV_BT_DSL_EX,2020,1.2315578608977065,k vehicles
AB,urban_transit,T_HDV_BT_DSL_EX,2023,0.6930489954289347,k vehicles
AB,urban_transit,T_HDV_BT_GSL_EX,2015,0.00412900828500729,k vehicles
AB,urban_transit,T_HDV_BT_GSL_EX,2020,0.017533534636095235,k vehicles
AB,urban_transit,T_HDV_BT_GSL_EX,2023,0.016292008317031936,k vehicles
BCT,inter_city_buses,T_HDV_BIC_DSL_EX,2015,0.10524581871793295,k vehicles
BCT,inter_city_buses,T_HDV_BIC_DSL_EX,2020,0.14583803873054646,k vehicles
BCT,inter_city_buses,T_HDV_BIC_DSL_EX,2023,0.07938953739462043,k vehicles
BCT,inter_city_buses,T_HDV_BIC_GSL_EX,2015,0.0039590877228164855,k vehicles
BCT,inter_city_buses,T_HDV_BIC_GSL_EX,2020,0.017695199495788457,k vehicles
BCT,inter_city_buses,T_HDV_BIC_GSL_EX,2023,0.013872317938294736,k vehicles
BCT,school_buses,T_HDV_BS_CNG_EX,2015,0.027386358439358167,k vehicles
BCT,school_buses,T_HDV_BS_CNG_EX,2020,0.2412192133697553,k vehicles
BCT,school_buses,T_HDV_BS_CNG_EX,2023,0.33050293913533835,k vehicles
BCT,school_buses,T_HDV_BS_DSL_EX,2015,1.04341465446794,k vehicles
BCT,school_buses,T_HDV_BS_DSL_EX,2020,1.2617326035708112,k vehicles
BCT,school_buses,T_HDV_BS_DSL_EX,2023,0.4569068992998651,k vehicles
BCT,school_buses,T_HDV_BS_GSL_EX,2015,0.05395912536035204,k vehicles
BCT,school_buses,T_HDV_BS_GSL_EX,2020,0.11447320939430146,k vehicles
BCT,school_buses,T_HDV_BS_GSL_EX,2023,0.061404996962273695,k vehicles
BCT,urban_transit,T_HDV_BT_BEV_EX,2015,0.23483003823118212,k vehicles
BCT,urban_transit,T_HDV_BT_BEV_EX,2020,0.2735746161727551,k vehicles
BCT,urban_transit,T_HDV_BT_BEV_EX,2023,0.21724936841538828,k vehicles
BCT,urban_transit,T_HDV_BT_CNG_EX,2015,0.019211146151679025,k vehicles
BCT,urban_transit,T_HDV_BT_CNG_EX,2020,0.02582884517120672,k vehicles
BCT,urban_transit,T_HDV_BT_CNG_EX,2023,0.012167859184551856,k vehicles
BCT,urban_transit,T_HDV_BT_DSL_EX,2015,0.40750432709261697,k vehicles
BCT,urban_transit,T_HDV_BT_DSL_EX,2020,0.563172697515273,k vehicles
BCT,urban_transit,T_HDV_BT_DSL_EX,2023,0.25229366554058913,k vehicles
BCT,urban_transit,T_HDV_BT_GSL_EX,2015,0.0015252628733440916,k vehicles
BCT,urban_transit,T_HDV_BT_GSL_EX,2020,0.006038774480086136,k vehicles
BCT,urban_transit,T_HDV_BT_GSL_EX,2023,0.004603399171324657,k vehicles
MB,inter_city_buses,T_HDV_BIC_DSL_EX,2010,0.019314035409192243,k vehicles
MB,inter_city_buses,T_HDV_BIC_DSL_EX,2015,0.06860607756174608,k vehicles
MB,inter_city_buses,T_HDV_BIC_DSL_EX,2020,0.05395011616691255,k vehicles
MB,inter_city_buses,T_HDV_BIC_DSL_EX,2023,0.02502825199678116,k vehicles
MB,inter_city_buses,T_HDV_BIC_GSL_EX,2015,0.007748994754251206,k vehicles
