region,tech,vintage,capacity,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
AB,T_LDV_C_DSL_EX,2000,0.17590016900496286,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2000:composite:1:c67a4c9bd974e90d
AB,T_LDV_C_GSL_EX,2000,6.863861859236356,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2000:composite:1:c67a4c9bd974e90d
BCT,T_LDV_C_DSL_EX,2000,0.04031844353649645,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2000:composite:1:c67a4c9bd974e90d
BCT,T_LDV_C_GSL_EX,2000,10.079462107579698,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2000:composite:1:c67a4c9bd974e90d
MB,T_LDV_C_DSL_EX,2000,0.036688656608091244,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2000:composite:1:c67a4c9bd974e90d
MB,T_LDV_C_GSL_EX,2000,1.831141821340049,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2000:composite:1:c67a4c9bd974e90d
NB,T_LDV_C_DSL_EX,2000,0.022674792357734026,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2000:composite:1:c67a4c9bd974e90d
NB,T_LDV_C_GSL_EX,2000,1.6071256337762363,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2000:composite:1:c67a4c9bd974e90d
NLLAB,T_LDV_C_DSL_EX,2000,0.021742655334293804,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2000:composite:1:c67a4c9bd974e90d
NLLAB,T_LDV_C_GSL_EX,2000,0.8484277389373657,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2000:composite:1:c67a4c9bd974e90d
NS,T_LDV_C_DSL_EX,2000,0.0042887880672243415,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2000:composite:1:c67a4c9bd974e90d
NS,T_LDV_C_GSL_EX,2000,2.378252116277765,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2000:composite:1:c67a4c9bd974e90d
