region,mode,tech,vintage,units,capacity
AB,freight_air,T_HDV_AJF_JFL_EX,2000,bn tonne-km,0.038814892579146595
AB,freight_air,T_HDV_AJF_JFL_EX,2005,bn tonne-km,0.013007913611628112
AB,freight_air,T_HDV_AJF_JFL_EX,2010,bn tonne-km,0.03455958848774032
AB,freight_air,T_HDV_AJF_JFL_EX,2015,bn tonne-km,0.04705115326548895
AB,freight_air,T_HDV_AJF_JFL_EX,2020,bn tonne-km,0.04553287752900864
AB,freight_air,T_HDV_AJF_JFL_EX,2023,bn tonne-km,0.12454455015542443
AB,freight_marine,T_HDV_WTF_MDO_EX,2020,bn tonne-km,0.011617534935833678
AB,freight_marine,T_HDV_WTF_MDO_EX,2023,bn tonne-km,0.00880105963750302
AB,freight_rail,T_HDV_RF_DSL_EX,2005,bn tonne-km,10.197752595706943
AB,freight_rail,T_HDV_RF_DSL_EX,2010,bn tonne-km,8.81117940214509
AB,freight_rail,T_HDV_RF_DSL_EX,2015,bn tonne-km,38.72843539839576
AB,freight_rail,T_HDV_RF_DSL_EX,2020,bn tonne-km,27.72078282402204
AB,freight_rail,T_HDV_RF_DSL_EX,2023,bn tonne-km,24.349807888537654
AB,passenger_air,T_HDV_AJP_JFL_EX,2000,bn passenger-km,0.7932056500440318
AB,passenger_air,T_HDV_AJP_JFL_EX,2005,bn passenger-km,0.5185463611477216
AB,passenger_air,T_HDV_AJP_JFL_EX,2010,bn passenger-km,1.5525339933469846
AB,passenger_air,T_HDV_AJP_JFL_EX,2015,bn passenger-km,2.1066044517892535
AB,passenger_air,T_HDV_AJP_JFL_EX,2020,bn passenger-km,1.4839167282460957
AB,passenger_air,T_HDV_AJP_JFL_EX,2023,bn passenger-km,22.563421024942663
AB,passenger_rail,T_HDV_RICP_DSL_EX,2005,bn passenger-km,0.005342379842779585
AB,passenger_rail,T_HDV_RICP_DSL_EX,2010,bn passenger-km,0.0068048611697614225
AB,passenger_rail,T_HDV_RICP_DSL_EX,2015,bn passenger-km,0.013898525331363137
AB,passenger_rail,T_HDV_RICP_DSL_EX,2020,bn passenger-km,0.01668624424163348
AB,passenger_rail,T_HDV_RICP_DSL_EX,2023,bn passenger-km,0.331850267507482
