region,road_class,tech,vintage,capacity,units
AB,cars,T_LDV_C_BEV150_EX,2015,0.7758501557140153,k vehicles
AB,cars,T_LDV_C_BEV150_EX,2020,8.664988993033706,k vehicles
AB,cars,T_LDV_C_BEV150_EX,2023,17.66747374076672,k vehicles
AB,cars,T_LDV_C_DSL_EX,2000,0.17590016900496286,k vehicles
AB,cars,T_LDV_C_DSL_EX,2005,2.024212246834224,k vehicles
AB,cars,T_LDV_C_DSL_EX,2010,4.142625495611172,k vehicles
AB,cars,T_LDV_C_DSL_EX,2015,7.155125307849332,k vehicles
AB,cars,T_LDV_C_DSL_EX,2020,0.5552298366265257,k vehicles
AB,cars,T_LDV_C_GSL_EX,2000,6.863861859236356,k vehicles
AB,cars,T_LDV_C_GSL_EX,2005,78.98749224995092,k vehicles
AB,cars,T_LDV_C_GSL_EX,2010,161.65083465964938,k vehicles
AB,cars,T_LDV_C_GSL_EX,2015,272.707784104577,k vehicles
AB,cars,T_LDV_C_GSL_EX,2020,255.36063955531665,k vehicles
AB,cars,T_LDV_C_GSL_EX,2023,113.12512355476764,k vehicles
AB,cars,T_LDV_C_GSL_HEV_EX,2015,6.42739457737504,k vehicles
AB,cars,T_LDV_C_GSL_HEV_EX,2020,7.334114267316229,k vehicles
AB,cars,T_LDV_C_GSL_HEV_EX,2023,9.562487284198333,k vehicles
AB,cars,T_LDV_C_GSL_PHEV35_EX,2015,0.6956226969815802,k vehicles
AB,cars,T_LDV_C_GSL_PHEV35_EX,2020,5.129022505336717,k vehicles
AB,cars,T_LDV_C_GSL_PHEV35_EX,2023,2.5100671726564965,k vehicles
AB,freight_light_trucks,T_LDV_LTF_DSL_EX,2000,0.11837944863437833,k vehicles
AB,freight_light_trucks,T_LDV_LTF_DSL_EX,2005,1.569289584367143,k vehicles
AB,freight_light_trucks,T_LDV_LTF_DSL_EX,2010,5.052234526733713,k vehicles
AB,freight_light_trucks,T_LDV_LTF_DSL_EX,2015,12.039082910893082,k vehicles
AB,freight_light_trucks,T_LDV_LTF_DSL_EX,2020,11.550166615309552,k vehicles
AB,freight_light_trucks,T_LDV_LTF_DSL_EX,2023,9.190667779816408,k vehicles
AB,freight_light_trucks,T_LDV_LTF_GSL_EX,2000,2.26313681207056,k vehicles
AB,freight_light_trucks,T_LDV_LTF_GSL_EX,2005,30.0011283052116,k vehicles
AB,freight_light_trucks,T_LDV_LTF_GSL_EX,2010,96.58684909049708,k vehicles
AB,freight_light_trucks,T_LDV_LTF_GSL_EX,2015,200.53181497961603,k vehicles
AB,freight_light_trucks,T_LDV_LTF_GSL_EX,2020,221.36076996022507,k vehicles
AB,freight_light_trucks,T_LDV_LTF_GSL_EX,2023,138.2726242322787,k vehicles
AB,freight_light_trucks,T_LDV_LTF_GSL_HEV_EX,2015,0.4646187276831939,k vehicles
AB,freight_light_trucks,T_LDV_LTF_GSL_HEV_EX,2020,2.7314108217599964,k vehicles
AB,freight_light_trucks,T_LDV_LTF_GSL_HEV_EX,2023,10.235465846076202,k vehicles
AB,freight_light_trucks,T_LDV_LTF_GSL_PHEV35_EX,2015,0.010709817670529035,k vehicles
AB,freight_light_trucks,T_LDV_LTF_GSL_PHEV35_EX,2020,0.7958507317397406,k vehicles
AB,freight_light_trucks,T_LDV_LTF_GSL_PHEV35_EX,2023,3.5017998094170615,k vehicles
AB,heavy_trucks,T_HDV_T_DSL_EX,2000,0.8389664182851109,k vehicles
AB,heavy_trucks,T_HDV_T_DSL_EX,2005,8.827238847933023,k vehicles
AB,heavy_trucks,T_HDV_T_DSL_EX,2010,15.665279040442364,k vehicles
AB,heavy_trucks,T_HDV_T_DSL_EX,2015,26.185228727416245,k vehicles
AB,heavy_trucks,T_HDV_T_DSL_EX,2020,36.92101677334387,k vehicles
AB,heavy_trucks,T_HDV_T_DSL_EX,2023,25.078270192579396,k vehicles
AB,medium_trucks,T_MDV_T_BEV_EX,2023,0.09364585221978855,k vehicles
AB,medium_trucks,T_MDV_T_DSL_EX,2000,2.3554437910765365,k vehicles
AB,medium_trucks,T_MDV_T_DSL_EX,2005,24.782952551561547,k vehicles
AB,medium_trucks,T_MDV_T_DSL_EX,2010,43.981121826919036,k vehicles
AB,medium_trucks,T_MDV_T_DSL_EX,2015,73.51645200529495,k vehicles
AB,medium_trucks,T_MDV_T_DSL_EX,2020,103.19253763023191,k vehicles
AB,medium_trucks,T_MDV_T_DSL_EX,2023,68.38230999180374,k vehicles
AB,medium_trucks,T_MDV_T_GSL_EX,2000,0.7773769585515704,k vehicles
AB,medium_trucks,T_MDV_T_GSL_EX,2005,8.179221406788724,k vehicles
AB,medium_trucks,T_MDV_T_GSL_EX,2010,14.515273448266065,k vehicles
AB,medium_trucks,T_MDV_T_GSL_EX,2015,24.262941904998186,k vehicles
AB,medium_trucks,T_MDV_T_GSL_EX,2020,34.67582625652295,k vehicles
AB,medium_trucks,T_MDV_T_GSL_EX,2023,25.169896375765024,k vehicles
AB,motorcycles,T_LDV_M_GSL_EX,2010,16.483132761702244,k vehicles
AB,motorcycles,T_LDV_M_GSL_EX,2015,47.83376200271178,k vehicles
AB,motorcycles,T_LDV_M_GSL_EX,2020,46.58989348556286,k vehicles
AB,motorcycles,T_LDV_M_GSL_EX,2023,28.162211750023097,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_BEV300_EX,2015,0.03841736150481091,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_BEV300_EX,2020,1.889753886739665,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_BEV300_EX,2023,16.652774155174235,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_DSL_EX,2000,0.24249421147532985,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_DSL_EX,2005,3.214608994445389,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_DSL_EX,2010,10.349242557571248,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_DSL_EX,2015,24.659151448970718,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_DSL_EX,2020,23.566607354397142,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_DSL_EX,2023,17.87150321839848,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_GSL_EX,2000,4.635919351160646,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_GSL_EX,2005,61.455768173173766,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_GSL_EX,2010,197.85319224983198,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_GSL_EX,2015,410.74306022303654,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_GSL_EX,2020,451.691171694632,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_GSL_EX,2023,269.11084175660733,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_GSL_HEV_EX,2015,0.9516744616874591,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_GSL_HEV_EX,2020,5.562380540179629,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_GSL_HEV_EX,2023,19.809656994041173,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_GSL_PHEV35_EX,2015,0.02193295661593495,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_GSL_PHEV35_EX,2020,1.6215737827064476,k vehicles
AB,passenger_light_trucks,T_LDV_LTP_GSL_PHEV35_EX,2023,6.766274627650329,k vehicles
BCT,cars,T_LDV_C_BEV150_EX,2020,29.161636197159872,k vehicles
BCT,cars,T_LDV_C_BEV150_EX,2023,49.87424809242336,k vehicles
BCT,cars,T_LDV_C_DSL_EX,2000,0.04031844353649645,k vehicles
BCT,cars,T_LDV_C_DSL_EX,2005,0.46397389861272753,k vehicles
BCT,cars,T_LDV_C_DSL_EX,2010,0.9495398047794783,k vehicles
BCT,cars,T_LDV_C_DSL_EX,2015,1.6480822654291563,k vehicles
BCT,cars,T_LDV_C_DSL_EX,2020,1.1932292350227545,k vehicles
BCT,cars,T_LDV_C_GSL_EX,2000,10.079462107579698,k vehicles
BCT,cars,T_LDV_C_GSL_EX,2005,115.9917625723752,k vehicles
BCT,cars,T_LDV_C_GSL_EX,2010,237.38144735795157,k vehicles
BCT,cars,T_LDV_C_GSL_EX,2015,412.0144848729148,k vehicles
BCT,cars,T_LDV_C_GSL_EX,2020,345.20147806636766,k vehicles
BCT,cars,T_LDV_C_GSL_EX,2023,128.69727648558356,k vehicles
BCT,cars,T_LDV_C_GSL_HEV_EX,2020,14.432797679972873,k vehicles
BCT,cars,T_LDV_C_GSL_HEV_EX,2023,21.295165815098187,k vehicles
BCT,cars,T_LDV_C_GSL_PHEV35_EX,2020,8.266428079705813,k vehicles
BCT,cars,T_LDV_C_GSL_PHEV35_EX,2023,5.50466902548693,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_DSL_EX,2000,0.13268589250646928,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_DSL_EX,2005,1.7589420419245905,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_DSL_EX,2010,5.66280933950037,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_DSL_EX,2015,11.869844924514727,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_DSL_EX,2020,14.126476969760954,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_DSL_EX,2023,9.69118228514065,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_GSL_EX,2000,1.7735999976279049,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_GSL_EX,2005,23.511614855610762,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_GSL_EX,2010,75.69424632400501,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_GSL_EX,2015,158.66311430913038,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_GSL_EX,2020,170.02323931572832,k vehicles
BCT,freight_light_trucks,T_LDV_LTF_GSL_EX,2023,103.86486556509792,k vehicles
