region,period,tech,vintage,fraction,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
AB,2025,T_HDV_T_BEV_N,2025,0.9999940137556944,Accepted Cls 7-8 cumulative survival averaged over ages 0-4.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2030,T_HDV_T_BEV_N,2025,0.9607027457533668,Accepted Cls 7-8 cumulative survival averaged over ages 5-9.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2035,T_HDV_T_BEV_N,2025,0.8090857616516105,Accepted Cls 7-8 cumulative survival averaged over ages 10-14.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2040,T_HDV_T_BEV_N,2025,0.663017944564982,Accepted Cls 7-8 cumulative survival averaged over ages 15-19.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2045,T_HDV_T_BEV_N,2025,0.5429587596789626,Accepted Cls 7-8 cumulative survival averaged over ages 20-24.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2030,T_HDV_T_BEV_N,2030,0.9999940137556944,Accepted Cls 7-8 cumulative survival averaged over ages 0-4.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2035,T_HDV_T_BEV_N,2030,0.9607027457533668,Accepted Cls 7-8 cumulative survival averaged over ages 5-9.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2040,T_HDV_T_BEV_N,2030,0.8090857616516105,Accepted Cls 7-8 cumulative survival averaged over ages 10-14.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2045,T_HDV_T_BEV_N,2030,0.663017944564982,Accepted Cls 7-8 cumulative survival averaged over ages 15-19.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2035,T_HDV_T_BEV_N,2035,0.9999940137556944,Accepted Cls 7-8 cumulative survival averaged over ages 0-4.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2040,T_HDV_T_BEV_N,2035,0.9607027457533668,Accepted Cls 7-8 cumulative survival averaged over ages 5-9.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2045,T_HDV_T_BEV_N,2035,0.8090857616516105,Accepted Cls 7-8 cumulative survival averaged over ages 10-14.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2040,T_HDV_T_BEV_N,2040,0.9999940137556944,Accepted Cls 7-8 cumulative survival averaged over ages 0-4.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2045,T_HDV_T_BEV_N,2040,0.9607027457533668,Accepted Cls 7-8 cumulative survival averaged over ages 5-9.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2045,T_HDV_T_BEV_N,2045,0.9999940137556944,Accepted Cls 7-8 cumulative survival averaged over ages 0-4.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2025,T_HDV_T_DSL_EX,2005,0.5429587596789626,Accepted Cls 7-8 cumulative survival averaged over ages 20-24.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2025,T_HDV_T_DSL_EX,2010,0.663017944564982,Accepted Cls 7-8 cumulative survival averaged over ages 15-19.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2030,T_HDV_T_DSL_EX,2010,0.5429587596789626,Accepted Cls 7-8 cumulative survival averaged over ages 20-24.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2025,T_HDV_T_DSL_EX,2015,0.8090857616516105,Accepted Cls 7-8 cumulative survival averaged over ages 10-14.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2030,T_HDV_T_DSL_EX,2015,0.663017944564982,Accepted Cls 7-8 cumulative survival averaged over ages 15-19.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2035,T_HDV_T_DSL_EX,2015,0.5429587596789626,Accepted Cls 7-8 cumulative survival averaged over ages 20-24.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2025,T_HDV_T_DSL_EX,2020,0.9607027457533668,Accepted Cls 7-8 cumulative survival averaged over ages 5-9.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2030,T_HDV_T_DSL_EX,2020,0.8090857616516105,Accepted Cls 7-8 cumulative survival averaged over ages 10-14.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
AB,2035,T_HDV_T_DSL_EX,2020,0.663017944564982,Accepted Cls 7-8 cumulative survival averaged over ages 15-19.,T10,5,5,5,5,5,lifetime-survival-curve-road-heavy-trucks:composite:1:2d4de13a9ca220c6
