region,tech,lifetime,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
AB,T_H2_LDV_REFUEL,10.0,years,Obtained from Hydrogen Delivery Scenario Analysis Model (HDSAM) v4.5: refueling station (gaseous H2) economic assumptions - dispenser lifetime Source data year: 2022.,T20,2,3,1,1,1,"argonne-hdsam-4-5-hydrogen-dispenser-lifetimes:v4.5, 2022:1:42c6f01b4acb1900"
AB,T_H2_MHDV_REFUEL,10.0,years,Obtained from Hydrogen Delivery Scenario Analysis Model (HDSAM) v4.5: refueling station (gaseous H2) economic assumptions - dispenser lifetime Source data year: 2022.,T20,2,3,1,1,1,"argonne-hdsam-4-5-hydrogen-dispenser-lifetimes:v4.5, 2022:1:42c6f01b4acb1900"
AB,T_HDV_AJF_JFL_EX,30.0,years,Lifetime obtained from the CIMS model input data - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors Source data year: 2025.,T15,3,3,1,1,1,emrg-sfu-cims-model-transport-process-lifetimes:2026 review of 2025 inputs:1:ca9573cc47bd512b
AB,T_HDV_AJF_JFL_N,30.0,years,Lifetime obtained from the CIMS model input data - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors Source data year: 2025.,T15,3,3,1,1,1,emrg-sfu-cims-model-transport-process-lifetimes:2026 review of 2025 inputs:1:ca9573cc47bd512b
AB,T_HDV_AJF_SPK_N,30.0,years,Lifetime obtained from the CIMS model input data - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors Source data year: 2025.,T15,3,3,1,1,1,emrg-sfu-cims-model-transport-process-lifetimes:2026 review of 2025 inputs:1:ca9573cc47bd512b
AB,T_HDV_AJP_JFL_EX,30.0,years,Lifetime obtained from the CIMS model input data - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors Source data year: 2025.,T15,3,3,1,1,1,emrg-sfu-cims-model-transport-process-lifetimes:2026 review of 2025 inputs:1:ca9573cc47bd512b
AB,T_HDV_AJP_JFL_N,30.0,years,Lifetime obtained from the CIMS model input data - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors Source data year: 2025.,T15,3,3,1,1,1,emrg-sfu-cims-model-transport-process-lifetimes:2026 review of 2025 inputs:1:ca9573cc47bd512b
AB,T_HDV_AJP_SPK_N,30.0,years,Lifetime obtained from the CIMS model input data - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors Source data year: 2025.,T15,3,3,1,1,1,emrg-sfu-cims-model-transport-process-lifetimes:2026 review of 2025 inputs:1:ca9573cc47bd512b
AB,T_HDV_BIC_BEV_N,16.0,years,"StatCan AB 2020 Electric buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BIC_DSL_EX,14.0,years,"StatCan AB 2020 Diesel buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BIC_DSL_HEV_N,7.0,years,"StatCan AB 2020 Hybrid buses (includes diesel, biodiesel and natural gas), average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BIC_DSL_N,14.0,years,"StatCan AB 2020 Diesel buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BIC_FCEV_N,16.0,years,"StatCan AB 2020 Electric buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BIC_GSL_EX,14.0,years,"StatCan AB 2020 Diesel buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BIC_GSL_N,14.0,years,"StatCan AB 2020 Diesel buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BS_BEV_N,16.0,years,"StatCan AB 2020 Electric buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BS_CNG_EX,16.0,years,"StatCan AB 2020 Natural gas buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BS_CNG_N,16.0,years,"StatCan AB 2020 Natural gas buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BS_DSL_EX,14.0,years,"StatCan AB 2020 Diesel buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BS_DSL_HEV_N,7.0,years,"StatCan AB 2020 Hybrid buses (includes diesel, biodiesel and natural gas), average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BS_DSL_N,14.0,years,"StatCan AB 2020 Diesel buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BS_DSL_PHEV_N,16.0,years,"StatCan AB 2020 Electric buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BS_FCEV_N,16.0,years,"StatCan AB 2020 Electric buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BS_FCHEV_N,16.0,years,"StatCan AB 2020 Electric buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BS_GSL_EX,14.0,years,"StatCan AB 2020 Diesel buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BS_GSL_N,14.0,years,"StatCan AB 2020 Diesel buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BT_BEV_EX,16.0,years,"StatCan AB 2020 Electric buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BT_BEV_N,16.0,years,"StatCan AB 2020 Electric buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BT_CNG_EX,16.0,years,"StatCan AB 2020 Natural gas buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BT_CNG_N,16.0,years,"StatCan AB 2020 Natural gas buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BT_DSL_EX,14.0,years,"StatCan AB 2020 Diesel buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BT_DSL_HEV_N,7.0,years,"StatCan AB 2020 Hybrid buses (includes diesel, biodiesel and natural gas), average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BT_DSL_N,14.0,years,"StatCan AB 2020 Diesel buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BT_DSL_PHEV_N,16.0,years,"StatCan AB 2020 Electric buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BT_FCEV_N,16.0,years,"StatCan AB 2020 Electric buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BT_FCHEV_N,16.0,years,"StatCan AB 2020 Electric buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BT_GSL_EX,14.0,years,"StatCan AB 2020 Diesel buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_BT_GSL_N,14.0,years,"StatCan AB 2020 Diesel buses, average expected useful life; latest provincial value.",T04,5,5,5,5,5,statcan-transport-tables-34-10-0254-01:2016-2020:1:47d40fe95f496dde
AB,T_HDV_RF_DSL_EX,25.0,years,Lifetime obtained from the CIMS model input data - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors Source data year: 2025.,T15,3,3,1,1,1,emrg-sfu-cims-model-transport-process-lifetimes:2026 review of 2025 inputs:1:ca9573cc47bd512b
AB,T_HDV_RF_DSL_N,25.0,years,Lifetime obtained from the CIMS model input data - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors Source data year: 2025.,T15,3,3,1,1,1,emrg-sfu-cims-model-transport-process-lifetimes:2026 review of 2025 inputs:1:ca9573cc47bd512b
AB,T_HDV_RF_H2_N,25.0,years,Lifetime obtained from the CIMS model input data - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors Source data year: 2025.,T15,3,3,1,1,1,emrg-sfu-cims-model-transport-process-lifetimes:2026 review of 2025 inputs:1:ca9573cc47bd512b
AB,T_HDV_RF_LNG_N,25.0,years,Lifetime obtained from the CIMS model input data - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors Source data year: 2025.,T15,3,3,1,1,1,emrg-sfu-cims-model-transport-process-lifetimes:2026 review of 2025 inputs:1:ca9573cc47bd512b
AB,T_HDV_RICP_DSL_EX,25.0,years,Lifetime obtained from the CIMS model input data - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors Source data year: 2025.,T15,3,3,1,1,1,emrg-sfu-cims-model-transport-process-lifetimes:2026 review of 2025 inputs:1:ca9573cc47bd512b
AB,T_HDV_RICP_DSL_N,25.0,years,Lifetime obtained from the CIMS model input data - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors Source data year: 2025.,T15,3,3,1,1,1,emrg-sfu-cims-model-transport-process-lifetimes:2026 review of 2025 inputs:1:ca9573cc47bd512b
AB,T_HDV_RICP_H2_N,25.0,years,Lifetime obtained from the CIMS model input data - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors Source data year: 2025.,T15,3,3,1,1,1,emrg-sfu-cims-model-transport-process-lifetimes:2026 review of 2025 inputs:1:ca9573cc47bd512b
AB,T_HDV_WTF_HFO_EX,30.0,years,Lifetime obtained from the CIMS model input data - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors Source data year: 2025.,T15,3,3,1,1,1,emrg-sfu-cims-model-transport-process-lifetimes:2026 review of 2025 inputs:1:ca9573cc47bd512b
AB,T_HDV_WTF_HFO_N,30.0,years,Lifetime obtained from the CIMS model input data - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors Source data year: 2025.,T15,3,3,1,1,1,emrg-sfu-cims-model-transport-process-lifetimes:2026 review of 2025 inputs:1:ca9573cc47bd512b
AB,T_HDV_WTF_LNG_N,30.0,years,Lifetime obtained from the CIMS model input data - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors Source data year: 2025.,T15,3,3,1,1,1,emrg-sfu-cims-model-transport-process-lifetimes:2026 review of 2025 inputs:1:ca9573cc47bd512b
AB,T_HDV_WTF_MDO_EX,30.0,years,Lifetime obtained from the CIMS model input data - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors Source data year: 2025.,T15,3,3,1,1,1,emrg-sfu-cims-model-transport-process-lifetimes:2026 review of 2025 inputs:1:ca9573cc47bd512b
AB,T_HDV_WTF_MDO_N,30.0,years,Lifetime obtained from the CIMS model input data - https://github.com/EMRG-SFU/cims-models/tree/main/sources/sectors Source data year: 2025.,T15,3,3,1,1,1,emrg-sfu-cims-model-transport-process-lifetimes:2026 review of 2025 inputs:1:ca9573cc47bd512b
AB,T_LDV_CHRG_EX,15.0,years,Lifetime obtained from the Open Energy Outlook 2022 - https://github.com/TemoaProject/oeo/tree/master Source data year: 2022.,T16,3,3,1,1,1,open-energy-outlook-2022-transport-process-lifetimes:2022 database assumptions:1:f91c9cb1fe5e5d19
AB,T_LDV_CHRG_N,15.0,years,Lifetime obtained from the Open Energy Outlook 2022 - https://github.com/TemoaProject/oeo/tree/master Source data year: 2022.,T16,3,3,1,1,1,open-energy-outlook-2022-transport-process-lifetimes:2022 database assumptions:1:f91c9cb1fe5e5d19
AB,T_LDV_M_BEV_N,17.0,years,From the Canada Energy Policy Simulator v3.4.7 estimated lifetime of motorcycles input data. Source data year: 2009.,T19,2,3,1,1,4,"canada-energy-policy-simulator-3-4-7-motorcycle-lifetimes:v3.4.7, retrieved 2023-05-29:1:10ba26e4b964cc7a"
AB,T_LDV_M_GSL_EX,17.0,years,From the Canada Energy Policy Simulator v3.4.7 estimated lifetime of motorcycles input data. Source data year: 2009.,T19,2,3,1,1,4,"canada-energy-policy-simulator-3-4-7-motorcycle-lifetimes:v3.4.7, retrieved 2023-05-29:1:10ba26e4b964cc7a"
AB,T_LDV_M_GSL_N,17.0,years,From the Canada Energy Policy Simulator v3.4.7 estimated lifetime of motorcycles input data. Source data year: 2009.,T19,2,3,1,1,4,"canada-energy-policy-simulator-3-4-7-motorcycle-lifetimes:v3.4.7, retrieved 2023-05-29:1:10ba26e4b964cc7a"
AB,T_MHDV_CHRG_EX,15.0,years,Lifetime obtained from the Open Energy Outlook 2022 - https://github.com/TemoaProject/oeo/tree/master Source data year: 2022.,T16,3,3,1,1,1,open-energy-outlook-2022-transport-process-lifetimes:2022 database assumptions:1:f91c9cb1fe5e5d19
AB,T_MHDV_CHRG_N,15.0,years,Lifetime obtained from the Open Energy Outlook 2022 - https://github.com/TemoaProject/oeo/tree/master Source data year: 2022.,T16,3,3,1,1,1,open-energy-outlook-2022-transport-process-lifetimes:2022 database assumptions:1:f91c9cb1fe5e5d19
