report_year,vehicle_class,model_year,age,nrcan_vehicle_class,nlr_atb_class,nrcan_ceud_class,fit_active_stock,share_of_mapped_fleet,share_within_vehicle_class_age,age_share_within_nrcan_class,age_share_within_nlr_class,age_share_within_ceud_class
2025,COMMERCIAL,2026,-1,Pickup truck: Small,Pickup,Light Truck,24,4.022240307406419e-06,0.002054266883505949,0.0002801316618810841,2.438228992371391e-05,2.398151025559294e-05
2025,COMMERCIAL,2026,-1,Pickup truck: Standard,Pickup,Light Truck,10660,0.0017865450698730178,0.912436874090559,0.013101891170726491,0.010829800441116262,0.010651787471859197
2025,COMMERCIAL,2026,-1,Sport utility vehicle: Small,Small SUV,Light Truck,23,3.854646961264485e-06,0.001968672430026534,0.004708290685772774,0.004708290685772774,2.29822806616099e-05
2025,COMMERCIAL,2026,-1,Sport utility vehicle: Standard,Midsize SUV,Light Truck,540,9.050040691664443e-05,0.04622100487888385,0.05837837837837838,0.04669260700389105,0.0005395839807508411
2025,COMMERCIAL,2026,-1,Van: Passenger,Pickup,Light Truck,436,7.307069891788329e-05,0.03731918171702474,0.006109094985217671,0.00044294493361413605,0.00043566410297660505
2025,COMMERCIAL,2025,0,Pickup truck: Small,Pickup,Light Truck,4228,0.0007085846674880975,0.05914610262436349,0.04934986110138432,0.0042953467415609336,0.004224742723360289
2025,COMMERCIAL,2025,0,Pickup truck: Standard,Pickup,Light Truck,61907,0.010375201279608717,0.8660259638520508,0.07608806535705112,0.06289310092947321,0.061859306474708
2025,COMMERCIAL,2025,0,Sport utility vehicle: Small,Small SUV,Light Truck,117,1.9608421498606294e-05,0.0016367298975994628,0.023950870010235416,0.023950870010235416,0.00011690986249601557
2025,COMMERCIAL,2025,0,Sport utility vehicle: Standard,Midsize SUV,Light Truck,1253,0.00020999446271584347,0.01752839796318057,0.13545945945945945,0.10834414180717683,0.0012520346812607479
2025,COMMERCIAL,2025,0,Subcompact,Compact,Car,213,3.569738272823197e-05,0.002979687762296458,0.2393258426966292,0.11378205128205128,0.05481214616572311
2025,COMMERCIAL,2025,0,Two-seater,Midsize,Car,302,5.061319053486411e-05,0.004224721616025964,1.0,0.1499503475670308,0.07771487390633042
2025,COMMERCIAL,2025,0,Van: Cargo,Pickup,Light Truck,3,5.027800384258024e-07,4.1967433271781096e-05,0.00021969974368363237,3.0477862404642388e-06,2.9976887819491173e-06
2025,COMMERCIAL,2025,0,Van: Passenger,Pickup,Light Truck,3461,0.0005800405709972341,0.04841642885121146,0.04849444436660175,0.00351612939274891,0.0034583336247752984
2025,COMMERCIAL,2024,1,Pickup truck: Small,Pickup,Light Truck,4240,0.0007105957876418007,0.05707055751473874,0.04948992693232486,0.004307537886522791,0.004236733478488085
2025,COMMERCIAL,2024,1,Pickup truck: Standard,Pickup,Light Truck,63297,0.010608156030746005,0.8519799714647213,0.077796473305204,0.06430524188755497,0.06324823561034443
2025,COMMERCIAL,2024,1,Sport utility vehicle: Small,Small SUV,Light Truck,322,5.396505745770279e-05,0.004334131962204215,0.06591606960081883,0.06591606960081883,0.00032175192926253856
2025,COMMERCIAL,2024,1,Sport utility vehicle: Standard,Midsize SUV,Light Truck,1372,0.00022993807090673364,0.018467170969391874,0.14832432432432432,0.11863380890618244,0.0013709430029447296
2025,COMMERCIAL,2024,1,Subcompact,Compact,Car,190,3.1842735766967485e-05,0.002557407058443481,0.21348314606741572,0.1014957264957265,0.048893463715903245
