report_year,weight_basis,model_year,vintage,nrcan_ceud_class,nlr_atb_class,fit_active_stock,aggregation_weight
2025,all_vintages,,,Car,Compact,762157,0.4905062822713357
2025,all_vintages,,,Car,Midsize,791660,0.5094937177286644
2025,all_vintages,,,Light Truck,Midsize SUV,917470,0.20469773801045588
2025,all_vintages,,,Light Truck,Pickup,1074230,0.23967263354984034
2025,all_vintages,,,Light Truck,Small SUV,2490372,0.5556296284397038
2025,five_year_vintage,,1985,Car,Compact,4349,0.7364944961896698
2025,five_year_vintage,,1985,Car,Midsize,1556,0.2635055038103302
2025,five_year_vintage,,1985,Light Truck,Midsize SUV,17,0.00529925187032419
2025,five_year_vintage,,1985,Light Truck,Pickup,3149,0.9816084788029925
2025,five_year_vintage,,1985,Light Truck,Small SUV,42,0.013092269326683292
2025,five_year_vintage,,1990,Car,Compact,7838,0.610483682529792
2025,five_year_vintage,,1990,Car,Midsize,5001,0.389516317470208
2025,five_year_vintage,,1990,Light Truck,Midsize SUV,151,0.037562189054726365
2025,five_year_vintage,,1990,Light Truck,Pickup,3576,0.8895522388059701
2025,five_year_vintage,,1990,Light Truck,Small SUV,293,0.07288557213930348
2025,five_year_vintage,,1995,Car,Compact,4417,0.7023374145333121
2025,five_year_vintage,,1995,Car,Midsize,1872,0.2976625854666879
2025,five_year_vintage,,1995,Light Truck,Midsize SUV,476,0.072782874617737
2025,five_year_vintage,,1995,Light Truck,Pickup,5295,0.8096330275229358
2025,five_year_vintage,,1995,Light Truck,Small SUV,769,0.11758409785932722
2025,five_year_vintage,,2000,Car,Compact,13420,0.666931716529172
2025,five_year_vintage,,2000,Car,Midsize,6702,0.33306828347082795
2025,five_year_vintage,,2000,Light Truck,Midsize SUV,4859,0.18650443327064062
2025,five_year_vintage,,2000,Light Truck,Pickup,18780,0.7208382911756803
2025,five_year_vintage,,2000,Light Truck,Small SUV,2414,0.09265727555367904
2025,five_year_vintage,,2005,Car,Compact,43728,0.5791174445091911
2025,five_year_vintage,,2005,Car,Midsize,31780,0.42088255549080894
2025,five_year_vintage,,2005,Light Truck,Midsize SUV,21102,0.20272451293086885
2025,five_year_vintage,,2005,Light Truck,Pickup,63418,0.609249510048803
2025,five_year_vintage,,2005,Light Truck,Small SUV,19572,0.18802597702032817
2025,five_year_vintage,,2010,Car,Compact,123176,0.604369777585877
