report_year,weight_basis,model_year,vintage,nrcan_ceud_class,nrcan_vehicle_class,fit_active_stock,aggregation_weight
2025,all_vintages,,,Car,Compact,541084,0.348228909839447
2025,all_vintages,,,Car,Full-size,66680,0.042913676449672
2025,all_vintages,,,Car,Mid-size,467286,0.3007342563506513
2025,all_vintages,,,Car,Minicompact,16760,0.010786340991249291
2025,all_vintages,,,Car,Station wagon: Mid-size,38387,0.024704968474408506
2025,all_vintages,,,Car,Station wagon: Small,171070,0.1100966201296549
2025,all_vintages,,,Car,Subcompact,204313,0.1314910314406394
2025,all_vintages,,,Car,Two-seater,48237,0.03104419632427757
2025,all_vintages,,,Light Truck,Minivan,547637,0.12218389173578649
2025,all_vintages,,,Light Truck,Pickup truck: Small,87537,0.019530476083382865
2025,all_vintages,,,Light Truck,Pickup truck: Standard,877513,0.19578288791433962
2025,all_vintages,,,Light Truck,Sport utility vehicle: Small,2490372,0.5556296284397038
2025,all_vintages,,,Light Truck,Sport utility vehicle: Standard,369833,0.0825138462746694
2025,all_vintages,,,Light Truck,Van: Cargo,19689,0.004392834385525266
2025,all_vintages,,,Light Truck,Van: Passenger,89491,0.019966435166592595
2025,five_year_vintage,,1985,Car,Compact,195,0.03302286198137172
2025,five_year_vintage,,1985,Car,Full-size,147,0.02489415749364945
2025,five_year_vintage,,1985,Car,Mid-size,815,0.1380186282811177
2025,five_year_vintage,,1985,Car,Minicompact,392,0.0663844199830652
2025,five_year_vintage,,1985,Car,Station wagon: Mid-size,25,0.004233700254022015
2025,five_year_vintage,,1985,Car,Subcompact,3762,0.6370872142252328
2025,five_year_vintage,,1985,Car,Two-seater,569,0.09635901778154107
2025,five_year_vintage,,1985,Light Truck,Minivan,4,0.0012468827930174563
2025,five_year_vintage,,1985,Light Truck,Pickup truck: Small,59,0.01839152119700748
2025,five_year_vintage,,1985,Light Truck,Pickup truck: Standard,2492,0.7768079800498753
2025,five_year_vintage,,1985,Light Truck,Sport utility vehicle: Small,42,0.013092269326683292
2025,five_year_vintage,,1985,Light Truck,Sport utility vehicle: Standard,13,0.004052369077306733
2025,five_year_vintage,,1985,Light Truck,Van: Cargo,164,0.05112219451371571
2025,five_year_vintage,,1985,Light Truck,Van: Passenger,434,0.13528678304239403
2025,five_year_vintage,,1990,Car,Compact,531,0.04135836124308747
2025,five_year_vintage,,1990,Car,Full-size,627,0.04883557909494509
2025,five_year_vintage,,1990,Car,Mid-size,1142,0.08894773736272295
2025,five_year_vintage,,1990,Car,Minicompact,1143,0.08902562504867981
2025,five_year_vintage,,1990,Car,Station wagon: Mid-size,38,0.0029597320663603084
2025,five_year_vintage,,1990,Car,Subcompact,6164,0.4800996962380248
2025,five_year_vintage,,1990,Car,Two-seater,3194,0.2487732689461796
2025,five_year_vintage,,1990,Light Truck,Minivan,54,0.013432835820895522
2025,five_year_vintage,,1990,Light Truck,Pickup truck: Small,197,0.04900497512437811
2025,five_year_vintage,,1990,Light Truck,Pickup truck: Standard,2560,0.6368159203980099
2025,five_year_vintage,,1990,Light Truck,Sport utility vehicle: Small,293,0.07288557213930348
2025,five_year_vintage,,1990,Light Truck,Sport utility vehicle: Standard,97,0.024129353233830846
2025,five_year_vintage,,1990,Light Truck,Van: Cargo,220,0.05472636815920398
2025,five_year_vintage,,1990,Light Truck,Van: Passenger,599,0.1490049751243781
2025,five_year_vintage,,1995,Car,Compact,1212,0.1927174431547146
2025,five_year_vintage,,1995,Car,Full-size,706,0.11225950071553506
2025,five_year_vintage,,1995,Car,Mid-size,479,0.07616473207187152
2025,five_year_vintage,,1995,Car,Minicompact,489,0.0777548099856893
2025,five_year_vintage,,1995,Car,Station wagon: Mid-size,44,0.006996342820798219
2025,five_year_vintage,,1995,Car,Subcompact,2716,0.43186516139290826
2025,five_year_vintage,,1995,Car,Two-seater,643,0.10224200985848307
2025,five_year_vintage,,1995,Light Truck,Minivan,292,0.044648318042813454
