region_scope,weight_source,wards_size_class,vehicle_scope,nrcan_vehicle_class,nlr_atb_class,nrcan_ceud_class,year,market_share,notes,source -> data_source,data_year -> dq_time
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Compact,ldv,Compact,Compact,Car,2018,0.5285260414071347,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Compact,ldv,Compact,Compact,Car,2021,0.4658442631899065,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Full-size,ldv,Full-size,Midsize,Car,2018,0.0806131513788345,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Full-size,ldv,Full-size,Midsize,Car,2021,0.0657413327926888,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Mid-size,ldv,Mid-size,Midsize,Car,2018,0.2771501279260177,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Mid-size,ldv,Mid-size,Midsize,Car,2021,0.3487531385973394,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Minicompact,ldv,Minicompact,Compact,Car,2018,0.0043850530175591,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Minicompact,ldv,Minicompact,Compact,Car,2021,0.0058576753325743,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Station wagon: Small,ldv,Station wagon: Small,Midsize,Car,2018,0.0254838249621548,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Station wagon: Small,ldv,Station wagon: Small,Midsize,Car,2021,0.0240514028165499,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Subcompact,ldv,Subcompact,Compact,Car,2018,0.0741799074533873,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Subcompact,ldv,Subcompact,Compact,Car,2021,0.0733020383337752,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Two-seater,ldv,Two-seater,Midsize,Car,2018,0.0096618938549117,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Two-seater,ldv,Two-seater,Midsize,Car,2021,0.0164501489371656,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Minivan,ldv,Minivan,Midsize SUV,Light Truck,2018,0.0505612901527531,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Minivan,ldv,Minivan,Midsize SUV,Light Truck,2021,0.0250675709905147,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Pickup truck: Small,ldv,Pickup truck: Small,Pickup,Light Truck,2018,0.0213253974634337,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Pickup truck: Small,ldv,Pickup truck: Small,Pickup,Light Truck,2021,0.0206728491267175,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Pickup truck: Standard,ldv,Pickup truck: Standard,Pickup,Light Truck,2018,0.2569683715364459,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Pickup truck: Standard,ldv,Pickup truck: Standard,Pickup,Light Truck,2021,0.2364701570150161,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,SUV: Small,ldv,Sport utility vehicle: Small,Small SUV,Light Truck,2018,0.5279627717965483,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,SUV: Small,ldv,Sport utility vehicle: Small,Small SUV,Light Truck,2021,0.5686862471056968,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,SUV: Standard,ldv,Sport utility vehicle: Standard,Midsize SUV,Light Truck,2018,0.1094129841967955,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,SUV: Standard,ldv,Sport utility vehicle: Standard,Midsize SUV,Light Truck,2021,0.1224010870958033,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Van: Passenger,ldv,Van: Passenger,Pickup,Light Truck,2018,0.0337691848540233,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Van: Passenger,ldv,Van: Passenger,Pickup,Light Truck,2021,0.0267020886662514,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Class 3,mhdv,,,Medium Trucks,2020,0.3404600553593585,Complete aggregate Wards GVWR-class share; Classes 3-7 map to NRCan CEUD Medium Trucks and Class 8 maps to Heavy Trucks.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Class 4,mhdv,,,Medium Trucks,2020,0.0851865992173332,Complete aggregate Wards GVWR-class share; Classes 3-7 map to NRCan CEUD Medium Trucks and Class 8 maps to Heavy Trucks.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Class 5,mhdv,,,Medium Trucks,2020,0.2995132194330438,Complete aggregate Wards GVWR-class share; Classes 3-7 map to NRCan CEUD Medium Trucks and Class 8 maps to Heavy Trucks.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Class 6,mhdv,,,Medium Trucks,2020,0.0409468359263147,Complete aggregate Wards GVWR-class share; Classes 3-7 map to NRCan CEUD Medium Trucks and Class 8 maps to Heavy Trucks.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Class 7,mhdv,,,Medium Trucks,2020,0.2338932900639496,Complete aggregate Wards GVWR-class share; Classes 3-7 map to NRCan CEUD Medium Trucks and Class 8 maps to Heavy Trucks.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
outside_ontario_or_legacy_comparison,wards_intelligence_2022_sales_shares,Class 8,mhdv,,,Heavy Trucks,2020,1.0,Complete aggregate Wards GVWR-class share; Classes 3-7 map to NRCan CEUD Medium Trucks and Class 8 maps to Heavy Trucks.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
