region,tech,c2a,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
AB,T_HDV_BIC_BEV_N,43.8,bn passenger-km/k units,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 100 km/h carrying 50 passengers for 8,760 hours each year. ",,,,,,,canoe-road-capacity-to-activity:fcf0bb72e256a0df
AB,T_HDV_BIC_DSL_EX,43.8,bn passenger-km/k units,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 100 km/h carrying 50 passengers for 8,760 hours each year. ",,,,,,,canoe-road-capacity-to-activity:fcf0bb72e256a0df
AB,T_HDV_BIC_DSL_HEV_N,43.8,bn passenger-km/k units,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 100 km/h carrying 50 passengers for 8,760 hours each year. ",,,,,,,canoe-road-capacity-to-activity:fcf0bb72e256a0df
AB,T_HDV_BIC_DSL_N,43.8,bn passenger-km/k units,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 100 km/h carrying 50 passengers for 8,760 hours each year. ",,,,,,,canoe-road-capacity-to-activity:fcf0bb72e256a0df
AB,T_HDV_BIC_FCEV_N,43.8,bn passenger-km/k units,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 100 km/h carrying 50 passengers for 8,760 hours each year. ",,,,,,,canoe-road-capacity-to-activity:fcf0bb72e256a0df
AB,T_HDV_BIC_GSL_EX,43.8,bn passenger-km/k units,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 100 km/h carrying 50 passengers for 8,760 hours each year. ",,,,,,,canoe-road-capacity-to-activity:fcf0bb72e256a0df
AB,T_HDV_BIC_GSL_N,43.8,bn passenger-km/k units,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 100 km/h carrying 50 passengers for 8,760 hours each year. ",,,,,,,canoe-road-capacity-to-activity:fcf0bb72e256a0df
AB,T_HDV_BS_BEV_N,43.8,bn passenger-km/k units,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 100 km/h carrying 50 passengers for 8,760 hours each year. ",,,,,,,canoe-road-capacity-to-activity:fcf0bb72e256a0df
AB,T_HDV_BS_CNG_EX,43.8,bn passenger-km/k units,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 100 km/h carrying 50 passengers for 8,760 hours each year. ",,,,,,,canoe-road-capacity-to-activity:fcf0bb72e256a0df
AB,T_HDV_BS_CNG_N,43.8,bn passenger-km/k units,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 100 km/h carrying 50 passengers for 8,760 hours each year. ",,,,,,,canoe-road-capacity-to-activity:fcf0bb72e256a0df
