region,road_class,tech_or_group,vintage,period,period_step,output_comm,operator,factor,baseline_utilization,age_first_year,age_last_year,unit,data_source,data_id,dq_cred,dq_geog,dq_struc,dq_tech,dq_time
AB,cars,T_LDV_C_BEV150_EX,2005,2025,5,T_D_pkm_ldv_c,e,0.0026169903388853642,0.005178687568448021,21,25,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_EX,2010,2025,5,T_D_pkm_ldv_c,e,0.0030379985783401515,0.005178687568448021,16,20,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_EX,2010,2030,5,T_D_pkm_ldv_c,e,0.0026169903388853642,0.005178687568448021,21,25,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_EX,2015,2025,5,T_D_pkm_ldv_c,e,0.003480473554355519,0.005178687568448021,11,15,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_EX,2015,2030,5,T_D_pkm_ldv_c,e,0.0030379985783401515,0.005178687568448021,16,20,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_EX,2015,2035,5,T_D_pkm_ldv_c,e,0.0026169903388853642,0.005178687568448021,21,25,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_EX,2020,2025,5,T_D_pkm_ldv_c,e,0.004008230020161559,0.005178687568448021,6,10,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_EX,2020,2030,5,T_D_pkm_ldv_c,e,0.003480473554355519,0.005178687568448021,11,15,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_EX,2020,2035,5,T_D_pkm_ldv_c,e,0.0030379985783401515,0.005178687568448021,16,20,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_EX,2020,2040,5,T_D_pkm_ldv_c,e,0.0026169903388853642,0.005178687568448021,21,25,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_EX,2023,2025,5,T_D_pkm_ldv_c,e,0.0043922894524454055,0.005178687568448021,3,7,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_EX,2023,2030,5,T_D_pkm_ldv_c,e,0.003782829286275459,0.005178687568448021,8,12,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_EX,2023,2035,5,T_D_pkm_ldv_c,e,0.0032968353806872774,0.005178687568448021,13,17,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_EX,2023,2040,5,T_D_pkm_ldv_c,e,0.0028705580331676197,0.005178687568448021,18,22,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_N,2025,2025,5,T_D_pkm_ldv_c,e,0.00468488757683781,0.005178687568448021,1,5,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_N,2025,2030,5,T_D_pkm_ldv_c,e,0.004008230020161559,0.005178687568448021,6,10,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_N,2025,2035,5,T_D_pkm_ldv_c,e,0.003480473554355519,0.005178687568448021,11,15,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_N,2025,2040,5,T_D_pkm_ldv_c,e,0.0030379985783401515,0.005178687568448021,16,20,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_N,2025,2045,5,T_D_pkm_ldv_c,e,0.0026169903388853642,0.005178687568448021,21,25,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_N,2030,2030,5,T_D_pkm_ldv_c,e,0.00468488757683781,0.005178687568448021,1,5,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_N,2030,2035,5,T_D_pkm_ldv_c,e,0.004008230020161559,0.005178687568448021,6,10,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_N,2030,2040,5,T_D_pkm_ldv_c,e,0.003480473554355519,0.005178687568448021,11,15,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_N,2030,2045,5,T_D_pkm_ldv_c,e,0.0030379985783401515,0.005178687568448021,16,20,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
AB,cars,T_LDV_C_BEV150_N,2035,2035,5,T_D_pkm_ldv_c,e,0.00468488757683781,0.005178687568448021,1,5,dimensionless,T01,road-utilization-age-cars-ab:composite:1:206d0f80c4ecdfb0,5,5,5,5,5
