ceud_region,region,road_class,year,activity_bn,stock_k_vehicles,c2a,utilization,unit
AB,AB,cars,2017,23.04593041,1214.618,3.504,0.005414899939207826,dimensionless
AB,AB,cars,2018,22.723900796000002,1188.442,3.504,0.005456834667327277,dimensionless
AB,AB,cars,2019,23.137191220000002,1153.499,3.504,0.00572439133980442,dimensionless
AB,AB,cars,2022,16.35600157,1007.107,3.504,0.004634868655701374,dimensionless
AB,AB,cars,2023,15.708480266,961.516,3.504,0.004662443240199206,dimensionless
AB,AB,freight_light_trucks,2017,5.404084151,682.052,0.876,0.009044832116136138,dimensionless
AB,AB,freight_light_trucks,2018,5.657532403,703.702,0.876,0.009177706363005024,dimensionless
AB,AB,freight_light_trucks,2019,6.024173190000001,713.88,0.876,0.00963314567468843,dimensionless
AB,AB,freight_light_trucks,2022,5.211356525999999,732.913,0.876,0.008116975862260576,dimensionless
AB,AB,freight_light_trucks,2023,5.422892508,746.276,0.876,0.008295210567730754,dimensionless
AB,AB,heavy_trucks,2017,61.433326978,113.782,8.76,0.06163485322489237,dimensionless
AB,AB,heavy_trucks,2018,57.43912379,116.771,8.76,0.056152448823750534,dimensionless
AB,AB,heavy_trucks,2019,60.965953895,117.656,8.76,0.059151966563269494,dimensionless
AB,AB,heavy_trucks,2022,50.95307295200001,116.534,8.76,0.04991299396973765,dimensionless
AB,AB,heavy_trucks,2023,49.747308491999995,113.516,8.76,0.05002745423130261,dimensionless
AB,AB,inter_city_buses,2017,0.806556078,1.112,43.8,0.016559822238099927,dimensionless
AB,AB,inter_city_buses,2018,0.795464941,1.087,43.8,0.01670772771189609,dimensionless
AB,AB,inter_city_buses,2019,0.776792029,1.063,43.8,0.016683892597413198,dimensionless
AB,AB,inter_city_buses,2022,0.40383896900000005,0.747,43.8,0.012342794893424538,dimensionless
AB,AB,inter_city_buses,2023,0.369788841,0.749,43.8,0.011271919362803372,dimensionless
AB,AB,medium_trucks,2017,13.598972788,437.588,2.628,0.011825386389947306,dimensionless
AB,AB,medium_trucks,2018,14.447616412,437.699,2.628,0.01256016333834192,dimensionless
AB,AB,medium_trucks,2019,14.698143703,431.333,2.628,0.012966550095715634,dimensionless
AB,AB,medium_trucks,2022,12.81287502,428.114,2.628,0.011388376038106865,dimensionless
AB,AB,medium_trucks,2023,13.053181765,423.885,2.628,0.011717716224761499,dimensionless
AB,AB,motorcycles,2017,0.537525172,125.212,1.752,0.002450297136239586,dimensionless
AB,AB,motorcycles,2018,0.54455116,124.244,1.752,0.002501665047375477,dimensionless
AB,AB,motorcycles,2019,0.608346463,131.181,1.752,0.002646951283525822,dimensionless
AB,AB,motorcycles,2022,0.49380278499999997,138.863,1.752,0.0020297048506827974,dimensionless
AB,AB,motorcycles,2023,0.50957126,139.069,1.752,0.002091416317073444,dimensionless
AB,AB,passenger_light_trucks,2017,29.621788927,1416.259,4.38,0.004775232149237878,dimensionless
AB,AB,passenger_light_trucks,2018,31.011920521,1459.057,4.38,0.004852687147187014,dimensionless
AB,AB,passenger_light_trucks,2019,33.018354851,1478.456,4.38,0.005098857984676993,dimensionless
AB,AB,passenger_light_trucks,2022,28.339435612000003,1504.604,4.38,0.0043002615831111935,dimensionless
AB,AB,passenger_light_trucks,2023,29.430946945,1528.708,4.38,0.004395472699613245,dimensionless
AB,AB,school_buses,2017,6.553822255,9.549,43.8,0.015669771189792042,dimensionless
AB,AB,school_buses,2018,5.625602636,9.002,43.8,0.014267764535329033,dimensionless
AB,AB,school_buses,2019,5.412311257000001,8.652,43.8,0.01428210242254015,dimensionless
AB,AB,school_buses,2022,4.707398627,7.002,43.8,0.015349165166769051,dimensionless
AB,AB,school_buses,2023,4.674557128000001,7.344,43.8,0.014532277857363142,dimensionless
AB,AB,urban_transit,2017,3.390728549,5.126,43.8,0.015102203240886732,dimensionless
AB,AB,urban_transit,2018,3.28928805,5.362,43.8,0.01400557640524646,dimensionless
AB,AB,urban_transit,2019,3.327728135,5.217,43.8,0.014563068467768265,dimensionless
AB,AB,urban_transit,2022,1.938842829,4.28,43.8,0.01034248084432211,dimensionless
AB,AB,urban_transit,2023,1.92173361,4.127,43.8,0.010631256742268589,dimensionless
BCT,BCT,cars,2017,31.50620394,1666.383,3.504,0.005395816302866254,dimensionless
BCT,BCT,cars,2018,31.264637283,1630.257,3.504,0.0054730979853029466,dimensionless
BCT,BCT,cars,2019,30.307060984,1651.345,3.504,0.005237715556093469,dimensionless
BCT,BCT,cars,2022,24.411431597,1422.233,3.504,0.004898446852028404,dimensionless
BCT,BCT,cars,2023,23.380295741,1382.196,3.504,0.004827433178937043,dimensionless
BCT,BCT,freight_light_trucks,2017,3.890303077,506.112,0.876,0.008774708459228184,dimensionless
