region,road_class,utilization,unit
AB,cars,0.005178687568448021,dimensionless
AB,freight_light_trucks,0.008853574116764185,dimensionless
AB,heavy_trucks,0.05537594336259053,dimensionless
AB,inter_city_buses,0.014713231360727424,dimensionless
AB,medium_trucks,0.012091638417374645,dimensionless
AB,motorcycles,0.0023440069269794256,dimensionless
AB,passenger_light_trucks,0.004684502312765264,dimensionless
AB,school_buses,0.014820216234358686,dimensionless
AB,urban_transit,0.012928917140098431,dimensionless
BCT,cars,0.005166501975045623,dimensionless
BCT,freight_light_trucks,0.008639096536568268,dimensionless
BCT,heavy_trucks,0.045113628111927574,dimensionless
BCT,inter_city_buses,0.019121909269357175,dimensionless
BCT,medium_trucks,0.012436653883947976,dimensionless
BCT,motorcycles,0.0025965570480549825,dimensionless
BCT,passenger_light_trucks,0.0052426878334079965,dimensionless
BCT,school_buses,0.015593887120838455,dimensionless
BCT,urban_transit,0.01837790190161847,dimensionless
MB,cars,0.007698636115784438,dimensionless
MB,freight_light_trucks,0.012759240283471404,dimensionless
MB,heavy_trucks,0.04250655726007758,dimensionless
MB,inter_city_buses,0.010379367638991638,dimensionless
MB,medium_trucks,0.006404555344348766,dimensionless
MB,motorcycles,0.003361711131827412,dimensionless
MB,passenger_light_trucks,0.006747582778648051,dimensionless
MB,school_buses,0.005418716746169392,dimensionless
MB,urban_transit,0.005870188620984607,dimensionless
NB,cars,0.006791070194208615,dimensionless
NB,freight_light_trucks,0.010412515444525462,dimensionless
NB,heavy_trucks,0.030404499375682716,dimensionless
NB,inter_city_buses,0.01838612498065072,dimensionless
NB,medium_trucks,0.008451131166941966,dimensionless
NB,motorcycles,0.0025340740625608552,dimensionless
NB,passenger_light_trucks,0.0063097005181688495,dimensionless
NB,school_buses,0.010369053545747159,dimensionless
NB,urban_transit,0.01369870813915495,dimensionless
NLLAB,cars,0.007589003755068787,dimensionless
NLLAB,freight_light_trucks,0.011623437425440319,dimensionless
NLLAB,heavy_trucks,0.10089763365702328,dimensionless
NLLAB,inter_city_buses,0.02747478392699456,dimensionless
NLLAB,medium_trucks,0.010989223256096772,dimensionless
NLLAB,motorcycles,0.002707638061279589,dimensionless
NLLAB,passenger_light_trucks,0.007025501034686419,dimensionless
NLLAB,school_buses,0.015840587961336805,dimensionless
NLLAB,urban_transit,0.021586075400897478,dimensionless
NS,cars,0.008828666664515993,dimensionless
NS,freight_light_trucks,0.01352901967652898,dimensionless
NS,heavy_trucks,0.06286335522589523,dimensionless
NS,inter_city_buses,0.01891570385291551,dimensionless
NS,medium_trucks,0.009586427723789478,dimensionless
NS,motorcycles,0.003231111759855728,dimensionless
NS,passenger_light_trucks,0.00817460528592476,dimensionless
NS,school_buses,0.01896437946613277,dimensionless
NS,urban_transit,0.015209366563050464,dimensionless
ON,cars,0.007108524352572569,dimensionless
ON,freight_light_trucks,0.012713121734551877,dimensionless
ON,heavy_trucks,0.07833541111343385,dimensionless
ON,inter_city_buses,0.01742433945487349,dimensionless
ON,medium_trucks,0.0099156692595176,dimensionless
ON,motorcycles,0.0028594089245934616,dimensionless
ON,passenger_light_trucks,0.006547494585221328,dimensionless
ON,school_buses,0.011318503484687976,dimensionless
ON,urban_transit,0.014943225040567101,dimensionless
PEI,cars,0.006460902405334409,dimensionless
PEI,freight_light_trucks,0.009960256596300456,dimensionless
PEI,heavy_trucks,0.017090668082169642,dimensionless
PEI,inter_city_buses,0.015636300424911213,dimensionless
PEI,medium_trucks,0.007625836268992095,dimensionless
PEI,motorcycles,0.0024994955350128964,dimensionless
PEI,passenger_light_trucks,0.0060548219198767765,dimensionless
PEI,school_buses,0.008787758760651123,dimensionless
PEI,urban_transit,0.011268539455024224,dimensionless
QC,cars,0.005814824986023504,dimensionless
QC,freight_light_trucks,0.013495213986026275,dimensionless
QC,heavy_trucks,0.08134750284940442,dimensionless
QC,inter_city_buses,0.015056947297110577,dimensionless
QC,medium_trucks,0.010983573295354914,dimensionless
QC,motorcycles,0.0024526417763237585,dimensionless
QC,passenger_light_trucks,0.005936552697801473,dimensionless
QC,school_buses,0.012722480589608991,dimensionless
QC,urban_transit,0.015519572580757113,dimensionless
SK,cars,0.0072615305254214845,dimensionless
SK,freight_light_trucks,0.012434200258371627,dimensionless
SK,heavy_trucks,0.050474061568709636,dimensionless
SK,inter_city_buses,0.01933313683856052,dimensionless
SK,medium_trucks,0.0117382627999436,dimensionless
SK,motorcycles,0.0035051833041199777,dimensionless
SK,passenger_light_trucks,0.006642068110795348,dimensionless
SK,school_buses,0.011125484166286132,dimensionless
SK,urban_transit,0.013696941231306404,dimensionless
