region,tech,vintage,cost,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
AB,T_HDV_AJF_JFL_N,2025,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
AB,T_HDV_AJF_JFL_N,2030,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
AB,T_HDV_AJF_JFL_N,2035,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
AB,T_HDV_AJF_JFL_N,2040,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
AB,T_HDV_AJF_JFL_N,2045,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
AB,T_HDV_AJF_SPK_N,2025,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
AB,T_HDV_AJF_SPK_N,2030,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
AB,T_HDV_AJF_SPK_N,2035,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
AB,T_HDV_AJF_SPK_N,2040,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
AB,T_HDV_AJF_SPK_N,2045,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
AB,T_HDV_AJP_JFL_N,2025,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
AB,T_HDV_AJP_JFL_N,2030,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
AB,T_HDV_AJP_JFL_N,2035,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
AB,T_HDV_AJP_JFL_N,2040,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
AB,T_HDV_AJP_JFL_N,2045,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
AB,T_HDV_AJP_SPK_N,2025,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
AB,T_HDV_AJP_SPK_N,2030,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
AB,T_HDV_AJP_SPK_N,2035,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
