region,period,tech,vintage,cost,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
AB,2025,T_HDV_BIC_BEV_N,2025,8.689046974724482,$M 2020CAD / bn passenger-km,Transit BEAN OPEX/CAPEX ratio applied to bus purchase price; Mid; CER Current Measures,T07,5,5,5,5,5,transport-cost-variable-inter-city-buses-1abef224:composite:1:ec42567763076ec6
AB,2025,T_HDV_BIC_DSL_EX,2015,65.60299330347173,$M 2020CAD / bn passenger-km,Transit BEAN OPEX/CAPEX ratio applied to bus purchase price; Mid; CER Current Measures,T07,5,5,5,5,5,transport-cost-variable-inter-city-buses-1abef224:composite:1:ec42567763076ec6
AB,2025,T_HDV_BIC_DSL_EX,2020,42.17335283794611,$M 2020CAD / bn passenger-km,Transit BEAN OPEX/CAPEX ratio applied to bus purchase price; Mid; CER Current Measures,T07,5,5,5,5,5,transport-cost-variable-inter-city-buses-1abef224:composite:1:ec42567763076ec6
AB,2025,T_HDV_BIC_DSL_EX,2023,28.115568558630752,$M 2020CAD / bn passenger-km,Transit BEAN OPEX/CAPEX ratio applied to bus purchase price; Mid; CER Current Measures,T07,5,5,5,5,5,transport-cost-variable-inter-city-buses-1abef224:composite:1:ec42567763076ec6
AB,2025,T_HDV_BIC_DSL_HEV_N,2025,16.417971982540973,$M 2020CAD / bn passenger-km,Transit BEAN OPEX/CAPEX ratio applied to bus purchase price; Mid; CER Current Measures,T07,5,5,5,5,5,transport-cost-variable-inter-city-buses-1abef224:composite:1:ec42567763076ec6
AB,2025,T_HDV_BIC_DSL_N,2025,18.871232163840194,$M 2020CAD / bn passenger-km,Transit BEAN OPEX/CAPEX ratio applied to bus purchase price; Mid; CER Current Measures,T07,5,5,5,5,5,transport-cost-variable-inter-city-buses-1abef224:composite:1:ec42567763076ec6
AB,2025,T_HDV_BIC_FCEV_N,2025,11.098282546992323,$M 2020CAD / bn passenger-km,Transit BEAN OPEX/CAPEX ratio applied to bus purchase price; Mid; CER Current Measures,T07,5,5,5,5,5,transport-cost-variable-inter-city-buses-1abef224:composite:1:ec42567763076ec6
AB,2025,T_HDV_BIC_GSL_EX,2015,65.60299330347173,$M 2020CAD / bn passenger-km,Transit BEAN OPEX/CAPEX ratio applied to bus purchase price; Mid; CER Current Measures,T07,5,5,5,5,5,transport-cost-variable-inter-city-buses-1abef224:composite:1:ec42567763076ec6
AB,2025,T_HDV_BIC_GSL_EX,2020,42.17335283794611,$M 2020CAD / bn passenger-km,Transit BEAN OPEX/CAPEX ratio applied to bus purchase price; Mid; CER Current Measures,T07,5,5,5,5,5,transport-cost-variable-inter-city-buses-1abef224:composite:1:ec42567763076ec6
AB,2025,T_HDV_BIC_GSL_EX,2023,28.115568558630752,$M 2020CAD / bn passenger-km,Transit BEAN OPEX/CAPEX ratio applied to bus purchase price; Mid; CER Current Measures,T07,5,5,5,5,5,transport-cost-variable-inter-city-buses-1abef224:composite:1:ec42567763076ec6
AB,2025,T_HDV_BIC_GSL_N,2025,18.871232163840194,$M 2020CAD / bn passenger-km,Transit BEAN OPEX/CAPEX ratio applied to bus purchase price; Mid; CER Current Measures,T07,5,5,5,5,5,transport-cost-variable-inter-city-buses-1abef224:composite:1:ec42567763076ec6
AB,2025,T_HDV_BS_BEV_N,2025,0.7645985747118861,$M 2020CAD / bn passenger-km,Transit BEAN OPEX/CAPEX ratio applied to bus purchase price; Mid; CER Current Measures,T07,5,5,5,5,5,transport-cost-variable-school-buses-f0e03b0d:composite:1:8890d78694693ba1
AB,2025,T_HDV_BS_CNG_EX,2015,4.584178451459359,$M 2020CAD / bn passenger-km,Transit BEAN OPEX/CAPEX ratio applied to bus purchase price; Mid; CER Current Measures,T07,5,5,5,5,5,transport-cost-variable-school-buses-f0e03b0d:composite:1:8890d78694693ba1
