source_id,region,table_id,table_label,short_name,applies_to,parameter_modules,raw_series,series_group,series_name,year,value,unit,cached_file
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Total Energy Use (PJ),Total Energy Use (PJ),Total Energy Use (PJ),2000,784.886,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Total Energy Use (PJ)|Passenger Transportation,Total Energy Use (PJ),Passenger Transportation,2000,474.976529,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Total Energy Use (PJ)|Freight Transportation,Total Energy Use (PJ),Freight Transportation,2000,281.359471,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Total Energy Use (PJ)|Off-Road1,Total Energy Use (PJ),Off-Road1,2000,28.55,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Cars,Energy Use by Transportation Mode (PJ),Cars,2000,257.627148,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Passenger Light Trucks,Energy Use by Transportation Mode (PJ),Passenger Light Trucks,2000,131.740621,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Freight Light Trucks,Energy Use by Transportation Mode (PJ),Freight Light Trucks,2000,44.619221,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Medium Trucks,Energy Use by Transportation Mode (PJ),Medium Trucks,2000,57.600023,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Heavy Trucks,Energy Use by Transportation Mode (PJ),Heavy Trucks,2000,140.98036,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Motorcycles,Energy Use by Transportation Mode (PJ),Motorcycles,2000,0.705183,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|School Buses,Energy Use by Transportation Mode (PJ),School Buses,2000,4.689582,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Urban Transit,Energy Use by Transportation Mode (PJ),Urban Transit,2000,9.485213,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Inter-City Buses,Energy Use by Transportation Mode (PJ),Inter-City Buses,2000,2.236648,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Passenger Air,Energy Use by Transportation Mode (PJ),Passenger Air,2000,67.739476,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Freight Air,Energy Use by Transportation Mode (PJ),Freight Air,2000,2.477524,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Passenger Rail,Energy Use by Transportation Mode (PJ),Passenger Rail,2000,0.752658,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Freight Rail,Energy Use by Transportation Mode (PJ),Freight Rail,2000,20.628342,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Marine,Energy Use by Transportation Mode (PJ),Marine,2000,15.054,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Off-Road1,Energy Use by Transportation Mode (PJ),Off-Road1,2000,28.55,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Total Energy Use (PJ),Total Energy Use (PJ),Total Energy Use (PJ),2001,769.749,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Total Energy Use (PJ)|Passenger Transportation,Total Energy Use (PJ),Passenger Transportation,2001,459.995144,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Total Energy Use (PJ)|Freight Transportation,Total Energy Use (PJ),Freight Transportation,2001,276.233856,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Total Energy Use (PJ)|Off-Road1,Total Energy Use (PJ),Off-Road1,2001,33.52,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Cars,Energy Use by Transportation Mode (PJ),Cars,2001,254.023982,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Passenger Light Trucks,Energy Use by Transportation Mode (PJ),Passenger Light Trucks,2001,132.639267,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Freight Light Trucks,Energy Use by Transportation Mode (PJ),Freight Light Trucks,2001,45.121087,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Medium Trucks,Energy Use by Transportation Mode (PJ),Medium Trucks,2001,63.318105,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Heavy Trucks,Energy Use by Transportation Mode (PJ),Heavy Trucks,2001,130.208028,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Motorcycles,Energy Use by Transportation Mode (PJ),Motorcycles,2001,0.790409,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|School Buses,Energy Use by Transportation Mode (PJ),School Buses,2001,3.644043,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Urban Transit,Energy Use by Transportation Mode (PJ),Urban Transit,2001,8.54244,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Inter-City Buses,Energy Use by Transportation Mode (PJ),Inter-City Buses,2001,1.973639,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Passenger Air,Energy Use by Transportation Mode (PJ),Passenger Air,2001,57.665676,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Freight Air,Energy Use by Transportation Mode (PJ),Freight Air,2001,1.962324,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
nrcan_ceud_transport_provincial,ON,7,Off-Road,off_road_fuel_use,off_road,stocks_and_demands,Energy Use by Transportation Mode (PJ)|Passenger Rail,Energy Use by Transportation Mode (PJ),Passenger Rail,2001,0.715689,PJ,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\nrcan_ceud_transport\2021_tran_on_e_7.xls
