source_id,year,report,raw_file,WEIGHT_CLASS,KG_FROM,KG_TO,FIT-ACTIVE,LB_FROM,LB_TO,EPA_GVWR,cached_zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,0,3000,1155476,0.0,6613.86,LDT3-4,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,3001,3500,40763,6616.064619999999,7716.169999999999,LDT3-4,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,3501,4000,42473,7718.37462,8818.48,MDV2b,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,4001,4500,132424,8820.68462,9920.789999999999,MDV2b,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,4501,5000,5938,9922.99462,11023.099999999999,MDV3,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,5001,6000,10095,11025.304619999999,13227.72,MDV3,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,6001,7000,12646,13229.924619999998,15432.339999999998,MDV4,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,7001,8000,7758,15434.544619999999,17636.96,MDV5,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,8001,9000,17216,17639.16462,19841.579999999998,MDV6,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,9001,10000,7149,19843.78462,22046.199999999997,MDV6,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,10001,11000,30213,22048.404619999998,24250.819999999996,MDV6,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,11001,12000,2419,24253.024619999997,26455.44,MDV7,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,12001,13000,1543,26457.64462,28660.059999999998,MDV7,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,13001,14000,1840,28662.264619999998,30864.679999999997,MDV7,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,14001,15000,7966,30866.884619999997,33069.299999999996,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,15001,16000,3758,33071.50462,35273.92,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,16001,17000,2144,35276.124619999995,37478.53999999999,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,17001,18000,2356,37480.74462,39683.159999999996,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,18001,19000,1339,39685.36461999999,41887.78,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,19001,20000,3199,41889.984619999996,44092.399999999994,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,20001,21000,818,44094.60462,46297.02,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,21001,22000,945,46299.22461999999,48501.63999999999,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,22001,23000,982,48503.844619999996,50706.259999999995,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,23001,24000,2054,50708.46462,52910.88,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,24001,25000,4982,52913.084619999994,55115.49999999999,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,25001,26000,2216,55117.70462,57320.119999999995,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,26001,27000,4872,57322.32461999999,59524.74,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,27001,28000,4559,59526.944619999995,61729.35999999999,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,28001,29000,1801,61731.56462,63933.979999999996,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,29001,30000,4944,63936.18461999999,66138.59999999999,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,30001,31000,794,66140.80462,68343.21999999999,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,31001,32000,932,68345.42461999999,70547.84,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,32001,33000,787,70550.04462,72752.45999999999,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,33001,34000,777,72754.66462,74957.07999999999,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,34001,35000,2075,74959.28461999999,77161.7,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,35001,36000,6833,77163.90461999999,79366.31999999999,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,36001,37000,12455,79368.52462,81570.93999999999,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,37001,38000,5898,81573.14461999999,83775.56,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,38001,39000,2850,83777.76461999999,85980.18,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,39001,40000,22230,85982.38462,88184.79999999999,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,40001,41000,1109,88187.00461999999,90389.42,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,41001,42000,2152,90391.62461999999,92594.04,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
ontario_ministry_transport_vehicle_population,2022,Report 4,2022/2022_Reg_Veh_Report4_Weight_Class&Status.TXT,COMMERCIAL,42001,43000,573,92596.24462,94798.65999999999,MDV8,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip
