Monday-Friday,FR,DE,IT,PL,ES,UK,CA
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,0.378448
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,0.150453
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,0.113129
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,0.067704
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,0.369479
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,1.304604
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,3.349034
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,8.117249
,2.505446623,2.759622367,2.723311547,2.541757444,2.432824982,2.432824982,10.185984
,5.22875817,4.684095861,5.773420479,5.664488017,4.901960784,6.318082789,5.600627
,5.22875817,4.684095861,5.773420479,5.664488017,4.901960784,6.318082789,4.860223
,5.22875817,4.684095861,5.773420479,5.664488017,4.901960784,6.318082789,4.963226
,7.189542484,7.908496732,6.797385621,7.516339869,7.843137255,7.189542484,4.597508
,7.189542484,7.908496732,6.797385621,7.516339869,7.843137255,7.189542484,4.485826
,7.189542484,7.908496732,6.797385621,7.516339869,7.843137255,7.189542484,5.550862
,7.189542484,7.908496732,6.797385621,7.516339869,7.843137255,7.189542484,7.415327
,7.189542484,7.908496732,6.797385621,7.516339869,7.843137255,7.189542484,8.973098
,8.823529412,6.699346405,7.026143791,5.718954248,5.882352941,7.516339869,9.758059
,8.823529412,6.699346405,7.026143791,5.718954248,5.882352941,7.516339869,6.898577
,1.633986928,1.633986928,2.026143791,2.222222222,2.483660131,1.633986928,4.738703
,1.633986928,1.633986928,2.026143791,2.222222222,2.483660131,1.633986928,3.249214
,1.633986928,1.633986928,2.026143791,2.222222222,2.483660131,1.633986928,2.398574
,1.633986928,1.633986928,2.026143791,2.222222222,2.483660131,1.633986928,1.521605
,1.633986928,1.633986928,2.026143791,2.222222222,2.483660131,1.633986928,0.952486
