id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,sector
33292,on,2020,legislated,ref,ref,ref,ref,no,high,0.0,land use & forestry
33369,on,2020,legislated,low,ref,ref,ref,no,high,0.0,land use & forestry
33446,on,2020,legislated,low,ref,ref,ref,yes,high,0.0,land use & forestry
33523,on,2020,legislated,low,high,ref,low,yes,high,0.0,land use & forestry
33600,on,2020,legislated,high,high,ref,low,yes,high,0.0,land use & forestry
33677,on,2020,legislated,ref,high,low,low,yes,high,0.0,land use & forestry
33754,on,2020,legislated,low,high,low,low,yes,high,0.0,land use & forestry
33831,on,2020,legislated,high,high,low,low,yes,high,0.0,land use & forestry
33908,on,2020,legislated,ref,high,high,low,yes,high,0.0,land use & forestry
33985,on,2020,legislated,low,high,high,low,yes,high,0.0,land use & forestry
34062,on,2020,legislated,high,high,high,low,yes,high,0.0,land use & forestry
34139,on,2020,legislated,high,ref,ref,ref,yes,high,0.0,land use & forestry
34216,on,2020,legislated,ref,ref,low,ref,yes,high,0.0,land use & forestry
34293,on,2020,legislated,low,ref,low,ref,yes,high,0.0,land use & forestry
34370,on,2020,legislated,high,ref,low,ref,yes,high,0.0,land use & forestry
34447,on,2020,legislated,ref,ref,high,ref,yes,high,0.0,land use & forestry
34524,on,2020,legislated,low,ref,high,ref,yes,high,0.0,land use & forestry
34601,on,2020,legislated,high,ref,high,ref,yes,high,0.0,land use & forestry
34678,on,2020,legislated,ref,low,ref,ref,no,high,0.0,land use & forestry
34755,on,2020,legislated,low,low,ref,ref,no,high,0.0,land use & forestry
34832,on,2020,legislated,high,ref,ref,ref,no,high,0.0,land use & forestry
34909,on,2020,legislated,high,low,ref,ref,no,high,0.0,land use & forestry
34986,on,2020,legislated,ref,low,low,ref,no,high,0.0,land use & forestry
35063,on,2020,legislated,low,low,low,ref,no,high,0.0,land use & forestry
35140,on,2020,legislated,high,low,low,ref,no,high,0.0,land use & forestry
35217,on,2020,legislated,ref,low,high,ref,no,high,0.0,land use & forestry
35294,on,2020,legislated,low,low,high,ref,no,high,0.0,land use & forestry
35371,on,2020,legislated,high,low,high,ref,no,high,0.0,land use & forestry
35448,on,2020,legislated,ref,low,ref,ref,yes,high,0.0,land use & forestry
35525,on,2020,legislated,low,low,ref,ref,yes,high,0.0,land use & forestry
35602,on,2020,legislated,high,low,ref,ref,yes,high,0.0,land use & forestry
35679,on,2020,legislated,ref,ref,low,ref,no,high,0.0,land use & forestry
35756,on,2020,legislated,ref,low,low,ref,yes,high,0.0,land use & forestry
35833,on,2020,legislated,low,low,low,ref,yes,high,0.0,land use & forestry
35910,on,2020,legislated,high,low,low,ref,yes,high,0.0,land use & forestry
35987,on,2020,legislated,ref,low,high,ref,yes,high,0.0,land use & forestry
36064,on,2020,legislated,low,low,high,ref,yes,high,0.0,land use & forestry
