tech_veh,tech_supply,Bin,Powertrain,desired_range_km,eRoads_equipment_kg,eRoads_equipment_cost,charger_standard_kW,charger_fast_kW,avg_capacity_factor,notes,eRoads_length_km,eRoads_length_weighted_aadtt19,eRoads_max_aadtt,Year,Case,Purpose,RegCode,CurbWeight,VehicleCost,PayloadCapacity,kWh_per_km,Pack_Energy_kWh,H2_Mass_kg,Battery_kg,PayloadCapacityPenalty,CapacityToActivity_infra
T_HDV_T_LH_BEV_LRGBATT,T_HDV_T_LH_CHRG_LRGBATT,,BEV,1206.75,0,0,350.0,350.0,0.2,"desired range: 1.5x of Autonomie range (500 miles). Enough for 12h constant driving at 100 km/h.
avg_capacity_factor: Travel Center. Long-term utilization. (Bennett 2022)",,,,2023,Low,Longhaul,Sleeper,26055.151419348746,817170.3165807136,10232.208580651255,1.5194965794304802,2037.3916635863693,0.0,14105.019209444092,1.24,0.0110376
T_HDV_T_LH_BEV_LRGBATT,T_HDV_T_LH_CHRG_LRGBATT,,BEV,1206.75,0,0,350.0,350.0,0.2,"desired range: 1.5x of Autonomie range (500 miles). Enough for 12h constant driving at 100 km/h.
avg_capacity_factor: Travel Center. Long-term utilization. (Bennett 2022)",,,,2025,Low,Longhaul,Sleeper,23886.756398423386,636636.1740896408,12400.603601576615,1.4221766066410089,1906.9018000711528,0.0,12258.654429028838,1.13,0.0110376
T_HDV_T_LH_BEV_LRGBATT,T_HDV_T_LH_CHRG_LRGBATT,,BEV,1206.75,0,0,350.0,350.0,0.2,"desired range: 1.5x of Autonomie range (500 miles). Enough for 12h constant driving at 100 km/h.
avg_capacity_factor: Travel Center. Long-term utilization. (Bennett 2022)",,,,2030,Low,Longhaul,Sleeper,21336.847100212894,454936.73156247387,14950.512899787107,1.3194422559074725,1769.1521581292693,0.0,9951.48088947714,1.06,0.0110376
T_HDV_T_LH_BEV_LRGBATT,T_HDV_T_LH_CHRG_LRGBATT,,BEV,1206.75,0,0,350.0,350.0,0.2,"desired range: 1.5x of Autonomie range (500 miles). Enough for 12h constant driving at 100 km/h.
avg_capacity_factor: Travel Center. Long-term utilization. (Bennett 2022)",,,,2035,Low,Longhaul,Sleeper,19289.266036845787,362307.9902098473,16998.093963154213,1.251693116504816,1641.8268134154205,0.0,7949.898254432562,1.03,0.0110376
T_HDV_T_LH_BEV_LRGBATT,T_HDV_T_LH_CHRG_LRGBATT,,BEV,1206.75,0,0,350.0,350.0,0.2,"desired range: 1.5x of Autonomie range (500 miles). Enough for 12h constant driving at 100 km/h.
avg_capacity_factor: Travel Center. Long-term utilization. (Bennett 2022)",,,,2050,Low,Longhaul,Sleeper,16530.91638431771,236516.2086152279,19756.443615682292,1.1997335989356201,1540.189915442085,0.0,5362.142668576147,1.0,0.0110376
T_HDV_T_LH_BEV_FSTCHRG,T_HDV_T_LH_CHRG_FSTCHRG,,BEV,804.5,0,0,350.0,3000.0,0.08,"desired range: same as Autonomie range (500 miles). 
Megawatt charging system max power 3MW (Bennett 2022)
avg_capacity_factor: En Route, 3 MW charger. Long-term utilization. Average of low and high utilization (Bennett 2022)",,,,2023,Low,Longhaul,Sleeper,21353.478349534045,579474.5443871424,14933.881650465955,1.5194965794304802,1358.2611090575795,0.0,9403.346139629393,1.06,0.094608
T_HDV_T_LH_BEV_FSTCHRG,T_HDV_T_LH_CHRG_FSTCHRG,,BEV,804.5,0,0,350.0,3000.0,0.08,"desired range: same as Autonomie range (500 miles). 
Megawatt charging system max power 3MW (Bennett 2022)
avg_capacity_factor: En Route, 3 MW charger. Long-term utilization. Average of low and high utilization (Bennett 2022)",,,,2025,Low,Longhaul,Sleeper,19800.538255413772,458658.78272642713,16486.82174458623,1.4221766066410089,1271.2678667141017,0.0,8172.436286019224,1.03,0.094608
T_HDV_T_LH_BEV_FSTCHRG,T_HDV_T_LH_CHRG_FSTCHRG,,BEV,804.5,0,0,350.0,3000.0,0.08,"desired range: same as Autonomie range (500 miles). 
Megawatt charging system max power 3MW (Bennett 2022)
avg_capacity_factor: En Route, 3 MW charger. Long-term utilization. Average of low and high utilization (Bennett 2022)",,,,2030,Low,Longhaul,Sleeper,18019.686803720513,336993.1543749826,18267.673196279487,1.3194422559074725,1179.4347720861795,0.0,6634.320592984759,1.01,0.094608
T_HDV_T_LH_BEV_FSTCHRG,T_HDV_T_LH_CHRG_FSTCHRG,,BEV,804.5,0,0,350.0,3000.0,0.08,"desired range: same as Autonomie range (500 miles). 
Megawatt charging system max power 3MW (Bennett 2022)
avg_capacity_factor: En Route, 3 MW charger. Long-term utilization. Average of low and high utilization (Bennett 2022)",,,,2035,Low,Longhaul,Sleeper,16639.299952034933,274743.9934732315,19648.060047965067,1.251693116504816,1094.5512089436136,0.0,5299.9321696217075,1.0,0.094608
T_HDV_T_LH_BEV_FSTCHRG,T_HDV_T_LH_CHRG_FSTCHRG,,BEV,804.5,0,0,350.0,3000.0,0.08,"desired range: same as Autonomie range (500 miles). 
Megawatt charging system max power 3MW (Bennett 2022)
avg_capacity_factor: En Route, 3 MW charger. Long-term utilization. Average of low and high utilization (Bennett 2022)",,,,2050,Low,Longhaul,Sleeper,14743.535494792324,190310.4724101519,21543.824505207675,1.1997335989356201,1026.79327696139,0.0,3574.7617790507643,1.0,0.094608
