calendar_year_cert_co2e_megagrams,cert_offset,compliance_id,manufacturer_vehicle_cost_dollars,model_year,model_year_cert_co2e_megagrams,strategic_offset,target_co2e_megagrams
645761329.0803908,-40667633.09770656,consolidated_OEM,607396934745.5135,2023,645953489.4573891,-40667633.09770656,686428962.1780974
599353793.8791142,-101955122.51397991,consolidated_OEM,643912177286.4684,2024,599353793.8791142,-101955122.51397991,701308916.3930941
618107558.6401982,5180729.652112126,consolidated_OEM,650487807123.5171,2025,612926828.9880861,4144583.721689701,612926828.9880861
562675876.4873573,2372350.704352498,consolidated_OEM,662254886753.0168,2026,560303525.7830048,1897880.5634819986,560303525.7830048
553443770.0535427,-13095208.85105455,consolidated_OEM,667285899522.0809,2027,566538978.9045973,-13095208.85105455,566538978.9045973
499841945.5550296,192160.37699830532,consolidated_OEM,661486112449.182,2028,499649785.17803127,153728.30159864426,499649785.17803127
438479168.79843634,-6938617.824151993,consolidated_OEM,673331749851.5911,2029,445417786.62258834,-6938617.824151993,445417786.62258834
386371549.58636385,-2437.478920519352,consolidated_OEM,674772421663.8379,2030,386373987.0652844,-2437.478920519352,386373987.0652844
325966815.4014525,-29972.93022608757,consolidated_OEM,678777825915.9354,2031,325996788.33167857,-29972.93022608757,325996788.33167857
285167032.6521118,15769110.998267531,consolidated_OEM,683668936378.7766,2032,269397921.6538443,12615288.798614025,269397921.6538443
273881467.45827633,7785155.294832587,consolidated_OEM,694769106163.929,2033,266096312.16344374,6228124.23586607,266096312.16344374
277796162.1023595,12845430.654730886,consolidated_OEM,689611627722.5564,2034,267464451.6548842,10276344.52378471,264950731.4476286
258948021.47697914,-8246685.143666744,consolidated_OEM,692669532177.605,2035,267194706.62064588,-8246685.143666744,267194706.62064588
264322017.21527746,-5573054.51255551,consolidated_OEM,696733772076.9452,2036,269895071.727833,-5573054.51255551,269895071.727833
279665403.72787297,7443410.178381801,consolidated_OEM,698919243334.847,2037,272221993.54949117,5954728.1427054405,272221993.54949117
273699442.10976064,-1800877.61116004,consolidated_OEM,705444025063.3535,2038,275500319.7209207,-1800877.61116004,275500319.7209207
282291329.8860076,4626980.485525191,consolidated_OEM,708084179179.5396,2039,277664349.4004824,3701584.388420153,277664349.4004824
274183160.6704529,-6553091.359400868,consolidated_OEM,714190402039.5493,2040,280736252.02985376,-6553091.359400868,280736252.02985376
289888952.1293235,7651816.781951964,consolidated_OEM,714419447804.6007,2041,282237135.3473715,6121453.4255615715,282237135.3473715
276695187.03983736,-6861893.617591441,consolidated_OEM,716280671972.071,2042,283557080.6574288,-6861893.617591441,283557080.6574288
276793610.22550035,-4683564.916933894,consolidated_OEM,711848930705.2031,2043,281477175.14243424,-4683564.916933894,281477175.14243424
288999995.3045556,2908912.446348667,consolidated_OEM,717019904599.7479,2044,287724141.42140126,2327129.9570789337,286091082.8582069
289775656.75731957,997791.0809473991,consolidated_OEM,721660064619.5204,2045,288777865.6763722,798232.8647579193,288777865.6763722
290252603.09816694,-1098633.8239270449,consolidated_OEM,725883371069.7706,2046,291351236.922094,-1098633.8239270449,291351236.922094
298125244.1105189,5223826.59462738,consolidated_OEM,727110965088.2196,2047,292901417.5158915,4179061.2757019047,292901417.5158915
285554790.52481186,-5570993.817979038,consolidated_OEM,724389439518.6211,2048,291125784.3427909,-5570993.817979038,291125784.3427909
295025715.5470947,-941239.0291541219,consolidated_OEM,730338064944.6144,2049,295676339.40469044,-941239.0291541219,295966954.5762488
288567119.2387717,-7534821.26387161,consolidated_OEM,732400137367.7091,2050,288567119.2387717,-7534821.26387161,296101940.5026433
288437927.78102154,-10852519.105950415,consolidated_OEM,738114645279.239,2051,288437927.78102154,-10852519.105950415,299290446.88697195
284689115.05148983,-17901467.98632878,consolidated_OEM,744076541235.8379,2052,284689115.05148983,-17901467.98632878,302590583.0378186
293581684.5241044,-12006463.041678011,consolidated_OEM,749090491121.5583,2053,293581684.5241044,-12006463.041678011,305588147.5657824
305026571.3419296,-3541030.5574826,consolidated_OEM,754077347943.2397,2054,305026571.3419296,-3541030.5574826,308567601.8994122
296327480.8789641,-15748001.527235627,consolidated_OEM,760539001392.1598,2055,296327480.8789641,-15748001.527235627,312075482.40619975
69225.30802894404,22455.42019808227,Aston Martin Lagonda,202996749.98361537,2023,69225.30802894404,17964.336158465816,46769.88783086177
63015.98744506095,14418.275887413132,Aston Martin Lagonda,212563354.51606178,2024,63015.98744506095,11534.620709930507,48597.71155764782
63833.23978725889,21502.767402276637,Aston Martin Lagonda,212296884.453243,2025,63833.23978725889,17202.21392182131,42330.472384982255
57685.2592639474,19223.19429738351,Aston Martin Lagonda,214150435.48416504,2026,57685.2592639474,15378.555437906809,38462.06496656389
55458.7458599476,16654.416238617712,Aston Martin Lagonda,213917529.9935787,2027,55458.7458599476,13323.532990894171,38804.32962132989
48083.453287321565,13747.887524977123,Aston Martin Lagonda,211304471.70102146,2028,48083.453287321565,10998.310019981698,34335.56576234444
44097.77965800395,13576.122039633676,Aston Martin Lagonda,211495092.3694727,2029,44097.77965800395,10860.897631706941,30521.657618370275
37897.58944362564,11395.659945458941,Aston Martin Lagonda,209782336.6413059,2030,37897.58944362564,9116.527956367154,26501.9294981667
31419.725388184288,8952.112646042035,Aston Martin Lagonda,208242360.3655792,2031,31419.725388184288,7161.690116833628,22467.612742142253
26088.626725026978,7421.0452593864175,Aston Martin Lagonda,208067842.6993646,2032,26088.626725026978,5936.8362075091345,18667.58146564056
26359.32316691751,7878.1821839227305,Aston Martin Lagonda,206698116.84002724,2033,26359.32316691751,6302.545747138185,18481.14098299478
23912.341692905633,5580.62059329373,Aston Martin Lagonda,206965018.7886847,2034,23912.341692905633,4464.496474634984,18331.721099611903
22115.024792653207,3629.6300310449697,Aston Martin Lagonda,208272330.3123963,2035,22115.024792653207,2903.704024835976,18485.394761608237
21724.41937664718,3031.6067066663927,Aston Martin Lagonda,210621842.8364977,2036,21724.41937664718,2425.2853653331144,18692.812669980787
23191.866482416575,4363.17003585977,Aston Martin Lagonda,211624200.88124788,2037,23191.866482416575,3490.5360286878163,18828.696446556805
22175.282504961127,3143.0003840793797,Aston Martin Lagonda,213723833.7195992,2038,22175.282504961127,2514.400307263504,19032.282120881748
22462.49576728454,3299.6014960242683,Aston Martin Lagonda,214944248.02669832,2039,22462.49576728454,2639.6811968194147,19162.894271260273
21674.970444119943,2342.9784765513505,Aston Martin Lagonda,216494504.92921278,2040,21674.970444119943,1874.3827812410805,19331.991967568592
22969.282961798468,3571.5177657813365,Aston Martin Lagonda,216778055.30693048,2041,22969.282961798468,2857.214212625069,19397.76519601713
21719.930219820217,2271.0086748543654,Aston Martin Lagonda,217092395.08193144,2042,21719.930219820217,1816.8069398834923,19448.92154496585
21660.290724927567,2371.9216171036096,Aston Martin Lagonda,216314119.9719844,2043,21660.290724927567,1897.5372936828878,19288.369107823957
22504.15032329494,2987.46804332369,Aston Martin Lagonda,217065201.30583665,2044,22504.15032329494,2389.974434658952,19516.68227997125
22480.46589304488,2814.876941862687,Aston Martin Lagonda,218314308.69988477,2045,22480.46589304488,2251.9015534901496,19665.58895118219
23258.06736354539,3292.549900971666,Aston Martin Lagonda,222429114.68111116,2046,23258.06736354539,2634.039920777333,19965.517462573724
23181.25476871859,3216.8589418809242,Aston Martin Lagonda,221322253.790708,2047,23181.25476871859,2573.4871535047396,19964.395826837666
22021.44805219321,2132.6848321430843,Aston Martin Lagonda,222127298.2607217,2048,22021.44805219321,1706.1478657144676,19888.763220050125
22806.724804904632,2666.747894061682,Aston Martin Lagonda,222830637.0426195,2049,22806.724804904632,2133.3983152493456,20139.97691084295
22195.814713868185,2024.8881551978775,Aston Martin Lagonda,224704198.8837806,2050,22195.814713868185,1619.910524158302,20170.926558670308
22120.657066758784,1760.37084816063,Aston Martin Lagonda,226598043.79071215,2051,22120.657066758784,1408.2966785285041,20360.286218598154
23660.060239996765,3132.606237231739,Aston Martin Lagonda,228393702.53789178,2052,23660.060239996765,2506.0849897853914,20527.454002765026
23485.187136712975,2770.8392868266055,Aston Martin Lagonda,230251518.27522498,2053,23485.187136712975,2216.6714294612843,20714.34784988637
25813.356234675728,4949.0303695446055,Aston Martin Lagonda,231962565.77322823,2054,25813.356234675728,3959.2242956356845,20864.325865131123
25461.623880155163,4395.159674052185,Aston Martin Lagonda,233953556.1284852,2055,25461.623880155163,3516.1277392417487,21066.464206102977
20596936.854770686,1879600.9361969642,BMW,24952543253.99819,2023,20596936.854770686,1503680.7489575716,18717335.918573722
19322045.139758512,300824.3014517166,BMW,26127001392.536297,2024,19322045.139758512,240659.44116137328,19021220.838306796
19545726.61903536,2804888.7623686045,BMW,26133858140.652874,2025,19545726.61903536,2243911.0098948837,16740837.856666755
18242021.026832446,3032014.88267499,BMW,26384899994.7377,2026,18242021.026832446,2425611.906139992,15210006.144157456
18076259.38820043,2743426.3515167125,BMW,26363685695.809063,2027,18076259.38820043,2194741.08121337,15332833.036683716
14470046.278790273,986568.6959454902,BMW,26242542005.937252,2028,14470046.278790273,789254.9567563921,13483477.582844783
13151024.446765477,1167068.3312479928,BMW,26421167617.25851,2029,13151024.446765477,933654.6649983943,11983956.115517484
11453498.441478284,1062208.910326274,BMW,26355539772.30404,2030,11453498.441478284,849767.1282610194,10391289.53115201
9966614.543057991,1189250.7350115776,BMW,26327710539.025932,2031,9966614.543057991,951400.5880092621,8777363.808046414
8614185.212067744,1346424.2463345323,BMW,26432287021.879852,2032,8614185.212067744,1077139.3970676258,7267760.9657332115
8773957.287450844,1585158.972179573,BMW,26603880052.349834,2033,8773957.287450844,1268127.1777436584,7188798.315271271
8070235.029707891,968100.2068432905,BMW,26480289035.60709,2034,8070235.029707891,774480.1654746324,7102134.8228646
7468575.65553197,309931.01444663946,BMW,26589588405.60167,2035,7468575.65553197,247944.81155731156,7158644.64108533
7330161.748326532,96624.74349492043,BMW,26798399439.841038,2036,7330161.748326532,77299.79479593635,7233537.004831611
7886527.419233706,603231.628759345,BMW,26854123735.98015,2037,7886527.419233706,482585.30300747603,7283295.790474361
7513498.584312961,152686.7058800403,BMW,27091923364.424873,2038,7513498.584312961,122149.36470403225,7360811.878432921
7631690.424422442,220825.37143573258,BMW,27185789308.762497,2039,7631690.424422442,176660.29714858608,7410865.052986709
7349229.067142575,-129413.2727244217,BMW,27378544393.523224,2040,7349229.067142575,-129413.2727244217,7478642.339866997
7846567.300241445,339886.7548487745,BMW,27361564998.165367,2041,7846567.300241445,271909.4038790196,7506680.545392671
7399942.15030923,-130343.66874518711,BMW,27397026024.689987,2042,7399942.15030923,-130343.66874518711,7530285.819054417
7402990.373143562,-70292.31767067872,BMW,27243239332.47343,2043,7402990.373143562,-70292.31767067872,7473282.690814241
7732522.0320475595,164691.92946805432,BMW,27348225323.033485,2044,7732522.0320475595,131753.54357444347,7567830.102579505
7738663.999600064,109867.69773300085,BMW,27494177929.306644,2045,7738663.999600064,87894.15818640069,7628796.301867063
8024280.975207266,308999.4882315779,BMW,27715729803.56189,2046,8024280.975207266,247199.59058526234,7715281.4869756885
8026427.18180823,297188.7447384335,BMW,27702556168.737682,2047,8026427.18180823,237750.99579074682,7729238.437069796
7626956.482529421,-68096.22995570581,BMW,27673222837.630177,2048,7626956.482529421,-68096.22995570581,7695052.712485127
7920874.515766895,127764.50602882635,BMW,27794498011.867622,2049,7920874.515766895,102211.60482306109,7793110.009738069
7726766.70485827,-81516.72136162221,BMW,27936613927.445465,2050,7726766.70485827,-81516.72136162221,7808283.426219892
7718742.773478031,-167327.50233314373,BMW,28144910174.403416,2051,7718742.773478031,-167327.50233314373,7886070.275811175
8315115.036621047,360283.63803261984,BMW,28313673268.705605,2052,8315115.036621047,288226.9104260959,7954831.398588427
8268920.888372704,237076.43696540873,BMW,28519846373.401363,2053,8268920.888372704,189661.149572327,8031844.451407296
9133929.113725435,1039876.560397665,BMW,28673752806.707146,2054,9133929.113725435,831901.248318132,8094052.55332777
9051548.672190152,874596.293823529,BMW,28895438257.334908,2055,9051548.672190152,699677.0350588233,8176952.378366623
257762.37010268346,104452.14185931729,Ferrari,1574172726.5489607,2023,257762.37010268346,83561.71348745383,153310.22824336617
231275.17092194947,76084.03820014658,Ferrari,1599101460.1915061,2024,231275.17092194947,60867.23056011726,155191.1327218029
222307.65658119996,88229.98106110588,Ferrari,1562393074.9790933,2025,222307.65658119996,70583.9848488847,134077.67552009408
197933.99875320683,79002.43929154161,Ferrari,1546187301.7613516,2026,197933.99875320683,63201.95143323329,118931.55946166522
188825.800108309,66700.2332037062,Ferrari,1528146761.4140527,2027,188825.800108309,53360.18656296496,122125.56690460279
130505.67296100913,22708.828858542212,Ferrari,1491531517.301478,2028,130505.67296100913,18167.063086833772,107796.84410246692
128617.58064918389,32986.27866496575,Ferrari,1482408840.4857872,2029,128617.58064918389,26389.022931972602,95631.30198421814
109732.88244483239,26783.042008775825,Ferrari,1460811487.3909411,2030,109732.88244483239,21426.433607020663,82949.84043605656
93047.33416291294,22031.50413988362,Ferrari,1440126906.7884984,2031,93047.33416291294,17625.203311906895,71015.83002302932
72189.99022666708,12647.615000622623,Ferrari,1432098807.3533993,2032,72189.99022666708,10118.0920004981,59542.37522604446
81376.3771689096,23182.361360318784,Ferrari,1407437789.3540568,2033,81376.3771689096,18545.88908825503,58194.01580859082
73185.573958683,14880.401531307492,Ferrari,1407907353.721362,2034,73185.573958683,11904.321225045995,58305.17242737551
70683.97710620349,12138.695041842744,Ferrari,1411967327.49084,2035,70683.97710620349,9710.956033474196,58545.28206436074
70564.31423732951,11399.41604337917,Ferrari,1424910758.8080103,2036,70564.31423732951,9119.532834703336,59164.89819395034
70197.91338462936,10866.421432468269,Ferrari,1428841999.5779421,2037,70197.91338462936,8693.137145974615,59331.49195216109
70081.5660025726,10358.250093508148,Ferrari,1437159131.971779,2038,70081.5660025726,8286.600074806518,59723.31590906445
69650.75107367027,9741.798807242209,Ferrari,1440383867.2526462,2039,69650.75107367027,7793.439045793767,59908.95226642806
69358.59538789467,9233.071942807932,Ferrari,1444914841.3767524,2040,69358.59538789467,7386.457554246346,60125.52344508674
68690.33113728021,8700.778802349902,Ferrari,1440833263.0832963,2041,68690.33113728021,6960.623041879921,59989.55233493031
67839.82460514041,8028.0289249656635,Ferrari,1435422053.2438717,2042,67839.82460514041,6422.423139972531,59811.79568017475
68675.6284918142,9368.00131978967,Ferrari,1422619830.0924275,2043,68675.6284918142,7494.401055831736,59307.627172024535
67874.29046337442,8608.349600730871,Ferrari,1419773511.8898616,2044,67874.29046337442,6886.679680584697,59265.94086264355
67396.5186211135,8023.958598074787,Ferrari,1421874623.5727372,2045,67396.5186211135,6419.16687845983,59372.56002303871
67436.8164793666,6823.251395942199,Ferrari,1447610832.1196291,2046,67436.8164793666,5458.60111675376,60613.56508342439
66498.50853515245,6307.719265308326,Ferrari,1440050919.227067,2047,66498.50853515245,5046.175412246661,60190.78926984412
67058.91732323171,6679.250028833085,Ferrari,1442782606.5235734,2048,67058.91732323171,5343.400023066468,60379.66729439863
65211.64863176299,4900.523675703771,Ferrari,1441045984.3545523,2049,65211.64863176299,3920.418940563017,60311.12495605922
65947.42912231754,5178.0291967986705,Ferrari,1450423561.6917748,2050,65947.42912231754,4142.423357438936,60769.39992551887
65516.69421790677,4342.6472481225865,Ferrari,1458583487.0418234,2051,65516.69421790677,3474.1177984980695,61174.04696978418
65041.8164697795,3470.127916866106,Ferrari,1466560322.246407,2052,65041.8164697795,2776.102333492885,61571.688552913394
64635.994912429196,2676.146236505876,Ferrari,1474304124.1597397,2053,64635.994912429196,2140.9169892047007,61959.84867592332
64983.55828855334,2656.1882246596724,Ferrari,1481741190.9024715,2054,64983.55828855334,2124.950579727738,62327.370063893664
63632.66970286118,879.5562823761356,Ferrari,1490139307.9167545,2055,63632.66970286118,703.6450259009085,62753.113420485046
94430815.88965788,-225034.17023846507,Ford,82497318621.15973,2023,94430815.88965788,-225034.17023846507,94655850.05989635
