ID,Spatial Scale,Region,Country Name,Technology Name,Metric,Unit,Data Source,Variable,Year,Value
Passenger Cars_Total Number_US,National,USA,United States,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_FR,National,FRA,France,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,300.0
Passenger Cars_Total Number_CA,National,CAN,Canada,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_GB,National,GBR,United Kingdom,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_NO,National,NOR,Norway,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_CH,National,CHE,Switzerland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_IT,National,ITA,Italy,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_CL,National,CHL,Chile,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_DK,National,DNK,Denmark,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_SE,National,SWE,Sweden,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_JP,National,JPN,Japan,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_IE,National,IRL,Ireland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_MX,National,MEX,Mexico,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_AU,National,AUS,Australia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_DE,National,DEU,Germany,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_FI,National,FIN,Finland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
