15-Nov-24 08:11:56 | main | INFO | *** STARTING TEMOA ***
15-Nov-24 08:11:56 | temoa_config | INFO | Scenario Name:  trn_lifetimes
15-Nov-24 08:11:56 | temoa_config | INFO | Data source:  data_files\canoe_on_12d_lifetimes.sqlite
15-Nov-24 08:11:56 | temoa_config | INFO | Data target:  data_files\canoe_on_12d_lifetimes.sqlite
15-Nov-24 08:11:56 | temoa_config | INFO | Mode:  PERFECT_FORESIGHT
15-Nov-24 08:11:58 | hybrid_loader | INFO | Loading data portal
15-Nov-24 08:11:58 | commodity_network_manager | INFO | starting network analysis for region ON
15-Nov-24 08:11:58 | hybrid_loader | INFO | table, but no (usable) values for param or set: tech_ramping
15-Nov-24 08:11:58 | hybrid_loader | INFO | table, but no (usable) values for param or set: tech_curtailment
15-Nov-24 08:11:58 | hybrid_loader | INFO | table, but no (usable) values for param or set: tech_flex
15-Nov-24 08:11:58 | hybrid_loader | INFO | table, but no (usable) values for param or set: tech_exchange
15-Nov-24 08:11:58 | hybrid_loader | INFO | table, but no (usable) values for param or set: tech_variable
15-Nov-24 08:11:58 | hybrid_loader | INFO | table, but no (usable) values for param or set: tech_retirement
15-Nov-24 08:11:58 | hybrid_loader | INFO | table, but no (usable) values for param or set: LoanLifetimeTech
15-Nov-24 08:11:58 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2021 for tech I_CEMENT_GEN with inputcommodity I_hfo has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
15-Nov-24 08:11:58 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2021 for tech I_CEMENT_GEN with inputcommodity I_ngl has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
15-Nov-24 08:11:58 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2025 for tech I_CEMENT_GEN with inputcommodity I_hfo has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
15-Nov-24 08:11:58 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2025 for tech I_CEMENT_GEN with inputcommodity I_ngl has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
15-Nov-24 08:11:58 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2030 for tech I_CEMENT_GEN with inputcommodity I_hfo has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
15-Nov-24 08:11:58 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2030 for tech I_CEMENT_GEN with inputcommodity I_ngl has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
