23-Sep-24 17:58:20 | main | INFO | *** STARTING TEMOA ***
23-Sep-24 17:58:20 | temoa_config | INFO | Scenario Name:  trn_vanilla_hrates
23-Sep-24 17:58:20 | temoa_config | INFO | Data source:  data_files\canoe_on_12d_vanilla_hrates.sqlite
23-Sep-24 17:58:20 | temoa_config | INFO | Data target:  data_files\canoe_on_12d_vanilla_hrates.sqlite
23-Sep-24 17:58:20 | temoa_config | INFO | Mode:  PERFECT_FORESIGHT
23-Sep-24 17:58:28 | hybrid_loader | INFO | Loading data portal
23-Sep-24 17:58:28 | commodity_network_manager | INFO | starting network analysis for region ON
23-Sep-24 17:58:28 | hybrid_loader | INFO | table, but no (usable) values for param or set: tech_ramping
23-Sep-24 17:58:28 | hybrid_loader | INFO | table, but no (usable) values for param or set: tech_curtailment
23-Sep-24 17:58:28 | hybrid_loader | INFO | table, but no (usable) values for param or set: tech_flex
23-Sep-24 17:58:28 | hybrid_loader | INFO | table, but no (usable) values for param or set: tech_exchange
23-Sep-24 17:58:28 | hybrid_loader | INFO | table, but no (usable) values for param or set: tech_variable
23-Sep-24 17:58:28 | hybrid_loader | INFO | table, but no (usable) values for param or set: tech_retirement
23-Sep-24 17:58:28 | hybrid_loader | INFO | table, but no (usable) values for param or set: LoanLifetimeTech
23-Sep-24 17:58:28 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2021 for tech I_CEMENT_GEN with inputcommodity I_hfo has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
23-Sep-24 17:58:28 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2021 for tech I_CEMENT_GEN with inputcommodity I_ngl has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
23-Sep-24 17:58:28 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2025 for tech I_CEMENT_GEN with inputcommodity I_hfo has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
23-Sep-24 17:58:28 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2025 for tech I_CEMENT_GEN with inputcommodity I_ngl has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
23-Sep-24 17:58:28 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2030 for tech I_CEMENT_GEN with inputcommodity I_hfo has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
23-Sep-24 17:58:28 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2030 for tech I_CEMENT_GEN with inputcommodity I_ngl has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
