19-Sep-24 01:33:12 | main | INFO | *** STARTING TEMOA ***
19-Sep-24 01:33:12 | temoa_config | INFO | Scenario Name:  trn_vanilla_morris
19-Sep-24 01:33:12 | temoa_config | INFO | Data source:  data_files\canoe_on_12d_vanilla_morris.sqlite
19-Sep-24 01:33:12 | temoa_config | INFO | Data target:  data_files\canoe_on_12d_vanilla_morris.sqlite
19-Sep-24 01:33:12 | temoa_config | INFO | Mode:  METHOD_OF_MORRIS
19-Sep-24 01:33:21 | morris_sequencer | INFO | Saving excel is disabled during Morris runs.
19-Sep-24 01:33:21 | morris_sequencer | WARNING | Price check is disabled during Morris runs.  If you wish to check costs, run "CHECK" on model before MM
19-Sep-24 01:33:21 | morris_sequencer | INFO | Using solver options: {}
19-Sep-24 01:33:21 | morris_sequencer | INFO | Morris perturbation: 0.15
19-Sep-24 01:33:21 | morris_sequencer | INFO | Morris levels: 6
19-Sep-24 01:33:21 | morris_sequencer | INFO | Morris trajectories: 12
19-Sep-24 01:33:21 | morris_sequencer | INFO | Morris Seed (None indicates system generated): 29
19-Sep-24 01:33:21 | morris_sequencer | INFO | Morris number of cores: 6
19-Sep-24 01:33:21 | morris_sequencer | INFO | Initialized Morris Sequencer
19-Sep-24 01:33:21 | morris_sequencer | INFO | Currently, MM only logs ERROR level messages during model build, which is done repeatedly.  If there are issues building the model, run Temoa in CHECK separately to get more detail on the model.
19-Sep-24 01:33:21 | hybrid_loader | INFO | Loading data portal
19-Sep-24 01:33:21 | commodity_network_manager | INFO | starting network analysis for region ON
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: tech_ramping
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: tech_curtailment
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: tech_flex
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: tech_exchange
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: tech_group_names
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: tech_variable
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: tech_retirement
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: LoanLifetimeTech
19-Sep-24 01:33:22 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2021 for tech I_CEMENT_GEN with inputcommodity I_hfo has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
19-Sep-24 01:33:22 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2021 for tech I_CEMENT_GEN with inputcommodity I_ngl has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
19-Sep-24 01:33:22 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2025 for tech I_CEMENT_GEN with inputcommodity I_hfo has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
19-Sep-24 01:33:22 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2025 for tech I_CEMENT_GEN with inputcommodity I_ngl has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
19-Sep-24 01:33:22 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2030 for tech I_CEMENT_GEN with inputcommodity I_hfo has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
19-Sep-24 01:33:22 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2030 for tech I_CEMENT_GEN with inputcommodity I_ngl has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
19-Sep-24 01:33:22 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2035 for tech I_CEMENT_GEN with inputcommodity I_hfo has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
19-Sep-24 01:33:22 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2035 for tech I_CEMENT_GEN with inputcommodity I_ngl has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
19-Sep-24 01:33:22 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2040 for tech I_CEMENT_GEN with inputcommodity I_hfo has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
19-Sep-24 01:33:22 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2040 for tech I_CEMENT_GEN with inputcommodity I_ngl has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
19-Sep-24 01:33:22 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2045 for tech I_CEMENT_GEN with inputcommodity I_hfo has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
19-Sep-24 01:33:22 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2045 for tech I_CEMENT_GEN with inputcommodity I_ngl has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
19-Sep-24 01:33:22 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2050 for tech I_CEMENT_GEN with inputcommodity I_hfo has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
19-Sep-24 01:33:22 | hybrid_loader | WARNING | Technology Input Split requirement in region ON, period 2050 for tech I_CEMENT_GEN with inputcommodity I_ngl has been removed because the tech path with that input is invalid/not available/orphan.  See the other warnings for this TECH in this region-period, and check for availability of all components in data.
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: TechInputSplitAverage
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: RenewablePortfolioStandard
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: CostEmission_rpe
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: CostEmission
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: LoanRate
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: MinCapacity
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: MinNewCapacity
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: MaxNewCapacity
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: MaxCapacityGroup
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: MinCapacityGroup
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: MinNewCapacityGroup
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: MaxNewCapacityGroup
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: MinCapacityShare
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: MaxCapacityShare
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: MinCapacityShare
19-Sep-24 01:33:22 | hybrid_loader | INFO | table, but no (usable) values for param or set: MaxCapacityShare
