id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value
432,on,2050,legislated,ref,ref,ref,ref,no,high,2.014167702
433,on,2050,legislated,low,ref,ref,ref,no,high,2.042214215
434,on,2050,legislated,low,ref,ref,ref,yes,high,2.042214215
435,on,2050,legislated,low,high,ref,low,yes,high,2.054538957
436,on,2050,legislated,high,high,ref,low,yes,high,2.01248416
437,on,2050,legislated,ref,high,low,low,yes,high,2.035175021
438,on,2050,legislated,low,high,low,low,yes,high,2.054082536
439,on,2050,legislated,high,high,low,low,yes,high,2.011926114
440,on,2050,legislated,ref,high,high,low,yes,high,2.03580222
441,on,2050,legislated,low,high,high,low,yes,high,2.052770961
442,on,2050,legislated,high,high,high,low,yes,high,2.012639902
443,on,2050,legislated,high,ref,ref,ref,yes,high,1.985636401
444,on,2050,legislated,ref,ref,low,ref,yes,high,2.01418474
445,on,2050,legislated,low,ref,low,ref,yes,high,2.04175882
446,on,2050,legislated,high,ref,low,ref,yes,high,1.985360228
447,on,2050,legislated,ref,ref,high,ref,yes,high,2.014048567
448,on,2050,legislated,low,ref,high,ref,yes,high,2.042076426
449,on,2050,legislated,high,ref,high,ref,yes,high,1.985650291
450,on,2050,legislated,ref,low,ref,ref,no,high,2.012088816
451,on,2050,legislated,low,low,ref,ref,no,high,2.040666709
452,on,2050,legislated,high,ref,ref,ref,no,high,1.985636401
453,on,2050,legislated,high,low,ref,ref,no,high,1.983586232
454,on,2050,legislated,ref,low,low,ref,no,high,2.01255188
455,on,2050,legislated,low,low,low,ref,no,high,2.040740015
456,on,2050,legislated,high,low,low,ref,no,high,1.983330431
457,on,2050,legislated,ref,low,high,ref,no,high,2.01202073
458,on,2050,legislated,low,low,high,ref,no,high,2.041456413
459,on,2050,legislated,high,low,high,ref,no,high,1.983395282
460,on,2050,legislated,ref,low,ref,ref,yes,high,2.012088816
461,on,2050,legislated,low,low,ref,ref,yes,high,2.040666709
462,on,2050,legislated,high,low,ref,ref,yes,high,1.983586232
463,on,2050,legislated,ref,ref,low,ref,no,high,2.01418474
464,on,2050,legislated,ref,low,low,ref,yes,high,2.01255188
465,on,2050,legislated,low,low,low,ref,yes,high,2.040740015
466,on,2050,legislated,high,low,low,ref,yes,high,1.983330431
467,on,2050,legislated,ref,low,high,ref,yes,high,2.01202073
468,on,2050,legislated,low,low,high,ref,yes,high,2.041456413
469,on,2050,legislated,high,low,high,ref,yes,high,1.983395282
470,on,2050,legislated,ref,high,ref,ref,no,high,2.013954759
471,on,2050,legislated,low,high,ref,ref,no,high,2.042829737
472,on,2050,legislated,high,high,ref,ref,no,high,1.985472819
473,on,2050,legislated,ref,high,low,ref,no,high,2.012963884
474,on,2050,legislated,low,ref,low,ref,no,high,2.04175882
475,on,2050,legislated,low,high,low,ref,no,high,2.041514734
476,on,2050,legislated,high,high,low,ref,no,high,1.986026607
477,on,2050,legislated,ref,high,high,ref,no,high,2.013995343
478,on,2050,legislated,low,high,high,ref,no,high,2.042439035
479,on,2050,legislated,high,high,high,ref,no,high,1.985498254
480,on,2050,legislated,ref,high,ref,ref,yes,high,2.013954759
481,on,2050,legislated,low,high,ref,ref,yes,high,2.042829737
482,on,2050,legislated,high,high,ref,ref,yes,high,1.985472819
483,on,2050,legislated,ref,high,low,ref,yes,high,2.012963884
484,on,2050,legislated,low,high,low,ref,yes,high,2.041514734
485,on,2050,legislated,high,ref,low,ref,no,high,1.985360228
486,on,2050,legislated,high,high,low,ref,yes,high,1.986026607
487,on,2050,legislated,ref,high,high,ref,yes,high,2.013995343
488,on,2050,legislated,low,high,high,ref,yes,high,2.042439035
489,on,2050,legislated,high,high,high,ref,yes,high,1.985498254
490,on,2050,legislated,ref,ref,ref,low,no,high,2.035530307
491,on,2050,legislated,low,ref,ref,low,no,high,2.054471642
492,on,2050,legislated,high,ref,ref,low,no,high,2.011719053
493,on,2050,legislated,ref,ref,low,low,no,high,2.035085464
494,on,2050,legislated,low,ref,low,low,no,high,2.053735837
495,on,2050,legislated,high,ref,low,low,no,high,2.011173906
496,on,2050,legislated,ref,ref,high,ref,no,high,2.014048567
497,on,2050,legislated,ref,ref,high,low,no,high,2.035649836
498,on,2050,legislated,low,ref,high,low,no,high,2.054661393
499,on,2050,legislated,high,ref,high,low,no,high,2.01191359
500,on,2050,legislated,ref,ref,ref,low,yes,high,2.035530307
501,on,2050,legislated,low,ref,ref,low,yes,high,2.054471642
502,on,2050,legislated,high,ref,ref,low,yes,high,2.011719053
503,on,2050,legislated,ref,ref,low,low,yes,high,2.035085464
504,on,2050,legislated,low,ref,low,low,yes,high,2.053735837
505,on,2050,legislated,high,ref,low,low,yes,high,2.011173906
506,on,2050,legislated,ref,ref,high,low,yes,high,2.035649836
507,on,2050,legislated,low,ref,high,ref,no,high,2.042076426
508,on,2050,legislated,low,ref,high,low,yes,high,2.054661393
509,on,2050,legislated,high,ref,high,low,yes,high,2.01191359
510,on,2050,legislated,ref,low,ref,low,no,high,2.034622387
511,on,2050,legislated,low,low,ref,low,no,high,2.057234486
