id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,fuel_type,fuel_phase
12096,on,2020,legislated,ref,ref,ref,ref,no,high,0.0,biofuel,gas
12124,on,2020,legislated,low,ref,ref,ref,no,high,0.0,biofuel,gas
12152,on,2020,legislated,low,ref,ref,ref,yes,high,0.0,biofuel,gas
12180,on,2020,legislated,low,high,ref,low,yes,high,0.0,biofuel,gas
12208,on,2020,legislated,high,high,ref,low,yes,high,0.0,biofuel,gas
12236,on,2020,legislated,ref,high,low,low,yes,high,0.0,biofuel,gas
12264,on,2020,legislated,low,high,low,low,yes,high,0.0,biofuel,gas
12292,on,2020,legislated,high,high,low,low,yes,high,0.0,biofuel,gas
12320,on,2020,legislated,ref,high,high,low,yes,high,0.0,biofuel,gas
12348,on,2020,legislated,low,high,high,low,yes,high,0.0,biofuel,gas
12376,on,2020,legislated,high,high,high,low,yes,high,0.0,biofuel,gas
12404,on,2020,legislated,high,ref,ref,ref,yes,high,0.0,biofuel,gas
12432,on,2020,legislated,ref,ref,low,ref,yes,high,0.0,biofuel,gas
12460,on,2020,legislated,low,ref,low,ref,yes,high,0.0,biofuel,gas
12488,on,2020,legislated,high,ref,low,ref,yes,high,0.0,biofuel,gas
12516,on,2020,legislated,ref,ref,high,ref,yes,high,0.0,biofuel,gas
12544,on,2020,legislated,low,ref,high,ref,yes,high,0.0,biofuel,gas
12572,on,2020,legislated,high,ref,high,ref,yes,high,0.0,biofuel,gas
12600,on,2020,legislated,ref,low,ref,ref,no,high,0.0,biofuel,gas
12628,on,2020,legislated,low,low,ref,ref,no,high,0.0,biofuel,gas
12656,on,2020,legislated,high,ref,ref,ref,no,high,0.0,biofuel,gas
12684,on,2020,legislated,high,low,ref,ref,no,high,0.0,biofuel,gas
12712,on,2020,legislated,ref,low,low,ref,no,high,0.0,biofuel,gas
12740,on,2020,legislated,low,low,low,ref,no,high,0.0,biofuel,gas
12768,on,2020,legislated,high,low,low,ref,no,high,0.0,biofuel,gas
12796,on,2020,legislated,ref,low,high,ref,no,high,0.0,biofuel,gas
12824,on,2020,legislated,low,low,high,ref,no,high,0.0,biofuel,gas
12852,on,2020,legislated,high,low,high,ref,no,high,0.0,biofuel,gas
12880,on,2020,legislated,ref,low,ref,ref,yes,high,0.0,biofuel,gas
12908,on,2020,legislated,low,low,ref,ref,yes,high,0.0,biofuel,gas
12936,on,2020,legislated,high,low,ref,ref,yes,high,0.0,biofuel,gas
12964,on,2020,legislated,ref,ref,low,ref,no,high,0.0,biofuel,gas
12992,on,2020,legislated,ref,low,low,ref,yes,high,0.0,biofuel,gas
13020,on,2020,legislated,low,low,low,ref,yes,high,0.0,biofuel,gas
13048,on,2020,legislated,high,low,low,ref,yes,high,0.0,biofuel,gas
13076,on,2020,legislated,ref,low,high,ref,yes,high,0.0,biofuel,gas
13104,on,2020,legislated,low,low,high,ref,yes,high,0.0,biofuel,gas
13132,on,2020,legislated,high,low,high,ref,yes,high,0.0,biofuel,gas
13160,on,2020,legislated,ref,high,ref,ref,no,high,0.0,biofuel,gas
13188,on,2020,legislated,low,high,ref,ref,no,high,0.0,biofuel,gas
13216,on,2020,legislated,high,high,ref,ref,no,high,0.0,biofuel,gas
13244,on,2020,legislated,ref,high,low,ref,no,high,0.0,biofuel,gas
13272,on,2020,legislated,low,ref,low,ref,no,high,0.0,biofuel,gas
13300,on,2020,legislated,low,high,low,ref,no,high,0.0,biofuel,gas
13328,on,2020,legislated,high,high,low,ref,no,high,0.0,biofuel,gas
