id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,eu_name
9079,on,2020,legislated,ref,ref,ref,ref,no,high,0.0,electricity ccs
9100,on,2020,legislated,low,ref,ref,ref,no,high,0.0,electricity ccs
9121,on,2020,legislated,low,ref,ref,ref,yes,high,0.0,electricity ccs
9142,on,2020,legislated,low,high,ref,low,yes,high,0.0,electricity ccs
9163,on,2020,legislated,high,high,ref,low,yes,high,0.0,electricity ccs
9184,on,2020,legislated,ref,high,low,low,yes,high,0.0,electricity ccs
9205,on,2020,legislated,low,high,low,low,yes,high,0.0,electricity ccs
9226,on,2020,legislated,high,high,low,low,yes,high,0.0,electricity ccs
9247,on,2020,legislated,ref,high,high,low,yes,high,0.0,electricity ccs
9268,on,2020,legislated,low,high,high,low,yes,high,0.0,electricity ccs
9289,on,2020,legislated,high,high,high,low,yes,high,0.0,electricity ccs
9310,on,2020,legislated,high,ref,ref,ref,yes,high,0.0,electricity ccs
9331,on,2020,legislated,ref,ref,low,ref,yes,high,0.0,electricity ccs
9352,on,2020,legislated,low,ref,low,ref,yes,high,0.0,electricity ccs
9373,on,2020,legislated,high,ref,low,ref,yes,high,0.0,electricity ccs
9394,on,2020,legislated,ref,ref,high,ref,yes,high,0.0,electricity ccs
9415,on,2020,legislated,low,ref,high,ref,yes,high,0.0,electricity ccs
9436,on,2020,legislated,high,ref,high,ref,yes,high,0.0,electricity ccs
9457,on,2020,legislated,ref,low,ref,ref,no,high,0.0,electricity ccs
9478,on,2020,legislated,low,low,ref,ref,no,high,0.0,electricity ccs
9499,on,2020,legislated,high,ref,ref,ref,no,high,0.0,electricity ccs
9520,on,2020,legislated,high,low,ref,ref,no,high,0.0,electricity ccs
9541,on,2020,legislated,ref,low,low,ref,no,high,0.0,electricity ccs
9562,on,2020,legislated,low,low,low,ref,no,high,0.0,electricity ccs
9583,on,2020,legislated,high,low,low,ref,no,high,0.0,electricity ccs
9604,on,2020,legislated,ref,low,high,ref,no,high,0.0,electricity ccs
9625,on,2020,legislated,low,low,high,ref,no,high,0.0,electricity ccs
9646,on,2020,legislated,high,low,high,ref,no,high,0.0,electricity ccs
9667,on,2020,legislated,ref,low,ref,ref,yes,high,0.0,electricity ccs
9688,on,2020,legislated,low,low,ref,ref,yes,high,0.0,electricity ccs
9709,on,2020,legislated,high,low,ref,ref,yes,high,0.0,electricity ccs
9730,on,2020,legislated,ref,ref,low,ref,no,high,0.0,electricity ccs
9751,on,2020,legislated,ref,low,low,ref,yes,high,0.0,electricity ccs
9772,on,2020,legislated,low,low,low,ref,yes,high,0.0,electricity ccs
9793,on,2020,legislated,high,low,low,ref,yes,high,0.0,electricity ccs
9814,on,2020,legislated,ref,low,high,ref,yes,high,0.0,electricity ccs
9835,on,2020,legislated,low,low,high,ref,yes,high,0.0,electricity ccs
9856,on,2020,legislated,high,low,high,ref,yes,high,0.0,electricity ccs
9877,on,2020,legislated,ref,high,ref,ref,no,high,0.0,electricity ccs
9898,on,2020,legislated,low,high,ref,ref,no,high,0.0,electricity ccs
9919,on,2020,legislated,high,high,ref,ref,no,high,0.0,electricity ccs
9940,on,2020,legislated,ref,high,low,ref,no,high,0.0,electricity ccs
9961,on,2020,legislated,low,ref,low,ref,no,high,0.0,electricity ccs
9982,on,2020,legislated,low,high,low,ref,no,high,0.0,electricity ccs
10003,on,2020,legislated,high,high,low,ref,no,high,0.0,electricity ccs
10024,on,2020,legislated,ref,high,high,ref,no,high,0.0,electricity ccs
10045,on,2020,legislated,low,high,high,ref,no,high,0.0,electricity ccs
10066,on,2020,legislated,high,high,high,ref,no,high,0.0,electricity ccs
10087,on,2020,legislated,ref,high,ref,ref,yes,high,0.0,electricity ccs
10108,on,2020,legislated,low,high,ref,ref,yes,high,0.0,electricity ccs
10129,on,2020,legislated,high,high,ref,ref,yes,high,0.0,electricity ccs
10150,on,2020,legislated,ref,high,low,ref,yes,high,0.0,electricity ccs
10171,on,2020,legislated,low,high,low,ref,yes,high,0.0,electricity ccs
10192,on,2020,legislated,high,ref,low,ref,no,high,0.0,electricity ccs
10213,on,2020,legislated,high,high,low,ref,yes,high,0.0,electricity ccs
10234,on,2020,legislated,ref,high,high,ref,yes,high,0.0,electricity ccs
10255,on,2020,legislated,low,high,high,ref,yes,high,0.0,electricity ccs
10276,on,2020,legislated,high,high,high,ref,yes,high,0.0,electricity ccs
10297,on,2020,legislated,ref,ref,ref,low,no,high,0.0,electricity ccs
10318,on,2020,legislated,low,ref,ref,low,no,high,0.0,electricity ccs
10339,on,2020,legislated,high,ref,ref,low,no,high,0.0,electricity ccs
10360,on,2020,legislated,ref,ref,low,low,no,high,0.0,electricity ccs
10381,on,2020,legislated,low,ref,low,low,no,high,0.0,electricity ccs
10402,on,2020,legislated,high,ref,low,low,no,high,0.0,electricity ccs
10423,on,2020,legislated,ref,ref,high,ref,no,high,0.0,electricity ccs
10444,on,2020,legislated,ref,ref,high,low,no,high,0.0,electricity ccs
10465,on,2020,legislated,low,ref,high,low,no,high,0.0,electricity ccs
10486,on,2020,legislated,high,ref,high,low,no,high,0.0,electricity ccs
10507,on,2020,legislated,ref,ref,ref,low,yes,high,0.0,electricity ccs
10528,on,2020,legislated,low,ref,ref,low,yes,high,0.0,electricity ccs
10549,on,2020,legislated,high,ref,ref,low,yes,high,0.0,electricity ccs
10570,on,2020,legislated,ref,ref,low,low,yes,high,0.0,electricity ccs
10591,on,2020,legislated,low,ref,low,low,yes,high,0.0,electricity ccs
