id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value
864,on,2030,legislated,ref,ref,ref,ref,no,high,-3.115394895
866,on,2030,legislated,low,ref,ref,ref,no,high,-4.712901188
868,on,2030,legislated,low,ref,ref,ref,yes,high,-4.712901188
870,on,2030,legislated,low,high,ref,low,yes,high,-5.370181404
872,on,2030,legislated,high,high,ref,low,yes,high,-2.707780204
874,on,2030,legislated,ref,high,low,low,yes,high,-4.024565526
876,on,2030,legislated,low,high,low,low,yes,high,-5.363578174
878,on,2030,legislated,high,high,low,low,yes,high,-2.70590203
880,on,2030,legislated,ref,high,high,low,yes,high,-4.039132101
882,on,2030,legislated,low,high,high,low,yes,high,-5.360919964
884,on,2030,legislated,high,high,high,low,yes,high,-2.703917753
886,on,2030,legislated,high,ref,ref,ref,yes,high,-1.541320542
888,on,2030,legislated,ref,ref,low,ref,yes,high,-3.108368353
890,on,2030,legislated,low,ref,low,ref,yes,high,-4.70738173
892,on,2030,legislated,high,ref,low,ref,yes,high,-1.535176916
894,on,2030,legislated,ref,ref,high,ref,yes,high,-3.117838933
896,on,2030,legislated,low,ref,high,ref,yes,high,-4.715959847
898,on,2030,legislated,high,ref,high,ref,yes,high,-1.541931562
900,on,2030,legislated,ref,low,ref,ref,no,high,-3.101704513
902,on,2030,legislated,low,low,ref,ref,no,high,-4.700637742
904,on,2030,legislated,high,ref,ref,ref,no,high,-1.541320542
906,on,2030,legislated,high,low,ref,ref,no,high,-1.891691446
908,on,2030,legislated,ref,low,low,ref,no,high,-3.095208323
910,on,2030,legislated,low,low,low,ref,no,high,-4.694306547
912,on,2030,legislated,high,low,low,ref,no,high,-1.848390897
914,on,2030,legislated,ref,low,high,ref,no,high,-3.103895897
916,on,2030,legislated,low,low,high,ref,no,high,-4.702218354
918,on,2030,legislated,high,low,high,ref,no,high,-1.913127439
920,on,2030,legislated,ref,low,ref,ref,yes,high,-3.101704513
922,on,2030,legislated,low,low,ref,ref,yes,high,-4.700637742
924,on,2030,legislated,high,low,ref,ref,yes,high,-1.891691446
926,on,2030,legislated,ref,ref,low,ref,no,high,-3.108368353
928,on,2030,legislated,ref,low,low,ref,yes,high,-3.095208323
930,on,2030,legislated,low,low,low,ref,yes,high,-4.694306547
932,on,2030,legislated,high,low,low,ref,yes,high,-1.848390897
934,on,2030,legislated,ref,low,high,ref,yes,high,-3.103895897
936,on,2030,legislated,low,low,high,ref,yes,high,-4.702218354
938,on,2030,legislated,high,low,high,ref,yes,high,-1.913127439
940,on,2030,legislated,ref,high,ref,ref,no,high,-3.170421967
942,on,2030,legislated,low,high,ref,ref,no,high,-4.709834777
944,on,2030,legislated,high,high,ref,ref,no,high,-1.57196213
946,on,2030,legislated,ref,high,low,ref,no,high,-3.151108823
948,on,2030,legislated,low,ref,low,ref,no,high,-4.70738173
950,on,2030,legislated,low,high,low,ref,no,high,-4.712158416
952,on,2030,legislated,high,high,low,ref,no,high,-1.570348506
954,on,2030,legislated,ref,high,high,ref,no,high,-3.177457409
956,on,2030,legislated,low,high,high,ref,no,high,-4.719858219
958,on,2030,legislated,high,high,high,ref,no,high,-1.572918768
960,on,2030,legislated,ref,high,ref,ref,yes,high,-3.170421967
962,on,2030,legislated,low,high,ref,ref,yes,high,-4.709834777
964,on,2030,legislated,high,high,ref,ref,yes,high,-1.57196213
966,on,2030,legislated,ref,high,low,ref,yes,high,-3.151108823
968,on,2030,legislated,low,high,low,ref,yes,high,-4.712158416
970,on,2030,legislated,high,ref,low,ref,no,high,-1.535176916
972,on,2030,legislated,high,high,low,ref,yes,high,-1.570348506
974,on,2030,legislated,ref,high,high,ref,yes,high,-3.177457409
976,on,2030,legislated,low,high,high,ref,yes,high,-4.719858219
978,on,2030,legislated,high,high,high,ref,yes,high,-1.572918768
980,on,2030,legislated,ref,ref,ref,low,no,high,-4.029220183
982,on,2030,legislated,low,ref,ref,low,no,high,-5.358030489
984,on,2030,legislated,high,ref,ref,low,no,high,-2.650076649
986,on,2030,legislated,ref,ref,low,low,no,high,-4.011988666
988,on,2030,legislated,low,ref,low,low,no,high,-5.337078918
990,on,2030,legislated,high,ref,low,low,no,high,-2.646813985
992,on,2030,legislated,ref,ref,high,ref,no,high,-3.117838933
994,on,2030,legislated,ref,ref,high,low,no,high,-4.034069405
996,on,2030,legislated,low,ref,high,low,no,high,-5.355672863
998,on,2030,legislated,high,ref,high,low,no,high,-2.647454855
1000,on,2030,legislated,ref,ref,ref,low,yes,high,-4.029220183
1002,on,2030,legislated,low,ref,ref,low,yes,high,-5.358030489
1004,on,2030,legislated,high,ref,ref,low,yes,high,-2.650076649
1006,on,2030,legislated,ref,ref,low,low,yes,high,-4.011988666
1008,on,2030,legislated,low,ref,low,low,yes,high,-5.337078918
1010,on,2030,legislated,high,ref,low,low,yes,high,-2.646813985
1012,on,2030,legislated,ref,ref,high,low,yes,high,-4.034069405
1014,on,2030,legislated,low,ref,high,ref,no,high,-4.715959847
1016,on,2030,legislated,low,ref,high,low,yes,high,-5.355672863
1018,on,2030,legislated,high,ref,high,low,yes,high,-2.647454855
1020,on,2030,legislated,ref,low,ref,low,no,high,-3.823706344
1022,on,2030,legislated,low,low,ref,low,no,high,-5.344907143
1024,on,2030,legislated,high,low,ref,low,no,high,-2.340759656
1026,on,2030,legislated,ref,low,low,low,no,high,-3.807657754
1028,on,2030,legislated,low,low,low,low,no,high,-5.340466935
1030,on,2030,legislated,high,low,low,low,no,high,-2.339577252
1032,on,2030,legislated,ref,low,high,low,no,high,-3.826976289
1034,on,2030,legislated,low,low,high,low,no,high,-5.348077761
1036,on,2030,legislated,high,ref,high,ref,no,high,-1.541931562
1038,on,2030,legislated,high,low,high,low,no,high,-2.381735527
1040,on,2030,legislated,ref,low,ref,low,yes,high,-3.823706344
1042,on,2030,legislated,low,low,ref,low,yes,high,-5.344907143
1044,on,2030,legislated,high,low,ref,low,yes,high,-2.340759656
1046,on,2030,legislated,ref,low,low,low,yes,high,-3.807657754
1048,on,2030,legislated,low,low,low,low,yes,high,-5.340466935
1050,on,2030,legislated,high,low,low,low,yes,high,-2.339577252
1052,on,2030,legislated,ref,low,high,low,yes,high,-3.826976289
1054,on,2030,legislated,low,low,high,low,yes,high,-5.348077761
1056,on,2030,legislated,high,low,high,low,yes,high,-2.381735527
1058,on,2030,legislated,ref,ref,ref,ref,yes,high,-3.115394895
1060,on,2030,legislated,ref,high,ref,low,no,high,-4.042854044
1062,on,2030,legislated,low,high,ref,low,no,high,-5.370181404
1064,on,2030,legislated,high,high,ref,low,no,high,-2.707780204
1066,on,2030,legislated,ref,high,low,low,no,high,-4.024565526
1068,on,2030,legislated,low,high,low,low,no,high,-5.363578174
1070,on,2030,legislated,high,high,low,low,no,high,-2.70590203
1072,on,2030,legislated,ref,high,high,low,no,high,-4.039132101
1074,on,2030,legislated,low,high,high,low,no,high,-5.360919964
1076,on,2030,legislated,high,high,high,low,no,high,-2.703917753
1078,on,2030,legislated,ref,high,ref,low,yes,high,-4.042854044
2592,on,2030,netzero,ref,ref,ref,ref,no,high,-11.74127308
2594,on,2030,netzero,low,ref,ref,ref,no,high,-12.47936819
2596,on,2030,netzero,low,ref,ref,ref,yes,high,-12.47829084
2598,on,2030,netzero,low,high,ref,low,yes,high,-7.119677881
2600,on,2030,netzero,high,high,ref,low,yes,high,-3.88035063
2602,on,2030,netzero,ref,high,low,low,yes,high,-6.024747716
2604,on,2030,netzero,low,high,low,low,yes,high,-7.110361358
2606,on,2030,netzero,high,high,low,low,yes,high,-3.864755029
2608,on,2030,netzero,ref,high,high,low,yes,high,-6.03377781
2610,on,2030,netzero,low,high,high,low,yes,high,-7.122459759
2612,on,2030,netzero,high,high,high,low,yes,high,-3.887050712
2614,on,2030,netzero,high,ref,ref,ref,yes,high,-11.03103579
2616,on,2030,netzero,ref,ref,low,ref,yes,high,-11.51392768
2618,on,2030,netzero,low,ref,low,ref,yes,high,-12.46632277
2620,on,2030,netzero,high,ref,low,ref,yes,high,-11.01954583
2622,on,2030,netzero,ref,ref,high,ref,yes,high,-11.74361584
