id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,type
30303,on,2020,legislated,ref,ref,ref,ref,no,high,5435.82,wind
30373,on,2020,legislated,low,ref,ref,ref,no,high,5435.82,wind
30443,on,2020,legislated,low,ref,ref,ref,yes,high,5435.82,wind
30513,on,2020,legislated,low,high,ref,low,yes,high,5435.82,wind
30583,on,2020,legislated,high,high,ref,low,yes,high,5435.82,wind
30653,on,2020,legislated,ref,high,low,low,yes,high,5435.82,wind
30723,on,2020,legislated,low,high,low,low,yes,high,5435.82,wind
30793,on,2020,legislated,high,high,low,low,yes,high,5435.82,wind
30863,on,2020,legislated,ref,high,high,low,yes,high,5435.82,wind
30933,on,2020,legislated,low,high,high,low,yes,high,5435.82,wind
31003,on,2020,legislated,high,high,high,low,yes,high,5435.82,wind
31073,on,2020,legislated,high,ref,ref,ref,yes,high,5435.82,wind
31143,on,2020,legislated,ref,ref,low,ref,yes,high,5435.82,wind
31213,on,2020,legislated,low,ref,low,ref,yes,high,5435.82,wind
31283,on,2020,legislated,high,ref,low,ref,yes,high,5435.82,wind
31353,on,2020,legislated,ref,ref,high,ref,yes,high,5435.82,wind
31423,on,2020,legislated,low,ref,high,ref,yes,high,5435.82,wind
31493,on,2020,legislated,high,ref,high,ref,yes,high,5435.82,wind
31563,on,2020,legislated,ref,low,ref,ref,no,high,5435.82,wind
31633,on,2020,legislated,low,low,ref,ref,no,high,5435.82,wind
31703,on,2020,legislated,high,ref,ref,ref,no,high,5435.82,wind
31773,on,2020,legislated,high,low,ref,ref,no,high,5435.82,wind
31843,on,2020,legislated,ref,low,low,ref,no,high,5435.82,wind
31913,on,2020,legislated,low,low,low,ref,no,high,5435.82,wind
31983,on,2020,legislated,high,low,low,ref,no,high,5435.82,wind
32053,on,2020,legislated,ref,low,high,ref,no,high,5435.82,wind
32123,on,2020,legislated,low,low,high,ref,no,high,5435.82,wind
32193,on,2020,legislated,high,low,high,ref,no,high,5435.82,wind
32263,on,2020,legislated,ref,low,ref,ref,yes,high,5435.82,wind
32333,on,2020,legislated,low,low,ref,ref,yes,high,5435.82,wind
32403,on,2020,legislated,high,low,ref,ref,yes,high,5435.82,wind
32473,on,2020,legislated,ref,ref,low,ref,no,high,5435.82,wind
32543,on,2020,legislated,ref,low,low,ref,yes,high,5435.82,wind
32613,on,2020,legislated,low,low,low,ref,yes,high,5435.82,wind
32683,on,2020,legislated,high,low,low,ref,yes,high,5435.82,wind
32753,on,2020,legislated,ref,low,high,ref,yes,high,5435.82,wind
32823,on,2020,legislated,low,low,high,ref,yes,high,5435.82,wind
32893,on,2020,legislated,high,low,high,ref,yes,high,5435.82,wind
32963,on,2020,legislated,ref,high,ref,ref,no,high,5435.82,wind
33033,on,2020,legislated,low,high,ref,ref,no,high,5435.82,wind
33103,on,2020,legislated,high,high,ref,ref,no,high,5435.82,wind
33173,on,2020,legislated,ref,high,low,ref,no,high,5435.82,wind
33243,on,2020,legislated,low,ref,low,ref,no,high,5435.82,wind
33313,on,2020,legislated,low,high,low,ref,no,high,5435.82,wind
33383,on,2020,legislated,high,high,low,ref,no,high,5435.82,wind
33453,on,2020,legislated,ref,high,high,ref,no,high,5435.82,wind
33523,on,2020,legislated,low,high,high,ref,no,high,5435.82,wind
33593,on,2020,legislated,high,high,high,ref,no,high,5435.82,wind
33663,on,2020,legislated,ref,high,ref,ref,yes,high,5435.82,wind
33733,on,2020,legislated,low,high,ref,ref,yes,high,5435.82,wind
33803,on,2020,legislated,high,high,ref,ref,yes,high,5435.82,wind
33873,on,2020,legislated,ref,high,low,ref,yes,high,5435.82,wind
33943,on,2020,legislated,low,high,low,ref,yes,high,5435.82,wind
34013,on,2020,legislated,high,ref,low,ref,no,high,5435.82,wind
34083,on,2020,legislated,high,high,low,ref,yes,high,5435.82,wind
34153,on,2020,legislated,ref,high,high,ref,yes,high,5435.82,wind
34223,on,2020,legislated,low,high,high,ref,yes,high,5435.82,wind
34293,on,2020,legislated,high,high,high,ref,yes,high,5435.82,wind
34363,on,2020,legislated,ref,ref,ref,low,no,high,5435.82,wind
34433,on,2020,legislated,low,ref,ref,low,no,high,5435.82,wind
34503,on,2020,legislated,high,ref,ref,low,no,high,5435.82,wind
34573,on,2020,legislated,ref,ref,low,low,no,high,5435.82,wind
34643,on,2020,legislated,low,ref,low,low,no,high,5435.82,wind
34713,on,2020,legislated,high,ref,low,low,no,high,5435.82,wind
34783,on,2020,legislated,ref,ref,high,ref,no,high,5435.82,wind
34853,on,2020,legislated,ref,ref,high,low,no,high,5435.82,wind
34923,on,2020,legislated,low,ref,high,low,no,high,5435.82,wind
34993,on,2020,legislated,high,ref,high,low,no,high,5435.82,wind
35063,on,2020,legislated,ref,ref,ref,low,yes,high,5435.82,wind
35133,on,2020,legislated,low,ref,ref,low,yes,high,5435.82,wind
35203,on,2020,legislated,high,ref,ref,low,yes,high,5435.82,wind
35273,on,2020,legislated,ref,ref,low,low,yes,high,5435.82,wind
35343,on,2020,legislated,low,ref,low,low,yes,high,5435.82,wind
35413,on,2020,legislated,high,ref,low,low,yes,high,5435.82,wind
35483,on,2020,legislated,ref,ref,high,low,yes,high,5435.82,wind
35553,on,2020,legislated,low,ref,high,ref,no,high,5435.82,wind
35623,on,2020,legislated,low,ref,high,low,yes,high,5435.82,wind
35693,on,2020,legislated,high,ref,high,low,yes,high,5435.82,wind
35763,on,2020,legislated,ref,low,ref,low,no,high,5435.82,wind
35833,on,2020,legislated,low,low,ref,low,no,high,5435.82,wind
35903,on,2020,legislated,high,low,ref,low,no,high,5435.82,wind
35973,on,2020,legislated,ref,low,low,low,no,high,5435.82,wind
36043,on,2020,legislated,low,low,low,low,no,high,5435.82,wind
36113,on,2020,legislated,high,low,low,low,no,high,5435.82,wind
36183,on,2020,legislated,ref,low,high,low,no,high,5435.82,wind
36253,on,2020,legislated,low,low,high,low,no,high,5435.82,wind
36323,on,2020,legislated,high,ref,high,ref,no,high,5435.82,wind
36393,on,2020,legislated,high,low,high,low,no,high,5435.82,wind
36463,on,2020,legislated,ref,low,ref,low,yes,high,5435.82,wind
36533,on,2020,legislated,low,low,ref,low,yes,high,5435.82,wind
36603,on,2020,legislated,high,low,ref,low,yes,high,5435.82,wind
36673,on,2020,legislated,ref,low,low,low,yes,high,5435.82,wind
36743,on,2020,legislated,low,low,low,low,yes,high,5435.82,wind
36813,on,2020,legislated,high,low,low,low,yes,high,5435.82,wind
36883,on,2020,legislated,ref,low,high,low,yes,high,5435.82,wind
36953,on,2020,legislated,low,low,high,low,yes,high,5435.82,wind
37023,on,2020,legislated,high,low,high,low,yes,high,5435.82,wind
37093,on,2020,legislated,ref,ref,ref,ref,yes,high,5435.82,wind
37163,on,2020,legislated,ref,high,ref,low,no,high,5435.82,wind
37233,on,2020,legislated,low,high,ref,low,no,high,5435.82,wind
37303,on,2020,legislated,high,high,ref,low,no,high,5435.82,wind
37373,on,2020,legislated,ref,high,low,low,no,high,5435.82,wind
37443,on,2020,legislated,low,high,low,low,no,high,5435.82,wind
37513,on,2020,legislated,high,high,low,low,no,high,5435.82,wind
37583,on,2020,legislated,ref,high,high,low,no,high,5435.82,wind
37653,on,2020,legislated,low,high,high,low,no,high,5435.82,wind
37723,on,2020,legislated,high,high,high,low,no,high,5435.82,wind
37793,on,2020,legislated,ref,high,ref,low,yes,high,5435.82,wind
90783,on,2020,netzero,ref,ref,ref,ref,no,high,5435.82,wind
90853,on,2020,netzero,low,ref,ref,ref,no,high,5435.82,wind
90923,on,2020,netzero,low,ref,ref,ref,yes,high,5435.82,wind
90993,on,2020,netzero,low,high,ref,low,yes,high,5435.82,wind
91063,on,2020,netzero,high,high,ref,low,yes,high,5435.82,wind
91133,on,2020,netzero,ref,high,low,low,yes,high,5435.82,wind
91203,on,2020,netzero,low,high,low,low,yes,high,5435.82,wind
91273,on,2020,netzero,high,high,low,low,yes,high,5435.82,wind
91343,on,2020,netzero,ref,high,high,low,yes,high,5435.82,wind
91413,on,2020,netzero,low,high,high,low,yes,high,5435.82,wind
91483,on,2020,netzero,high,high,high,low,yes,high,5435.82,wind
91553,on,2020,netzero,high,ref,ref,ref,yes,high,5435.82,wind
91623,on,2020,netzero,ref,ref,low,ref,yes,high,5435.82,wind
91693,on,2020,netzero,low,ref,low,ref,yes,high,5435.82,wind
91763,on,2020,netzero,high,ref,low,ref,yes,high,5435.82,wind
91833,on,2020,netzero,ref,ref,high,ref,yes,high,5435.82,wind
91903,on,2020,netzero,low,ref,high,ref,yes,high,5435.82,wind
91973,on,2020,netzero,high,ref,high,ref,yes,high,5435.82,wind
92043,on,2020,netzero,ref,low,ref,ref,no,high,5435.82,wind
92113,on,2020,netzero,low,low,ref,ref,no,high,5435.82,wind
92183,on,2020,netzero,high,ref,ref,ref,no,high,5435.82,wind
92253,on,2020,netzero,high,low,ref,ref,no,high,5435.82,wind
92323,on,2020,netzero,ref,low,low,ref,no,high,5435.82,wind
92393,on,2020,netzero,low,low,low,ref,no,high,5435.82,wind
92463,on,2020,netzero,high,low,low,ref,no,high,5435.82,wind
92533,on,2020,netzero,ref,low,high,ref,no,high,5435.82,wind
92603,on,2020,netzero,low,low,high,ref,no,high,5435.82,wind
92673,on,2020,netzero,high,low,high,ref,no,high,5435.82,wind
92743,on,2020,netzero,ref,low,ref,ref,yes,high,5435.82,wind
92813,on,2020,netzero,low,low,ref,ref,yes,high,5435.82,wind
92883,on,2020,netzero,high,low,ref,ref,yes,high,5435.82,wind
92953,on,2020,netzero,ref,ref,low,ref,no,high,5435.82,wind
93023,on,2020,netzero,ref,low,low,ref,yes,high,5435.82,wind
93093,on,2020,netzero,low,low,low,ref,yes,high,5435.82,wind
93163,on,2020,netzero,high,low,low,ref,yes,high,5435.82,wind
93233,on,2020,netzero,ref,low,high,ref,yes,high,5435.82,wind
93303,on,2020,netzero,low,low,high,ref,yes,high,5435.82,wind
93373,on,2020,netzero,high,low,high,ref,yes,high,5435.82,wind
93443,on,2020,netzero,ref,high,ref,ref,no,high,5435.82,wind
93513,on,2020,netzero,low,high,ref,ref,no,high,5435.82,wind
93583,on,2020,netzero,high,high,ref,ref,no,high,5435.82,wind
93653,on,2020,netzero,ref,high,low,ref,no,high,5435.82,wind
93723,on,2020,netzero,low,ref,low,ref,no,high,5435.82,wind
93793,on,2020,netzero,low,high,low,ref,no,high,5435.82,wind
93863,on,2020,netzero,high,high,low,ref,no,high,5435.82,wind
93933,on,2020,netzero,ref,high,high,ref,no,high,5435.82,wind
94003,on,2020,netzero,low,high,high,ref,no,high,5435.82,wind
94073,on,2020,netzero,high,high,high,ref,no,high,5435.82,wind
94143,on,2020,netzero,ref,high,ref,ref,yes,high,5435.82,wind
94213,on,2020,netzero,low,high,ref,ref,yes,high,5435.82,wind
94283,on,2020,netzero,high,high,ref,ref,yes,high,5435.82,wind
94353,on,2020,netzero,ref,high,low,ref,yes,high,5435.82,wind
94423,on,2020,netzero,low,high,low,ref,yes,high,5435.82,wind
94493,on,2020,netzero,high,ref,low,ref,no,high,5435.82,wind
94563,on,2020,netzero,high,high,low,ref,yes,high,5435.82,wind
94633,on,2020,netzero,ref,high,high,ref,yes,high,5435.82,wind
94703,on,2020,netzero,low,high,high,ref,yes,high,5435.82,wind
94773,on,2020,netzero,high,high,high,ref,yes,high,5435.82,wind
94843,on,2020,netzero,ref,ref,ref,low,no,high,5435.82,wind
94913,on,2020,netzero,low,ref,ref,low,no,high,5435.82,wind
94983,on,2020,netzero,high,ref,ref,low,no,high,5435.82,wind
95053,on,2020,netzero,ref,ref,low,low,no,high,5435.82,wind
