id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,sector
27272,on,2020,legislated,ref,ref,ref,ref,no,high,39.94079914,residential buildings
27335,on,2020,legislated,low,ref,ref,ref,no,high,39.93592591,residential buildings
27398,on,2020,legislated,low,ref,ref,ref,yes,high,39.93592591,residential buildings
27461,on,2020,legislated,low,high,ref,low,yes,high,39.93683524,residential buildings
27524,on,2020,legislated,high,high,ref,low,yes,high,39.9460961,residential buildings
27587,on,2020,legislated,ref,high,low,low,yes,high,39.9416838,residential buildings
27650,on,2020,legislated,low,high,low,low,yes,high,39.93683524,residential buildings
27713,on,2020,legislated,high,high,low,low,yes,high,39.9460961,residential buildings
27776,on,2020,legislated,ref,high,high,low,yes,high,39.9416838,residential buildings
27839,on,2020,legislated,low,high,high,low,yes,high,39.93683524,residential buildings
27902,on,2020,legislated,high,high,high,low,yes,high,39.9460961,residential buildings
27965,on,2020,legislated,high,ref,ref,ref,yes,high,39.94524669,residential buildings
28028,on,2020,legislated,ref,ref,low,ref,yes,high,39.94084589,residential buildings
28091,on,2020,legislated,low,ref,low,ref,yes,high,39.93592591,residential buildings
28154,on,2020,legislated,high,ref,low,ref,yes,high,39.94524669,residential buildings
28217,on,2020,legislated,ref,ref,high,ref,yes,high,39.94084589,residential buildings
28280,on,2020,legislated,low,ref,high,ref,yes,high,39.93592591,residential buildings
28343,on,2020,legislated,high,ref,high,ref,yes,high,39.94524669,residential buildings
28406,on,2020,legislated,ref,low,ref,ref,no,high,39.9402285,residential buildings
28469,on,2020,legislated,low,low,ref,ref,no,high,39.93456649,residential buildings
28532,on,2020,legislated,high,ref,ref,ref,no,high,39.94524669,residential buildings
28595,on,2020,legislated,high,low,ref,ref,no,high,39.94421337,residential buildings
28658,on,2020,legislated,ref,low,low,ref,no,high,39.9402285,residential buildings
28721,on,2020,legislated,low,low,low,ref,no,high,39.93456649,residential buildings
28784,on,2020,legislated,high,low,low,ref,no,high,39.94421337,residential buildings
28847,on,2020,legislated,ref,low,high,ref,no,high,39.9402285,residential buildings
28910,on,2020,legislated,low,low,high,ref,no,high,39.93456649,residential buildings
28973,on,2020,legislated,high,low,high,ref,no,high,39.94421337,residential buildings
29036,on,2020,legislated,ref,low,ref,ref,yes,high,39.9402285,residential buildings
29099,on,2020,legislated,low,low,ref,ref,yes,high,39.93456649,residential buildings
29162,on,2020,legislated,high,low,ref,ref,yes,high,39.94421337,residential buildings
29225,on,2020,legislated,ref,ref,low,ref,no,high,39.94084589,residential buildings
29288,on,2020,legislated,ref,low,low,ref,yes,high,39.9402285,residential buildings
29351,on,2020,legislated,low,low,low,ref,yes,high,39.93456649,residential buildings
29414,on,2020,legislated,high,low,low,ref,yes,high,39.94421337,residential buildings
29477,on,2020,legislated,ref,low,high,ref,yes,high,39.9402285,residential buildings
29540,on,2020,legislated,low,low,high,ref,yes,high,39.93456649,residential buildings
29603,on,2020,legislated,high,low,high,ref,yes,high,39.94421337,residential buildings
29666,on,2020,legislated,ref,high,ref,ref,no,high,39.9416838,residential buildings
29729,on,2020,legislated,low,high,ref,ref,no,high,39.93683524,residential buildings
29792,on,2020,legislated,high,high,ref,ref,no,high,39.9460961,residential buildings
29855,on,2020,legislated,ref,high,low,ref,no,high,39.9416838,residential buildings
29918,on,2020,legislated,low,ref,low,ref,no,high,39.93592591,residential buildings
29981,on,2020,legislated,low,high,low,ref,no,high,39.93683524,residential buildings
30044,on,2020,legislated,high,high,low,ref,no,high,39.9460961,residential buildings
30107,on,2020,legislated,ref,high,high,ref,no,high,39.9416838,residential buildings
30170,on,2020,legislated,low,high,high,ref,no,high,39.93683524,residential buildings
30233,on,2020,legislated,high,high,high,ref,no,high,39.9460961,residential buildings
30296,on,2020,legislated,ref,high,ref,ref,yes,high,39.9416838,residential buildings
30359,on,2020,legislated,low,high,ref,ref,yes,high,39.93683524,residential buildings
30422,on,2020,legislated,high,high,ref,ref,yes,high,39.9460961,residential buildings
30485,on,2020,legislated,ref,high,low,ref,yes,high,39.9416838,residential buildings
30548,on,2020,legislated,low,high,low,ref,yes,high,39.93683524,residential buildings
30611,on,2020,legislated,high,ref,low,ref,no,high,39.94524669,residential buildings
30674,on,2020,legislated,high,high,low,ref,yes,high,39.9460961,residential buildings
30737,on,2020,legislated,ref,high,high,ref,yes,high,39.9416838,residential buildings
30800,on,2020,legislated,low,high,high,ref,yes,high,39.93683524,residential buildings
30863,on,2020,legislated,high,high,high,ref,yes,high,39.9460961,residential buildings
30926,on,2020,legislated,ref,ref,ref,low,no,high,39.94084589,residential buildings
30989,on,2020,legislated,low,ref,ref,low,no,high,39.93592591,residential buildings
31052,on,2020,legislated,high,ref,ref,low,no,high,39.94524669,residential buildings
31115,on,2020,legislated,ref,ref,low,low,no,high,39.94084589,residential buildings
31178,on,2020,legislated,low,ref,low,low,no,high,39.93592591,residential buildings
31241,on,2020,legislated,high,ref,low,low,no,high,39.94524669,residential buildings
31304,on,2020,legislated,ref,ref,high,ref,no,high,39.94084589,residential buildings
31367,on,2020,legislated,ref,ref,high,low,no,high,39.94084589,residential buildings
31430,on,2020,legislated,low,ref,high,low,no,high,39.93592591,residential buildings
31493,on,2020,legislated,high,ref,high,low,no,high,39.94524669,residential buildings
31556,on,2020,legislated,ref,ref,ref,low,yes,high,39.94084589,residential buildings
31619,on,2020,legislated,low,ref,ref,low,yes,high,39.93592591,residential buildings
31682,on,2020,legislated,high,ref,ref,low,yes,high,39.94524669,residential buildings
31745,on,2020,legislated,ref,ref,low,low,yes,high,39.94084589,residential buildings
31808,on,2020,legislated,low,ref,low,low,yes,high,39.93592591,residential buildings
31871,on,2020,legislated,high,ref,low,low,yes,high,39.94524669,residential buildings
31934,on,2020,legislated,ref,ref,high,low,yes,high,39.94084589,residential buildings
31997,on,2020,legislated,low,ref,high,ref,no,high,39.93592591,residential buildings
32060,on,2020,legislated,low,ref,high,low,yes,high,39.93592591,residential buildings
32123,on,2020,legislated,high,ref,high,low,yes,high,39.94524669,residential buildings
32186,on,2020,legislated,ref,low,ref,low,no,high,39.9402285,residential buildings
32249,on,2020,legislated,low,low,ref,low,no,high,39.93456649,residential buildings
32312,on,2020,legislated,high,low,ref,low,no,high,39.94421337,residential buildings
32375,on,2020,legislated,ref,low,low,low,no,high,39.9402285,residential buildings
32438,on,2020,legislated,low,low,low,low,no,high,39.93456649,residential buildings
32501,on,2020,legislated,high,low,low,low,no,high,39.94421337,residential buildings
32564,on,2020,legislated,ref,low,high,low,no,high,39.9402285,residential buildings
32627,on,2020,legislated,low,low,high,low,no,high,39.93456649,residential buildings
32690,on,2020,legislated,high,ref,high,ref,no,high,39.94524669,residential buildings
32753,on,2020,legislated,high,low,high,low,no,high,39.94421337,residential buildings
32816,on,2020,legislated,ref,low,ref,low,yes,high,39.9402285,residential buildings
32879,on,2020,legislated,low,low,ref,low,yes,high,39.93456649,residential buildings
32942,on,2020,legislated,high,low,ref,low,yes,high,39.94421337,residential buildings
33005,on,2020,legislated,ref,low,low,low,yes,high,39.9402285,residential buildings
33068,on,2020,legislated,low,low,low,low,yes,high,39.93456649,residential buildings
33131,on,2020,legislated,high,low,low,low,yes,high,39.94421337,residential buildings
33194,on,2020,legislated,ref,low,high,low,yes,high,39.9402285,residential buildings
33257,on,2020,legislated,low,low,high,low,yes,high,39.93456649,residential buildings
33320,on,2020,legislated,high,low,high,low,yes,high,39.94421337,residential buildings
33383,on,2020,legislated,ref,ref,ref,ref,yes,high,39.94079914,residential buildings
33446,on,2020,legislated,ref,high,ref,low,no,high,39.9416838,residential buildings
33509,on,2020,legislated,low,high,ref,low,no,high,39.93683524,residential buildings
33572,on,2020,legislated,high,high,ref,low,no,high,39.9460961,residential buildings
33635,on,2020,legislated,ref,high,low,low,no,high,39.9416838,residential buildings
33698,on,2020,legislated,low,high,low,low,no,high,39.93683524,residential buildings
33761,on,2020,legislated,high,high,low,low,no,high,39.9460961,residential buildings
33824,on,2020,legislated,ref,high,high,low,no,high,39.9416838,residential buildings
33887,on,2020,legislated,low,high,high,low,no,high,39.93683524,residential buildings
33950,on,2020,legislated,high,high,high,low,no,high,39.9460961,residential buildings
34013,on,2020,legislated,ref,high,ref,low,yes,high,39.9416838,residential buildings
81704,on,2020,netzero,ref,ref,ref,ref,no,high,39.94079914,residential buildings
81767,on,2020,netzero,low,ref,ref,ref,no,high,39.93592591,residential buildings
81830,on,2020,netzero,low,ref,ref,ref,yes,high,39.93592591,residential buildings
81893,on,2020,netzero,low,high,ref,low,yes,high,39.93683524,residential buildings
81956,on,2020,netzero,high,high,ref,low,yes,high,39.9460961,residential buildings
82019,on,2020,netzero,ref,high,low,low,yes,high,39.9416838,residential buildings
82082,on,2020,netzero,low,high,low,low,yes,high,39.93683524,residential buildings
82145,on,2020,netzero,high,high,low,low,yes,high,39.9460961,residential buildings
82208,on,2020,netzero,ref,high,high,low,yes,high,39.9416838,residential buildings
82271,on,2020,netzero,low,high,high,low,yes,high,39.93683524,residential buildings
82334,on,2020,netzero,high,high,high,low,yes,high,39.9460961,residential buildings
82397,on,2020,netzero,high,ref,ref,ref,yes,high,39.94524669,residential buildings
82460,on,2020,netzero,ref,ref,low,ref,yes,high,39.94084589,residential buildings
82523,on,2020,netzero,low,ref,low,ref,yes,high,39.93592591,residential buildings
82586,on,2020,netzero,high,ref,low,ref,yes,high,39.94524669,residential buildings
82649,on,2020,netzero,ref,ref,high,ref,yes,high,39.94084589,residential buildings
82712,on,2020,netzero,low,ref,high,ref,yes,high,39.93592591,residential buildings
82775,on,2020,netzero,high,ref,high,ref,yes,high,39.94524669,residential buildings
82838,on,2020,netzero,ref,low,ref,ref,no,high,39.9402285,residential buildings
82901,on,2020,netzero,low,low,ref,ref,no,high,39.93456649,residential buildings
82964,on,2020,netzero,high,ref,ref,ref,no,high,39.94523237,residential buildings
83027,on,2020,netzero,high,low,ref,ref,no,high,39.94421337,residential buildings
83090,on,2020,netzero,ref,low,low,ref,no,high,39.9402285,residential buildings
83153,on,2020,netzero,low,low,low,ref,no,high,39.93456649,residential buildings
83216,on,2020,netzero,high,low,low,ref,no,high,39.94421337,residential buildings
83279,on,2020,netzero,ref,low,high,ref,no,high,39.9402285,residential buildings
83342,on,2020,netzero,low,low,high,ref,no,high,39.93456649,residential buildings
83405,on,2020,netzero,high,low,high,ref,no,high,39.94421337,residential buildings
83468,on,2020,netzero,ref,low,ref,ref,yes,high,39.9402285,residential buildings
83531,on,2020,netzero,low,low,ref,ref,yes,high,39.93456649,residential buildings
83594,on,2020,netzero,high,low,ref,ref,yes,high,39.94421337,residential buildings
