id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value
3024,on,2020,legislated,ref,ref,ref,ref,no,high,54.45032788
3031,on,2020,legislated,low,ref,ref,ref,no,high,54.48881251
3038,on,2020,legislated,low,ref,ref,ref,yes,high,54.48881251
3045,on,2020,legislated,low,high,ref,low,yes,high,54.48749623
3052,on,2020,legislated,high,high,ref,low,yes,high,54.39779122
3059,on,2020,legislated,ref,high,low,low,yes,high,54.44908654
3066,on,2020,legislated,low,high,low,low,yes,high,54.48749623
3073,on,2020,legislated,high,high,low,low,yes,high,54.39779122
3080,on,2020,legislated,ref,high,high,low,yes,high,54.44908654
3087,on,2020,legislated,low,high,high,low,yes,high,54.48749623
3094,on,2020,legislated,high,high,high,low,yes,high,54.39779122
3101,on,2020,legislated,high,ref,ref,ref,yes,high,54.39902951
3108,on,2020,legislated,ref,ref,low,ref,yes,high,54.450238
3115,on,2020,legislated,low,ref,low,ref,yes,high,54.48881251
3122,on,2020,legislated,high,ref,low,ref,yes,high,54.39902951
3129,on,2020,legislated,ref,ref,high,ref,yes,high,54.450238
3136,on,2020,legislated,low,ref,high,ref,yes,high,54.48881251
3143,on,2020,legislated,high,ref,high,ref,yes,high,54.39902951
3150,on,2020,legislated,ref,low,ref,ref,no,high,54.44323956
3157,on,2020,legislated,low,low,ref,ref,no,high,54.49895627
3164,on,2020,legislated,high,ref,ref,ref,no,high,54.39902951
3171,on,2020,legislated,high,low,ref,ref,no,high,54.40059557
3178,on,2020,legislated,ref,low,low,ref,no,high,54.44323956
3185,on,2020,legislated,low,low,low,ref,no,high,54.49895627
3192,on,2020,legislated,high,low,low,ref,no,high,54.40059557
3199,on,2020,legislated,ref,low,high,ref,no,high,54.44323956
3206,on,2020,legislated,low,low,high,ref,no,high,54.49895627
3213,on,2020,legislated,high,low,high,ref,no,high,54.40059557
3220,on,2020,legislated,ref,low,ref,ref,yes,high,54.44323956
3227,on,2020,legislated,low,low,ref,ref,yes,high,54.49895627
3234,on,2020,legislated,high,low,ref,ref,yes,high,54.40059557
3241,on,2020,legislated,ref,ref,low,ref,no,high,54.450238
3248,on,2020,legislated,ref,low,low,ref,yes,high,54.44323956
3255,on,2020,legislated,low,low,low,ref,yes,high,54.49895627
3262,on,2020,legislated,high,low,low,ref,yes,high,54.40059557
3269,on,2020,legislated,ref,low,high,ref,yes,high,54.44323956
3276,on,2020,legislated,low,low,high,ref,yes,high,54.49895627
3283,on,2020,legislated,high,low,high,ref,yes,high,54.40059557
3290,on,2020,legislated,ref,high,ref,ref,no,high,54.44908654
3297,on,2020,legislated,low,high,ref,ref,no,high,54.48749623
3304,on,2020,legislated,high,high,ref,ref,no,high,54.39779122
3311,on,2020,legislated,ref,high,low,ref,no,high,54.44908654
3318,on,2020,legislated,low,ref,low,ref,no,high,54.48881251
3325,on,2020,legislated,low,high,low,ref,no,high,54.48749623
3332,on,2020,legislated,high,high,low,ref,no,high,54.39779122
