id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,type
5190,on,2025,legislated,ref,ref,ref,ref,no,high,225.329829,short duration
5202,on,2025,legislated,low,ref,ref,ref,no,high,934.4792207,short duration
5214,on,2025,legislated,low,ref,ref,ref,yes,high,934.4792207,short duration
5226,on,2025,legislated,low,high,ref,low,yes,high,835.0723302,short duration
5238,on,2025,legislated,high,high,ref,low,yes,high,996.9462962,short duration
5250,on,2025,legislated,ref,high,low,low,yes,high,223.0406992,short duration
5262,on,2025,legislated,low,high,low,low,yes,high,835.2156944,short duration
5274,on,2025,legislated,high,high,low,low,yes,high,996.9573571,short duration
5286,on,2025,legislated,ref,high,high,low,yes,high,223.031129,short duration
5298,on,2025,legislated,low,high,high,low,yes,high,834.9248173,short duration
5310,on,2025,legislated,high,high,high,low,yes,high,996.939768,short duration
5322,on,2025,legislated,high,ref,ref,ref,yes,high,967.2529081,short duration
5334,on,2025,legislated,ref,ref,low,ref,yes,high,225.3352537,short duration
5346,on,2025,legislated,low,ref,low,ref,yes,high,933.9769626,short duration
5358,on,2025,legislated,high,ref,low,ref,yes,high,967.2670395,short duration
5370,on,2025,legislated,ref,ref,high,ref,yes,high,225.323634,short duration
5382,on,2025,legislated,low,ref,high,ref,yes,high,934.2254343,short duration
5394,on,2025,legislated,high,ref,high,ref,yes,high,967.2534695,short duration
5406,on,2025,legislated,ref,low,ref,ref,no,high,225.3289746,short duration
5418,on,2025,legislated,low,low,ref,ref,no,high,939.1727454,short duration
5430,on,2025,legislated,high,ref,ref,ref,no,high,967.2529081,short duration
5442,on,2025,legislated,high,low,ref,ref,no,high,967.2308703,short duration
5454,on,2025,legislated,ref,low,low,ref,no,high,225.3339401,short duration
5466,on,2025,legislated,low,low,low,ref,no,high,938.7579977,short duration
5478,on,2025,legislated,high,low,low,ref,no,high,967.2461914,short duration
5490,on,2025,legislated,ref,low,high,ref,no,high,225.3224173,short duration
5502,on,2025,legislated,low,low,high,ref,no,high,939.0091341,short duration
5514,on,2025,legislated,high,low,high,ref,no,high,967.2216115,short duration
5526,on,2025,legislated,ref,low,ref,ref,yes,high,225.3289746,short duration
5538,on,2025,legislated,low,low,ref,ref,yes,high,939.1727454,short duration
5550,on,2025,legislated,high,low,ref,ref,yes,high,967.2308703,short duration
5562,on,2025,legislated,ref,ref,low,ref,no,high,225.3352537,short duration
5574,on,2025,legislated,ref,low,low,ref,yes,high,225.3339401,short duration
5586,on,2025,legislated,low,low,low,ref,yes,high,938.7579977,short duration
5598,on,2025,legislated,high,low,low,ref,yes,high,967.2461914,short duration
5610,on,2025,legislated,ref,low,high,ref,yes,high,225.3224173,short duration
5622,on,2025,legislated,low,low,high,ref,yes,high,939.0091341,short duration
5634,on,2025,legislated,high,low,high,ref,yes,high,967.2216115,short duration
5646,on,2025,legislated,ref,high,ref,ref,no,high,225.3892802,short duration
