id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,fuel_name
27237,on,2020,legislated,ref,ref,ref,ref,no,high,516.6082088,electricity
27300,on,2020,legislated,low,ref,ref,ref,no,high,516.6951154,electricity
27363,on,2020,legislated,low,ref,ref,ref,yes,high,516.6951154,electricity
27426,on,2020,legislated,low,high,ref,low,yes,high,516.6922652,electricity
27489,on,2020,legislated,high,high,ref,low,yes,high,516.5500893,electricity
27552,on,2020,legislated,ref,high,low,low,yes,high,516.6050993,electricity
27615,on,2020,legislated,low,high,low,low,yes,high,516.6922652,electricity
27678,on,2020,legislated,high,high,low,low,yes,high,516.5500893,electricity
27741,on,2020,legislated,ref,high,high,low,yes,high,516.6050993,electricity
27804,on,2020,legislated,low,high,high,low,yes,high,516.6922652,electricity
27867,on,2020,legislated,high,high,high,low,yes,high,516.5500893,electricity
27930,on,2020,legislated,high,ref,ref,ref,yes,high,516.5531385,electricity
27993,on,2020,legislated,ref,ref,low,ref,yes,high,516.6085162,electricity
28056,on,2020,legislated,low,ref,low,ref,yes,high,516.6951154,electricity
28119,on,2020,legislated,high,ref,low,ref,yes,high,516.5531385,electricity
28182,on,2020,legislated,ref,ref,high,ref,yes,high,516.6085162,electricity
28245,on,2020,legislated,low,ref,high,ref,yes,high,516.6951154,electricity
28308,on,2020,legislated,high,ref,high,ref,yes,high,516.5531385,electricity
28371,on,2020,legislated,ref,low,ref,ref,no,high,516.6120327,electricity
28434,on,2020,legislated,low,low,ref,ref,no,high,516.6893103,electricity
28497,on,2020,legislated,high,ref,ref,ref,no,high,516.5531385,electricity
28560,on,2020,legislated,high,low,ref,ref,no,high,516.551999,electricity
28623,on,2020,legislated,ref,low,low,ref,no,high,516.6120327,electricity
28686,on,2020,legislated,low,low,low,ref,no,high,516.6893103,electricity
28749,on,2020,legislated,high,low,low,ref,no,high,516.551999,electricity
28812,on,2020,legislated,ref,low,high,ref,no,high,516.6120327,electricity
28875,on,2020,legislated,low,low,high,ref,no,high,516.6893103,electricity
28938,on,2020,legislated,high,low,high,ref,no,high,516.551999,electricity
29001,on,2020,legislated,ref,low,ref,ref,yes,high,516.6120327,electricity
29064,on,2020,legislated,low,low,ref,ref,yes,high,516.6893103,electricity
29127,on,2020,legislated,high,low,ref,ref,yes,high,516.551999,electricity
29190,on,2020,legislated,ref,ref,low,ref,no,high,516.6085162,electricity
29253,on,2020,legislated,ref,low,low,ref,yes,high,516.6120327,electricity
