id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,sector
30296,on,2020,legislated,ref,ref,ref,ref,no,high,502.3921094,residential buildings
30366,on,2020,legislated,low,ref,ref,ref,no,high,502.3881945,residential buildings
30436,on,2020,legislated,low,ref,ref,ref,yes,high,502.3881945,residential buildings
30506,on,2020,legislated,low,high,ref,low,yes,high,502.3930567,residential buildings
30576,on,2020,legislated,high,high,ref,low,yes,high,502.3960535,residential buildings
30646,on,2020,legislated,ref,high,low,low,yes,high,502.3970931,residential buildings
30716,on,2020,legislated,low,high,low,low,yes,high,502.3930567,residential buildings
30786,on,2020,legislated,high,high,low,low,yes,high,502.3960535,residential buildings
30856,on,2020,legislated,ref,high,high,low,yes,high,502.3970931,residential buildings
30926,on,2020,legislated,low,high,high,low,yes,high,502.3930567,residential buildings
30996,on,2020,legislated,high,high,high,low,yes,high,502.3960535,residential buildings
31066,on,2020,legislated,high,ref,ref,ref,yes,high,502.3912777,residential buildings
31136,on,2020,legislated,ref,ref,low,ref,yes,high,502.3921117,residential buildings
31206,on,2020,legislated,low,ref,low,ref,yes,high,502.3881945,residential buildings
31276,on,2020,legislated,high,ref,low,ref,yes,high,502.3912777,residential buildings
31346,on,2020,legislated,ref,ref,high,ref,yes,high,502.3921117,residential buildings
31416,on,2020,legislated,low,ref,high,ref,yes,high,502.3881945,residential buildings
31486,on,2020,legislated,high,ref,high,ref,yes,high,502.3912777,residential buildings
31556,on,2020,legislated,ref,low,ref,ref,no,high,502.3866723,residential buildings
31626,on,2020,legislated,low,low,ref,ref,no,high,502.3823037,residential buildings
31696,on,2020,legislated,high,ref,ref,ref,no,high,502.3912777,residential buildings
31766,on,2020,legislated,high,low,ref,ref,no,high,502.3852898,residential buildings
31836,on,2020,legislated,ref,low,low,ref,no,high,502.3866723,residential buildings
31906,on,2020,legislated,low,low,low,ref,no,high,502.3823037,residential buildings
31976,on,2020,legislated,high,low,low,ref,no,high,502.3852898,residential buildings
32046,on,2020,legislated,ref,low,high,ref,no,high,502.3866723,residential buildings
32116,on,2020,legislated,low,low,high,ref,no,high,502.3823037,residential buildings
32186,on,2020,legislated,high,low,high,ref,no,high,502.3852898,residential buildings
32256,on,2020,legislated,ref,low,ref,ref,yes,high,502.3866723,residential buildings
32326,on,2020,legislated,low,low,ref,ref,yes,high,502.3823037,residential buildings
32396,on,2020,legislated,high,low,ref,ref,yes,high,502.3852898,residential buildings
32466,on,2020,legislated,ref,ref,low,ref,no,high,502.3921117,residential buildings
32536,on,2020,legislated,ref,low,low,ref,yes,high,502.3866723,residential buildings
32606,on,2020,legislated,low,low,low,ref,yes,high,502.3823037,residential buildings
32676,on,2020,legislated,high,low,low,ref,yes,high,502.3852898,residential buildings
32746,on,2020,legislated,ref,low,high,ref,yes,high,502.3866723,residential buildings
32816,on,2020,legislated,low,low,high,ref,yes,high,502.3823037,residential buildings
32886,on,2020,legislated,high,low,high,ref,yes,high,502.3852898,residential buildings
32956,on,2020,legislated,ref,high,ref,ref,no,high,502.3970931,residential buildings
33026,on,2020,legislated,low,high,ref,ref,no,high,502.3930567,residential buildings
33096,on,2020,legislated,high,high,ref,ref,no,high,502.3960535,residential buildings
