id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,sector
25968,on,2025,legislated,ref,ref,ref,ref,no,high,0.0,residential buildings
26028,on,2025,legislated,low,ref,ref,ref,no,high,0.0,residential buildings
26088,on,2025,legislated,low,ref,ref,ref,yes,high,0.0,residential buildings
26148,on,2025,legislated,low,high,ref,low,yes,high,0.0,residential buildings
26208,on,2025,legislated,high,high,ref,low,yes,high,0.0,residential buildings
26268,on,2025,legislated,ref,high,low,low,yes,high,0.0,residential buildings
26328,on,2025,legislated,low,high,low,low,yes,high,0.0,residential buildings
26388,on,2025,legislated,high,high,low,low,yes,high,0.0,residential buildings
26448,on,2025,legislated,ref,high,high,low,yes,high,0.0,residential buildings
26508,on,2025,legislated,low,high,high,low,yes,high,0.0,residential buildings
26568,on,2025,legislated,high,high,high,low,yes,high,0.0,residential buildings
26628,on,2025,legislated,high,ref,ref,ref,yes,high,0.0,residential buildings
26688,on,2025,legislated,ref,ref,low,ref,yes,high,0.0,residential buildings
26748,on,2025,legislated,low,ref,low,ref,yes,high,0.0,residential buildings
26808,on,2025,legislated,high,ref,low,ref,yes,high,0.0,residential buildings
26868,on,2025,legislated,ref,ref,high,ref,yes,high,0.0,residential buildings
26928,on,2025,legislated,low,ref,high,ref,yes,high,0.0,residential buildings
26988,on,2025,legislated,high,ref,high,ref,yes,high,0.0,residential buildings
27048,on,2025,legislated,ref,low,ref,ref,no,high,0.0,residential buildings
27108,on,2025,legislated,low,low,ref,ref,no,high,0.0,residential buildings
27168,on,2025,legislated,high,ref,ref,ref,no,high,0.0,residential buildings
27228,on,2025,legislated,high,low,ref,ref,no,high,0.0,residential buildings
27288,on,2025,legislated,ref,low,low,ref,no,high,0.0,residential buildings
27348,on,2025,legislated,low,low,low,ref,no,high,0.0,residential buildings
27408,on,2025,legislated,high,low,low,ref,no,high,0.0,residential buildings
27468,on,2025,legislated,ref,low,high,ref,no,high,0.0,residential buildings
27528,on,2025,legislated,low,low,high,ref,no,high,0.0,residential buildings
27588,on,2025,legislated,high,low,high,ref,no,high,0.0,residential buildings
27648,on,2025,legislated,ref,low,ref,ref,yes,high,0.0,residential buildings
27708,on,2025,legislated,low,low,ref,ref,yes,high,0.0,residential buildings
27768,on,2025,legislated,high,low,ref,ref,yes,high,0.0,residential buildings
27828,on,2025,legislated,ref,ref,low,ref,no,high,0.0,residential buildings
27888,on,2025,legislated,ref,low,low,ref,yes,high,0.0,residential buildings
27948,on,2025,legislated,low,low,low,ref,yes,high,0.0,residential buildings
28008,on,2025,legislated,high,low,low,ref,yes,high,0.0,residential buildings
28068,on,2025,legislated,ref,low,high,ref,yes,high,0.0,residential buildings
28128,on,2025,legislated,low,low,high,ref,yes,high,0.0,residential buildings
28188,on,2025,legislated,high,low,high,ref,yes,high,0.0,residential buildings
