id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,prod_type
5184,on,2025,legislated,ref,ref,ref,ref,no,high,0.054504795,electrolysis
5196,on,2025,legislated,low,ref,ref,ref,no,high,0.05202582,electrolysis
5208,on,2025,legislated,low,ref,ref,ref,yes,high,0.05202582,electrolysis
5220,on,2025,legislated,low,high,ref,low,yes,high,0.042519106,electrolysis
5232,on,2025,legislated,high,high,ref,low,yes,high,0.045256885,electrolysis
5244,on,2025,legislated,ref,high,low,low,yes,high,0.047927764,electrolysis
5256,on,2025,legislated,low,high,low,low,yes,high,0.04586032,electrolysis
5268,on,2025,legislated,high,high,low,low,yes,high,0.04887773,electrolysis
5280,on,2025,legislated,ref,high,high,low,yes,high,0.0412278,electrolysis
5292,on,2025,legislated,low,high,high,low,yes,high,0.039477754,electrolysis
5304,on,2025,legislated,high,high,high,low,yes,high,0.042052986,electrolysis
5316,on,2025,legislated,high,ref,ref,ref,yes,high,0.054680915,electrolysis
5328,on,2025,legislated,ref,ref,low,ref,yes,high,0.058422636,electrolysis
5340,on,2025,legislated,low,ref,low,ref,yes,high,0.055697978,electrolysis
5352,on,2025,legislated,high,ref,low,ref,yes,high,0.058624069,electrolysis
5364,on,2025,legislated,ref,ref,high,ref,yes,high,0.050456252,electrolysis
5376,on,2025,legislated,low,ref,high,ref,yes,high,0.04812056,electrolysis
5388,on,2025,legislated,high,ref,high,ref,yes,high,0.050630431,electrolysis
5400,on,2025,legislated,ref,low,ref,ref,no,high,0.054534625,electrolysis
5412,on,2025,legislated,low,low,ref,ref,no,high,0.052052904,electrolysis
5424,on,2025,legislated,high,ref,ref,ref,no,high,0.054680915,electrolysis
5436,on,2025,legislated,high,low,ref,ref,no,high,0.054705001,electrolysis
5448,on,2025,legislated,ref,low,low,ref,no,high,0.05845239,electrolysis
5460,on,2025,legislated,low,low,low,ref,no,high,0.055723572,electrolysis
5472,on,2025,legislated,high,low,low,ref,no,high,0.058649308,electrolysis
5484,on,2025,legislated,ref,low,high,ref,no,high,0.050482136,electrolysis
5496,on,2025,legislated,low,low,high,ref,no,high,0.048158138,electrolysis
5508,on,2025,legislated,high,low,high,ref,no,high,0.05064892,electrolysis
5520,on,2025,legislated,ref,low,ref,ref,yes,high,0.054534625,electrolysis
5532,on,2025,legislated,low,low,ref,ref,yes,high,0.052052904,electrolysis
5544,on,2025,legislated,high,low,ref,ref,yes,high,0.054705001,electrolysis
5556,on,2025,legislated,ref,ref,low,ref,no,high,0.058422636,electrolysis
5568,on,2025,legislated,ref,low,low,ref,yes,high,0.05845239,electrolysis
5580,on,2025,legislated,low,low,low,ref,yes,high,0.055723572,electrolysis
5592,on,2025,legislated,high,low,low,ref,yes,high,0.058649308,electrolysis
5604,on,2025,legislated,ref,low,high,ref,yes,high,0.050482136,electrolysis
5616,on,2025,legislated,low,low,high,ref,yes,high,0.048158138,electrolysis
5628,on,2025,legislated,high,low,high,ref,yes,high,0.05064892,electrolysis
5640,on,2025,legislated,ref,high,ref,ref,no,high,0.054146841,electrolysis
5652,on,2025,legislated,low,high,ref,ref,no,high,0.051874388,electrolysis
5664,on,2025,legislated,high,high,ref,ref,no,high,0.05451749,electrolysis
5676,on,2025,legislated,ref,high,low,ref,no,high,0.058053345,electrolysis
5688,on,2025,legislated,low,ref,low,ref,no,high,0.055697978,electrolysis
5700,on,2025,legislated,low,high,low,ref,no,high,0.055522019,electrolysis
5712,on,2025,legislated,high,high,low,ref,no,high,0.058453432,electrolysis
5724,on,2025,legislated,ref,high,high,ref,no,high,0.050135889,electrolysis
5736,on,2025,legislated,low,high,high,ref,no,high,0.047982372,electrolysis
5748,on,2025,legislated,high,high,high,ref,no,high,0.050480631,electrolysis
5760,on,2025,legislated,ref,high,ref,ref,yes,high,0.054146841,electrolysis
5772,on,2025,legislated,low,high,ref,ref,yes,high,0.051874388,electrolysis
5784,on,2025,legislated,high,high,ref,ref,yes,high,0.05451749,electrolysis
5796,on,2025,legislated,ref,high,low,ref,yes,high,0.058053345,electrolysis
5808,on,2025,legislated,low,high,low,ref,yes,high,0.055522019,electrolysis
5820,on,2025,legislated,high,ref,low,ref,no,high,0.058624069,electrolysis
5832,on,2025,legislated,high,high,low,ref,yes,high,0.058453432,electrolysis
5844,on,2025,legislated,ref,high,high,ref,yes,high,0.050135889,electrolysis
5856,on,2025,legislated,low,high,high,ref,yes,high,0.047982372,electrolysis
5868,on,2025,legislated,high,high,high,ref,yes,high,0.050480631,electrolysis
5880,on,2025,legislated,ref,ref,ref,low,no,high,0.044379007,electrolysis
5892,on,2025,legislated,low,ref,ref,low,no,high,0.042539029,electrolysis
5904,on,2025,legislated,high,ref,ref,low,no,high,0.045279096,electrolysis
5916,on,2025,legislated,ref,ref,low,low,no,high,0.047949006,electrolysis
5928,on,2025,legislated,low,ref,low,low,no,high,0.045881155,electrolysis
5940,on,2025,legislated,high,ref,low,low,no,high,0.04889923,electrolysis
5952,on,2025,legislated,ref,ref,high,ref,no,high,0.050456252,electrolysis
5964,on,2025,legislated,ref,ref,high,low,no,high,0.0412463,electrolysis
5976,on,2025,legislated,low,ref,high,low,no,high,0.039497048,electrolysis
5988,on,2025,legislated,high,ref,high,low,no,high,0.042073172,electrolysis
6000,on,2025,legislated,ref,ref,ref,low,yes,high,0.044379007,electrolysis
6012,on,2025,legislated,low,ref,ref,low,yes,high,0.042539029,electrolysis
6024,on,2025,legislated,high,ref,ref,low,yes,high,0.045279096,electrolysis
6036,on,2025,legislated,ref,ref,low,low,yes,high,0.047949006,electrolysis
6048,on,2025,legislated,low,ref,low,low,yes,high,0.045881155,electrolysis
6060,on,2025,legislated,high,ref,low,low,yes,high,0.04889923,electrolysis
6072,on,2025,legislated,ref,ref,high,low,yes,high,0.0412463,electrolysis
6084,on,2025,legislated,low,ref,high,ref,no,high,0.04812056,electrolysis
6096,on,2025,legislated,low,ref,high,low,yes,high,0.039497048,electrolysis
6108,on,2025,legislated,high,ref,high,low,yes,high,0.042073172,electrolysis
6120,on,2025,legislated,ref,low,ref,low,no,high,0.044414095,electrolysis
6132,on,2025,legislated,low,low,ref,low,no,high,0.042572653,electrolysis
6144,on,2025,legislated,high,low,ref,low,no,high,0.045316152,electrolysis
6156,on,2025,legislated,ref,low,low,low,no,high,0.047985883,electrolysis
6168,on,2025,legislated,low,low,low,low,no,high,0.045916632,electrolysis
6180,on,2025,legislated,high,low,low,low,no,high,0.048938322,electrolysis
6192,on,2025,legislated,ref,low,high,low,no,high,0.04127848,electrolysis
6204,on,2025,legislated,low,low,high,low,no,high,0.039526423,electrolysis
6216,on,2025,legislated,high,ref,high,ref,no,high,0.050630431,electrolysis
6228,on,2025,legislated,high,low,high,low,no,high,0.042107065,electrolysis
6240,on,2025,legislated,ref,low,ref,low,yes,high,0.044414095,electrolysis
6252,on,2025,legislated,low,low,ref,low,yes,high,0.042572653,electrolysis
6264,on,2025,legislated,high,low,ref,low,yes,high,0.045316152,electrolysis
6276,on,2025,legislated,ref,low,low,low,yes,high,0.047985883,electrolysis
6288,on,2025,legislated,low,low,low,low,yes,high,0.045916632,electrolysis
6300,on,2025,legislated,high,low,low,low,yes,high,0.048938322,electrolysis
6312,on,2025,legislated,ref,low,high,low,yes,high,0.04127848,electrolysis
6324,on,2025,legislated,low,low,high,low,yes,high,0.039526423,electrolysis
6336,on,2025,legislated,high,low,high,low,yes,high,0.042107065,electrolysis
6348,on,2025,legislated,ref,ref,ref,ref,yes,high,0.054504795,electrolysis
6360,on,2025,legislated,ref,high,ref,low,no,high,0.04435871,electrolysis
6372,on,2025,legislated,low,high,ref,low,no,high,0.042519106,electrolysis
6384,on,2025,legislated,high,high,ref,low,no,high,0.045256885,electrolysis
6396,on,2025,legislated,ref,high,low,low,no,high,0.047927764,electrolysis
6408,on,2025,legislated,low,high,low,low,no,high,0.04586032,electrolysis
6420,on,2025,legislated,high,high,low,low,no,high,0.04887773,electrolysis
6432,on,2025,legislated,ref,high,high,low,no,high,0.0412278,electrolysis
6444,on,2025,legislated,low,high,high,low,no,high,0.039477754,electrolysis
6456,on,2025,legislated,high,high,high,low,no,high,0.042052986,electrolysis
6468,on,2025,legislated,ref,high,ref,low,yes,high,0.04435871,electrolysis
15552,on,2025,netzero,ref,ref,ref,ref,no,high,0.054504795,electrolysis
15564,on,2025,netzero,low,ref,ref,ref,no,high,0.05202582,electrolysis
15576,on,2025,netzero,low,ref,ref,ref,yes,high,0.05202582,electrolysis
15588,on,2025,netzero,low,high,ref,low,yes,high,0.042519106,electrolysis
15600,on,2025,netzero,high,high,ref,low,yes,high,0.045256885,electrolysis
15612,on,2025,netzero,ref,high,low,low,yes,high,0.047927764,electrolysis
15624,on,2025,netzero,low,high,low,low,yes,high,0.04586032,electrolysis
15636,on,2025,netzero,high,high,low,low,yes,high,0.04887773,electrolysis
15648,on,2025,netzero,ref,high,high,low,yes,high,0.0412278,electrolysis
15660,on,2025,netzero,low,high,high,low,yes,high,0.039477754,electrolysis
15672,on,2025,netzero,high,high,high,low,yes,high,0.042052986,electrolysis
15684,on,2025,netzero,high,ref,ref,ref,yes,high,0.054680915,electrolysis
15696,on,2025,netzero,ref,ref,low,ref,yes,high,0.058422636,electrolysis
15708,on,2025,netzero,low,ref,low,ref,yes,high,0.055697978,electrolysis
15720,on,2025,netzero,high,ref,low,ref,yes,high,0.058624069,electrolysis
15732,on,2025,netzero,ref,ref,high,ref,yes,high,0.050456252,electrolysis
15744,on,2025,netzero,low,ref,high,ref,yes,high,0.04812056,electrolysis
15756,on,2025,netzero,high,ref,high,ref,yes,high,0.050630431,electrolysis
15768,on,2025,netzero,ref,low,ref,ref,no,high,0.054534625,electrolysis
15780,on,2025,netzero,low,low,ref,ref,no,high,0.052052904,electrolysis
15792,on,2025,netzero,high,ref,ref,ref,no,high,0.054681114,electrolysis
15804,on,2025,netzero,high,low,ref,ref,no,high,0.054705001,electrolysis
15816,on,2025,netzero,ref,low,low,ref,no,high,0.05845239,electrolysis
15828,on,2025,netzero,low,low,low,ref,no,high,0.055723572,electrolysis
15840,on,2025,netzero,high,low,low,ref,no,high,0.058649308,electrolysis
15852,on,2025,netzero,ref,low,high,ref,no,high,0.050482136,electrolysis
15864,on,2025,netzero,low,low,high,ref,no,high,0.048158138,electrolysis
15876,on,2025,netzero,high,low,high,ref,no,high,0.05064892,electrolysis
15888,on,2025,netzero,ref,low,ref,ref,yes,high,0.054534625,electrolysis
15900,on,2025,netzero,low,low,ref,ref,yes,high,0.052052904,electrolysis
15912,on,2025,netzero,high,low,ref,ref,yes,high,0.054705001,electrolysis
15924,on,2025,netzero,ref,ref,low,ref,no,high,0.058422636,electrolysis
15936,on,2025,netzero,ref,low,low,ref,yes,high,0.05845239,electrolysis
15948,on,2025,netzero,low,low,low,ref,yes,high,0.055723572,electrolysis
15960,on,2025,netzero,high,low,low,ref,yes,high,0.058649308,electrolysis
15972,on,2025,netzero,ref,low,high,ref,yes,high,0.050482136,electrolysis
15984,on,2025,netzero,low,low,high,ref,yes,high,0.048158138,electrolysis
15996,on,2025,netzero,high,low,high,ref,yes,high,0.05064892,electrolysis
16008,on,2025,netzero,ref,high,ref,ref,no,high,0.054146841,electrolysis
16020,on,2025,netzero,low,high,ref,ref,no,high,0.051874388,electrolysis
16032,on,2025,netzero,high,high,ref,ref,no,high,0.05451749,electrolysis
16044,on,2025,netzero,ref,high,low,ref,no,high,0.058053345,electrolysis
16056,on,2025,netzero,low,ref,low,ref,no,high,0.055697978,electrolysis
16068,on,2025,netzero,low,high,low,ref,no,high,0.055522019,electrolysis
16080,on,2025,netzero,high,high,low,ref,no,high,0.058453432,electrolysis
16092,on,2025,netzero,ref,high,high,ref,no,high,0.050135889,electrolysis
16104,on,2025,netzero,low,high,high,ref,no,high,0.047982372,electrolysis
16116,on,2025,netzero,high,high,high,ref,no,high,0.050480631,electrolysis
16128,on,2025,netzero,ref,high,ref,ref,yes,high,0.054146841,electrolysis
16140,on,2025,netzero,low,high,ref,ref,yes,high,0.051874388,electrolysis
16152,on,2025,netzero,high,high,ref,ref,yes,high,0.05451749,electrolysis
16164,on,2025,netzero,ref,high,low,ref,yes,high,0.058053345,electrolysis
16176,on,2025,netzero,low,high,low,ref,yes,high,0.055522019,electrolysis
16188,on,2025,netzero,high,ref,low,ref,no,high,0.058624069,electrolysis
16200,on,2025,netzero,high,high,low,ref,yes,high,0.058453432,electrolysis
16212,on,2025,netzero,ref,high,high,ref,yes,high,0.050135889,electrolysis
16224,on,2025,netzero,low,high,high,ref,yes,high,0.047982372,electrolysis
16236,on,2025,netzero,high,high,high,ref,yes,high,0.050480631,electrolysis
16248,on,2025,netzero,ref,ref,ref,low,no,high,0.044379007,electrolysis
16260,on,2025,netzero,low,ref,ref,low,no,high,0.042539029,electrolysis
16272,on,2025,netzero,high,ref,ref,low,no,high,0.045279096,electrolysis
16284,on,2025,netzero,ref,ref,low,low,no,high,0.047949006,electrolysis
16296,on,2025,netzero,low,ref,low,low,no,high,0.045881155,electrolysis
16308,on,2025,netzero,high,ref,low,low,no,high,0.04889923,electrolysis
16320,on,2025,netzero,ref,ref,high,ref,no,high,0.050456252,electrolysis
16332,on,2025,netzero,ref,ref,high,low,no,high,0.0412463,electrolysis
16344,on,2025,netzero,low,ref,high,low,no,high,0.039497048,electrolysis
16356,on,2025,netzero,high,ref,high,low,no,high,0.042073172,electrolysis
16368,on,2025,netzero,ref,ref,ref,low,yes,high,0.044379007,electrolysis
16380,on,2025,netzero,low,ref,ref,low,yes,high,0.042539029,electrolysis
16392,on,2025,netzero,high,ref,ref,low,yes,high,0.045279096,electrolysis
16404,on,2025,netzero,ref,ref,low,low,yes,high,0.047949006,electrolysis
16416,on,2025,netzero,low,ref,low,low,yes,high,0.045881155,electrolysis
16428,on,2025,netzero,high,ref,low,low,yes,high,0.04889923,electrolysis
16440,on,2025,netzero,ref,ref,high,low,yes,high,0.0412463,electrolysis
16452,on,2025,netzero,low,ref,high,ref,no,high,0.04812056,electrolysis
16464,on,2025,netzero,low,ref,high,low,yes,high,0.039497048,electrolysis
16476,on,2025,netzero,high,ref,high,low,yes,high,0.042073172,electrolysis
16488,on,2025,netzero,ref,low,ref,low,no,high,0.044414095,electrolysis
16500,on,2025,netzero,low,low,ref,low,no,high,0.042572653,electrolysis
16512,on,2025,netzero,high,low,ref,low,no,high,0.045316152,electrolysis
16524,on,2025,netzero,ref,low,low,low,no,high,0.047985883,electrolysis
16536,on,2025,netzero,low,low,low,low,no,high,0.045916632,electrolysis
16548,on,2025,netzero,high,low,low,low,no,high,0.048938322,electrolysis
16560,on,2025,netzero,ref,low,high,low,no,high,0.04127848,electrolysis
16572,on,2025,netzero,low,low,high,low,no,high,0.039526423,electrolysis
16584,on,2025,netzero,high,ref,high,ref,no,high,0.050630431,electrolysis
16596,on,2025,netzero,high,low,high,low,no,high,0.042107065,electrolysis
16608,on,2025,netzero,ref,low,ref,low,yes,high,0.044414095,electrolysis
16620,on,2025,netzero,low,low,ref,low,yes,high,0.042572653,electrolysis
16632,on,2025,netzero,high,low,ref,low,yes,high,0.045316152,electrolysis
16644,on,2025,netzero,ref,low,low,low,yes,high,0.047985883,electrolysis
16656,on,2025,netzero,low,low,low,low,yes,high,0.045916632,electrolysis
16668,on,2025,netzero,high,low,low,low,yes,high,0.048938322,electrolysis
16680,on,2025,netzero,ref,low,high,low,yes,high,0.04127848,electrolysis
16692,on,2025,netzero,low,low,high,low,yes,high,0.039526423,electrolysis
16704,on,2025,netzero,high,low,high,low,yes,high,0.042107065,electrolysis
16716,on,2025,netzero,ref,ref,ref,ref,yes,high,0.054504908,electrolysis
16728,on,2025,netzero,ref,high,ref,low,no,high,0.04435871,electrolysis
16740,on,2025,netzero,low,high,ref,low,no,high,0.042519106,electrolysis
16752,on,2025,netzero,high,high,ref,low,no,high,0.045256885,electrolysis
16764,on,2025,netzero,ref,high,low,low,no,high,0.047927764,electrolysis
16776,on,2025,netzero,low,high,low,low,no,high,0.04586032,electrolysis
16788,on,2025,netzero,high,high,low,low,no,high,0.04887773,electrolysis
16800,on,2025,netzero,ref,high,high,low,no,high,0.0412278,electrolysis
16812,on,2025,netzero,low,high,high,low,no,high,0.039477754,electrolysis
16824,on,2025,netzero,high,high,high,low,no,high,0.042052986,electrolysis
16836,on,2025,netzero,ref,high,ref,low,yes,high,0.04435871,electrolysis
25920,on,2025,netzero,ref,ref,ref,ref,no,low,0.054504795,electrolysis
25932,on,2025,netzero,low,ref,ref,ref,no,low,0.05202582,electrolysis
25944,on,2025,netzero,low,ref,ref,ref,yes,low,0.05202582,electrolysis
25956,on,2025,netzero,low,high,ref,low,yes,low,0.042519106,electrolysis
25968,on,2025,netzero,high,high,ref,low,yes,low,0.045256885,electrolysis
25980,on,2025,netzero,ref,high,low,low,yes,low,0.047927764,electrolysis
25992,on,2025,netzero,low,high,low,low,yes,low,0.04586032,electrolysis
26004,on,2025,netzero,high,high,low,low,yes,low,0.04887773,electrolysis
26016,on,2025,netzero,ref,high,high,low,yes,low,0.0412278,electrolysis
26028,on,2025,netzero,low,high,high,low,yes,low,0.039477754,electrolysis
26040,on,2025,netzero,high,high,high,low,yes,low,0.042052986,electrolysis
26052,on,2025,netzero,high,ref,ref,ref,yes,low,0.054680915,electrolysis
26064,on,2025,netzero,ref,ref,low,ref,yes,low,0.058422636,electrolysis
26076,on,2025,netzero,low,ref,low,ref,yes,low,0.055697978,electrolysis
26088,on,2025,netzero,high,ref,low,ref,yes,low,0.058624069,electrolysis
26100,on,2025,netzero,ref,ref,high,ref,yes,low,0.050456252,electrolysis
26112,on,2025,netzero,low,ref,high,ref,yes,low,0.04812056,electrolysis
26124,on,2025,netzero,high,ref,high,ref,yes,low,0.050630431,electrolysis
26136,on,2025,netzero,ref,low,ref,ref,no,low,0.054534625,electrolysis
26148,on,2025,netzero,low,low,ref,ref,no,low,0.052052904,electrolysis
26160,on,2025,netzero,high,ref,ref,ref,no,low,0.054680915,electrolysis
26172,on,2025,netzero,high,low,ref,ref,no,low,0.054705001,electrolysis
26184,on,2025,netzero,ref,low,low,ref,no,low,0.05845239,electrolysis
26196,on,2025,netzero,low,low,low,ref,no,low,0.055723572,electrolysis
26208,on,2025,netzero,high,low,low,ref,no,low,0.058649308,electrolysis
26220,on,2025,netzero,ref,low,high,ref,no,low,0.050482136,electrolysis
26232,on,2025,netzero,low,low,high,ref,no,low,0.048158138,electrolysis
26244,on,2025,netzero,high,low,high,ref,no,low,0.05064892,electrolysis
26256,on,2025,netzero,ref,low,ref,ref,yes,low,0.054534625,electrolysis
26268,on,2025,netzero,low,low,ref,ref,yes,low,0.052052904,electrolysis
26280,on,2025,netzero,high,low,ref,ref,yes,low,0.054705001,electrolysis
26292,on,2025,netzero,ref,ref,low,ref,no,low,0.058422636,electrolysis
26304,on,2025,netzero,ref,low,low,ref,yes,low,0.05845239,electrolysis
26316,on,2025,netzero,low,low,low,ref,yes,low,0.055723572,electrolysis
26328,on,2025,netzero,high,low,low,ref,yes,low,0.058649308,electrolysis
26340,on,2025,netzero,ref,low,high,ref,yes,low,0.050482136,electrolysis
26352,on,2025,netzero,low,low,high,ref,yes,low,0.048158138,electrolysis
