id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,category
27216,on,2020,legislated,ref,ref,ref,ref,no,high,102.5624303,agriculture and forestry
27279,on,2020,legislated,low,ref,ref,ref,no,high,102.5395183,agriculture and forestry
27342,on,2020,legislated,low,ref,ref,ref,yes,high,102.5395183,agriculture and forestry
27405,on,2020,legislated,low,high,ref,low,yes,high,102.5397521,agriculture and forestry
27468,on,2020,legislated,high,high,ref,low,yes,high,102.5836335,agriculture and forestry
27531,on,2020,legislated,ref,high,low,low,yes,high,102.56266,agriculture and forestry
27594,on,2020,legislated,low,high,low,low,yes,high,102.5397521,agriculture and forestry
27657,on,2020,legislated,high,high,low,low,yes,high,102.5836335,agriculture and forestry
27720,on,2020,legislated,ref,high,high,low,yes,high,102.56266,agriculture and forestry
27783,on,2020,legislated,low,high,high,low,yes,high,102.5397521,agriculture and forestry
27846,on,2020,legislated,high,high,high,low,yes,high,102.5836335,agriculture and forestry
27909,on,2020,legislated,high,ref,ref,ref,yes,high,102.5833716,agriculture and forestry
27972,on,2020,legislated,ref,ref,low,ref,yes,high,102.5624427,agriculture and forestry
28035,on,2020,legislated,low,ref,low,ref,yes,high,102.5395183,agriculture and forestry
28098,on,2020,legislated,high,ref,low,ref,yes,high,102.5833716,agriculture and forestry
28161,on,2020,legislated,ref,ref,high,ref,yes,high,102.5624427,agriculture and forestry
28224,on,2020,legislated,low,ref,high,ref,yes,high,102.5395183,agriculture and forestry
28287,on,2020,legislated,high,ref,high,ref,yes,high,102.5833716,agriculture and forestry
28350,on,2020,legislated,ref,low,ref,ref,no,high,102.5618888,agriculture and forestry
28413,on,2020,legislated,low,low,ref,ref,no,high,102.5398913,agriculture and forestry
28476,on,2020,legislated,high,ref,ref,ref,no,high,102.5833716,agriculture and forestry
28539,on,2020,legislated,high,low,ref,ref,no,high,102.5836245,agriculture and forestry
28602,on,2020,legislated,ref,low,low,ref,no,high,102.5618888,agriculture and forestry
28665,on,2020,legislated,low,low,low,ref,no,high,102.5398913,agriculture and forestry
28728,on,2020,legislated,high,low,low,ref,no,high,102.5836245,agriculture and forestry
28791,on,2020,legislated,ref,low,high,ref,no,high,102.5618888,agriculture and forestry
28854,on,2020,legislated,low,low,high,ref,no,high,102.5398913,agriculture and forestry
28917,on,2020,legislated,high,low,high,ref,no,high,102.5836245,agriculture and forestry
28980,on,2020,legislated,ref,low,ref,ref,yes,high,102.5618888,agriculture and forestry
29043,on,2020,legislated,low,low,ref,ref,yes,high,102.5398913,agriculture and forestry
29106,on,2020,legislated,high,low,ref,ref,yes,high,102.5836245,agriculture and forestry
