id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,type
33306,on,2020,legislated,ref,ref,ref,ref,no,high,14.18586085,low carbon electricity
33383,on,2020,legislated,low,ref,ref,ref,no,high,14.18702504,low carbon electricity
33460,on,2020,legislated,low,ref,ref,ref,yes,high,14.18702504,low carbon electricity
33537,on,2020,legislated,low,high,ref,low,yes,high,14.18670872,low carbon electricity
33614,on,2020,legislated,high,high,ref,low,yes,high,14.18621321,low carbon electricity
33691,on,2020,legislated,ref,high,low,low,yes,high,14.18564616,low carbon electricity
33768,on,2020,legislated,low,high,low,low,yes,high,14.18670872,low carbon electricity
33845,on,2020,legislated,high,high,low,low,yes,high,14.18621321,low carbon electricity
33922,on,2020,legislated,ref,high,high,low,yes,high,14.18564616,low carbon electricity
33999,on,2020,legislated,low,high,high,low,yes,high,14.18670872,low carbon electricity
34076,on,2020,legislated,high,high,high,low,yes,high,14.18621321,low carbon electricity
34153,on,2020,legislated,high,ref,ref,ref,yes,high,14.18637967,low carbon electricity
34230,on,2020,legislated,ref,ref,low,ref,yes,high,14.18575579,low carbon electricity
34307,on,2020,legislated,low,ref,low,ref,yes,high,14.18702504,low carbon electricity
34384,on,2020,legislated,high,ref,low,ref,yes,high,14.18637967,low carbon electricity
34461,on,2020,legislated,ref,ref,high,ref,yes,high,14.18575579,low carbon electricity
34538,on,2020,legislated,low,ref,high,ref,yes,high,14.18702504,low carbon electricity
34615,on,2020,legislated,high,ref,high,ref,yes,high,14.18637967,low carbon electricity
34692,on,2020,legislated,ref,low,ref,ref,no,high,14.18707545,low carbon electricity
34769,on,2020,legislated,low,low,ref,ref,no,high,14.18617561,low carbon electricity
34846,on,2020,legislated,high,ref,ref,ref,no,high,14.18637967,low carbon electricity
34923,on,2020,legislated,high,low,ref,ref,no,high,14.18665948,low carbon electricity
35000,on,2020,legislated,ref,low,low,ref,no,high,14.18707545,low carbon electricity
35077,on,2020,legislated,low,low,low,ref,no,high,14.18617561,low carbon electricity
35154,on,2020,legislated,high,low,low,ref,no,high,14.18665948,low carbon electricity
35231,on,2020,legislated,ref,low,high,ref,no,high,14.18707545,low carbon electricity
35308,on,2020,legislated,low,low,high,ref,no,high,14.18617561,low carbon electricity
35385,on,2020,legislated,high,low,high,ref,no,high,14.18665948,low carbon electricity
35462,on,2020,legislated,ref,low,ref,ref,yes,high,14.18707545,low carbon electricity
35539,on,2020,legislated,low,low,ref,ref,yes,high,14.18617561,low carbon electricity
35616,on,2020,legislated,high,low,ref,ref,yes,high,14.18665948,low carbon electricity
35693,on,2020,legislated,ref,ref,low,ref,no,high,14.18575579,low carbon electricity
35770,on,2020,legislated,ref,low,low,ref,yes,high,14.18707545,low carbon electricity
35847,on,2020,legislated,low,low,low,ref,yes,high,14.18617561,low carbon electricity
35924,on,2020,legislated,high,low,low,ref,yes,high,14.18665948,low carbon electricity
36001,on,2020,legislated,ref,low,high,ref,yes,high,14.18707545,low carbon electricity
36078,on,2020,legislated,low,low,high,ref,yes,high,14.18617561,low carbon electricity
36155,on,2020,legislated,high,low,high,ref,yes,high,14.18665948,low carbon electricity
36232,on,2020,legislated,ref,high,ref,ref,no,high,14.18564616,low carbon electricity
36309,on,2020,legislated,low,high,ref,ref,no,high,14.18670872,low carbon electricity
36386,on,2020,legislated,high,high,ref,ref,no,high,14.18621321,low carbon electricity
36463,on,2020,legislated,ref,high,low,ref,no,high,14.18564616,low carbon electricity
36540,on,2020,legislated,low,ref,low,ref,no,high,14.18702504,low carbon electricity
36617,on,2020,legislated,low,high,low,ref,no,high,14.18670872,low carbon electricity
36694,on,2020,legislated,high,high,low,ref,no,high,14.18621321,low carbon electricity
36771,on,2020,legislated,ref,high,high,ref,no,high,14.18564616,low carbon electricity
36848,on,2020,legislated,low,high,high,ref,no,high,14.18670872,low carbon electricity
36925,on,2020,legislated,high,high,high,ref,no,high,14.18621321,low carbon electricity
37002,on,2020,legislated,ref,high,ref,ref,yes,high,14.18564616,low carbon electricity
37079,on,2020,legislated,low,high,ref,ref,yes,high,14.18670872,low carbon electricity
37156,on,2020,legislated,high,high,ref,ref,yes,high,14.18621321,low carbon electricity
37233,on,2020,legislated,ref,high,low,ref,yes,high,14.18564616,low carbon electricity
37310,on,2020,legislated,low,high,low,ref,yes,high,14.18670872,low carbon electricity
37387,on,2020,legislated,high,ref,low,ref,no,high,14.18637967,low carbon electricity
37464,on,2020,legislated,high,high,low,ref,yes,high,14.18621321,low carbon electricity
37541,on,2020,legislated,ref,high,high,ref,yes,high,14.18564616,low carbon electricity
37618,on,2020,legislated,low,high,high,ref,yes,high,14.18670872,low carbon electricity
37695,on,2020,legislated,high,high,high,ref,yes,high,14.18621321,low carbon electricity
37772,on,2020,legislated,ref,ref,ref,low,no,high,14.18575579,low carbon electricity
37849,on,2020,legislated,low,ref,ref,low,no,high,14.18702504,low carbon electricity
37926,on,2020,legislated,high,ref,ref,low,no,high,14.18637967,low carbon electricity
38003,on,2020,legislated,ref,ref,low,low,no,high,14.18575579,low carbon electricity
38080,on,2020,legislated,low,ref,low,low,no,high,14.18702504,low carbon electricity
38157,on,2020,legislated,high,ref,low,low,no,high,14.18637967,low carbon electricity
38234,on,2020,legislated,ref,ref,high,ref,no,high,14.18575579,low carbon electricity
38311,on,2020,legislated,ref,ref,high,low,no,high,14.18575579,low carbon electricity
38388,on,2020,legislated,low,ref,high,low,no,high,14.18702504,low carbon electricity
38465,on,2020,legislated,high,ref,high,low,no,high,14.18637967,low carbon electricity
38542,on,2020,legislated,ref,ref,ref,low,yes,high,14.18575579,low carbon electricity
38619,on,2020,legislated,low,ref,ref,low,yes,high,14.18702504,low carbon electricity
38696,on,2020,legislated,high,ref,ref,low,yes,high,14.18637967,low carbon electricity
38773,on,2020,legislated,ref,ref,low,low,yes,high,14.18575579,low carbon electricity
38850,on,2020,legislated,low,ref,low,low,yes,high,14.18702504,low carbon electricity
38927,on,2020,legislated,high,ref,low,low,yes,high,14.18637967,low carbon electricity
39004,on,2020,legislated,ref,ref,high,low,yes,high,14.18575579,low carbon electricity
39081,on,2020,legislated,low,ref,high,ref,no,high,14.18702504,low carbon electricity
39158,on,2020,legislated,low,ref,high,low,yes,high,14.18702504,low carbon electricity
39235,on,2020,legislated,high,ref,high,low,yes,high,14.18637967,low carbon electricity
39312,on,2020,legislated,ref,low,ref,low,no,high,14.18707545,low carbon electricity
39389,on,2020,legislated,low,low,ref,low,no,high,14.18617561,low carbon electricity
39466,on,2020,legislated,high,low,ref,low,no,high,14.18665948,low carbon electricity
39543,on,2020,legislated,ref,low,low,low,no,high,14.18707545,low carbon electricity
39620,on,2020,legislated,low,low,low,low,no,high,14.18617561,low carbon electricity
39697,on,2020,legislated,high,low,low,low,no,high,14.18665948,low carbon electricity
39774,on,2020,legislated,ref,low,high,low,no,high,14.18707545,low carbon electricity
39851,on,2020,legislated,low,low,high,low,no,high,14.18617561,low carbon electricity
39928,on,2020,legislated,high,ref,high,ref,no,high,14.18637967,low carbon electricity
40005,on,2020,legislated,high,low,high,low,no,high,14.18665948,low carbon electricity
40082,on,2020,legislated,ref,low,ref,low,yes,high,14.18707545,low carbon electricity
40159,on,2020,legislated,low,low,ref,low,yes,high,14.18617561,low carbon electricity
40236,on,2020,legislated,high,low,ref,low,yes,high,14.18665948,low carbon electricity
40313,on,2020,legislated,ref,low,low,low,yes,high,14.18707545,low carbon electricity
40390,on,2020,legislated,low,low,low,low,yes,high,14.18617561,low carbon electricity
40467,on,2020,legislated,high,low,low,low,yes,high,14.18665948,low carbon electricity
40544,on,2020,legislated,ref,low,high,low,yes,high,14.18707545,low carbon electricity
40621,on,2020,legislated,low,low,high,low,yes,high,14.18617561,low carbon electricity
40698,on,2020,legislated,high,low,high,low,yes,high,14.18665948,low carbon electricity
40775,on,2020,legislated,ref,ref,ref,ref,yes,high,14.18586085,low carbon electricity
40852,on,2020,legislated,ref,high,ref,low,no,high,14.18564616,low carbon electricity
40929,on,2020,legislated,low,high,ref,low,no,high,14.18670872,low carbon electricity
41006,on,2020,legislated,high,high,ref,low,no,high,14.18621321,low carbon electricity
41083,on,2020,legislated,ref,high,low,low,no,high,14.18564616,low carbon electricity
41160,on,2020,legislated,low,high,low,low,no,high,14.18670872,low carbon electricity
41237,on,2020,legislated,high,high,low,low,no,high,14.18621321,low carbon electricity
41314,on,2020,legislated,ref,high,high,low,no,high,14.18564616,low carbon electricity
41391,on,2020,legislated,low,high,high,low,no,high,14.18670872,low carbon electricity
41468,on,2020,legislated,high,high,high,low,no,high,14.18621321,low carbon electricity
41545,on,2020,legislated,ref,high,ref,low,yes,high,14.18564616,low carbon electricity
99834,on,2020,netzero,ref,ref,ref,ref,no,high,14.18586085,low carbon electricity
99911,on,2020,netzero,low,ref,ref,ref,no,high,14.18702504,low carbon electricity
99988,on,2020,netzero,low,ref,ref,ref,yes,high,14.18702504,low carbon electricity
100065,on,2020,netzero,low,high,ref,low,yes,high,14.18670872,low carbon electricity
100142,on,2020,netzero,high,high,ref,low,yes,high,14.18621321,low carbon electricity
100219,on,2020,netzero,ref,high,low,low,yes,high,14.18564616,low carbon electricity
100296,on,2020,netzero,low,high,low,low,yes,high,14.18670872,low carbon electricity
100373,on,2020,netzero,high,high,low,low,yes,high,14.18621321,low carbon electricity
100450,on,2020,netzero,ref,high,high,low,yes,high,14.18564616,low carbon electricity
100527,on,2020,netzero,low,high,high,low,yes,high,14.18670872,low carbon electricity
100604,on,2020,netzero,high,high,high,low,yes,high,14.18621321,low carbon electricity
100681,on,2020,netzero,high,ref,ref,ref,yes,high,14.18637967,low carbon electricity
100758,on,2020,netzero,ref,ref,low,ref,yes,high,14.18575579,low carbon electricity
100835,on,2020,netzero,low,ref,low,ref,yes,high,14.18702504,low carbon electricity
100912,on,2020,netzero,high,ref,low,ref,yes,high,14.18637967,low carbon electricity
100989,on,2020,netzero,ref,ref,high,ref,yes,high,14.18575579,low carbon electricity
101066,on,2020,netzero,low,ref,high,ref,yes,high,14.18702504,low carbon electricity
101143,on,2020,netzero,high,ref,high,ref,yes,high,14.18637967,low carbon electricity
