id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value
432,on,2050,legislated,ref,ref,ref,ref,no,high,5.270085433
433,on,2050,legislated,low,ref,ref,ref,no,high,5.616575437
434,on,2050,legislated,low,ref,ref,ref,yes,high,5.616575437
435,on,2050,legislated,low,high,ref,low,yes,high,5.417458698
436,on,2050,legislated,high,high,ref,low,yes,high,3.783557844
437,on,2050,legislated,ref,high,low,low,yes,high,5.113965199
438,on,2050,legislated,low,high,low,low,yes,high,5.429110396
439,on,2050,legislated,high,high,low,low,yes,high,3.808516754
440,on,2050,legislated,ref,high,high,low,yes,high,5.0915933
441,on,2050,legislated,low,high,high,low,yes,high,5.418086766
442,on,2050,legislated,high,high,high,low,yes,high,3.777524852
443,on,2050,legislated,high,ref,ref,ref,yes,high,4.075805585
444,on,2050,legislated,ref,ref,low,ref,yes,high,5.310369454
445,on,2050,legislated,low,ref,low,ref,yes,high,5.644777492
446,on,2050,legislated,high,ref,low,ref,yes,high,4.130526492
447,on,2050,legislated,ref,ref,high,ref,yes,high,5.259495035
448,on,2050,legislated,low,ref,high,ref,yes,high,5.617302738
449,on,2050,legislated,high,ref,high,ref,yes,high,4.061653872
450,on,2050,legislated,ref,low,ref,ref,no,high,5.275471039
451,on,2050,legislated,low,low,ref,ref,no,high,5.622208109
452,on,2050,legislated,high,ref,ref,ref,no,high,4.075805585
453,on,2050,legislated,high,low,ref,ref,no,high,4.058296143
454,on,2050,legislated,ref,low,low,ref,no,high,5.329231702
455,on,2050,legislated,low,low,low,ref,no,high,5.648465048
456,on,2050,legislated,high,low,low,ref,no,high,4.151976705
457,on,2050,legislated,ref,low,high,ref,no,high,5.264033967
458,on,2050,legislated,low,low,high,ref,no,high,5.62040772
459,on,2050,legislated,high,low,high,ref,no,high,4.073950024
460,on,2050,legislated,ref,low,ref,ref,yes,high,5.275471039
461,on,2050,legislated,low,low,ref,ref,yes,high,5.622208109
462,on,2050,legislated,high,low,ref,ref,yes,high,4.058296143
463,on,2050,legislated,ref,ref,low,ref,no,high,5.310369454
464,on,2050,legislated,ref,low,low,ref,yes,high,5.329231702
465,on,2050,legislated,low,low,low,ref,yes,high,5.648465048
466,on,2050,legislated,high,low,low,ref,yes,high,4.151976705
467,on,2050,legislated,ref,low,high,ref,yes,high,5.264033967
468,on,2050,legislated,low,low,high,ref,yes,high,5.62040772
469,on,2050,legislated,high,low,high,ref,yes,high,4.073950024
470,on,2050,legislated,ref,high,ref,ref,no,high,5.276329698
471,on,2050,legislated,low,high,ref,ref,no,high,5.617292242
472,on,2050,legislated,high,high,ref,ref,no,high,4.080245192
473,on,2050,legislated,ref,high,low,ref,no,high,5.319580212
474,on,2050,legislated,low,ref,low,ref,no,high,5.644777492
475,on,2050,legislated,low,high,low,ref,no,high,5.635047227
476,on,2050,legislated,high,high,low,ref,no,high,4.133122235
477,on,2050,legislated,ref,high,high,ref,no,high,5.26685081
478,on,2050,legislated,low,high,high,ref,no,high,5.611572494
479,on,2050,legislated,high,high,high,ref,no,high,4.066406461
480,on,2050,legislated,ref,high,ref,ref,yes,high,5.276329698
481,on,2050,legislated,low,high,ref,ref,yes,high,5.617292242
482,on,2050,legislated,high,high,ref,ref,yes,high,4.080245192
483,on,2050,legislated,ref,high,low,ref,yes,high,5.319580212
484,on,2050,legislated,low,high,low,ref,yes,high,5.635047227
485,on,2050,legislated,high,ref,low,ref,no,high,4.130526492
486,on,2050,legislated,high,high,low,ref,yes,high,4.133122235
487,on,2050,legislated,ref,high,high,ref,yes,high,5.26685081
488,on,2050,legislated,low,high,high,ref,yes,high,5.611572494
489,on,2050,legislated,high,high,high,ref,yes,high,4.066406461
490,on,2050,legislated,ref,ref,ref,low,no,high,5.094915224
491,on,2050,legislated,low,ref,ref,low,no,high,5.416649212
492,on,2050,legislated,high,ref,ref,low,no,high,3.774782748
493,on,2050,legislated,ref,ref,low,low,no,high,5.11317679
494,on,2050,legislated,low,ref,low,low,no,high,5.430690958
495,on,2050,legislated,high,ref,low,low,no,high,3.801351099
496,on,2050,legislated,ref,ref,high,ref,no,high,5.259495035
497,on,2050,legislated,ref,ref,high,low,no,high,5.089299506
498,on,2050,legislated,low,ref,high,low,no,high,5.417164239
499,on,2050,legislated,high,ref,high,low,no,high,3.765510404
500,on,2050,legislated,ref,ref,ref,low,yes,high,5.094915224
501,on,2050,legislated,low,ref,ref,low,yes,high,5.416649212
502,on,2050,legislated,high,ref,ref,low,yes,high,3.774782748
503,on,2050,legislated,ref,ref,low,low,yes,high,5.11317679
504,on,2050,legislated,low,ref,low,low,yes,high,5.430690958
505,on,2050,legislated,high,ref,low,low,yes,high,3.801351099
506,on,2050,legislated,ref,ref,high,low,yes,high,5.089299506
507,on,2050,legislated,low,ref,high,ref,no,high,5.617302738
508,on,2050,legislated,low,ref,high,low,yes,high,5.417164239
509,on,2050,legislated,high,ref,high,low,yes,high,3.765510404
510,on,2050,legislated,ref,low,ref,low,no,high,5.059687558
511,on,2050,legislated,low,low,ref,low,no,high,5.420868632
512,on,2050,legislated,high,low,ref,low,no,high,3.770472705
513,on,2050,legislated,ref,low,low,low,no,high,5.087089579
514,on,2050,legislated,low,low,low,low,no,high,5.431172193
515,on,2050,legislated,high,low,low,low,no,high,3.8070159
516,on,2050,legislated,ref,low,high,low,no,high,5.063324861
517,on,2050,legislated,low,low,high,low,no,high,5.415974034
518,on,2050,legislated,high,ref,high,ref,no,high,4.061653872
519,on,2050,legislated,high,low,high,low,no,high,3.757459741
520,on,2050,legislated,ref,low,ref,low,yes,high,5.059687558
521,on,2050,legislated,low,low,ref,low,yes,high,5.420868632
522,on,2050,legislated,high,low,ref,low,yes,high,3.770472705
523,on,2050,legislated,ref,low,low,low,yes,high,5.087089579
524,on,2050,legislated,low,low,low,low,yes,high,5.431172193
525,on,2050,legislated,high,low,low,low,yes,high,3.8070159
526,on,2050,legislated,ref,low,high,low,yes,high,5.063324861
527,on,2050,legislated,low,low,high,low,yes,high,5.415974034
528,on,2050,legislated,high,low,high,low,yes,high,3.757459741
529,on,2050,legislated,ref,ref,ref,ref,yes,high,5.270085433
530,on,2050,legislated,ref,high,ref,low,no,high,5.097225347
531,on,2050,legislated,low,high,ref,low,no,high,5.417458698
532,on,2050,legislated,high,high,ref,low,no,high,3.783557844
533,on,2050,legislated,ref,high,low,low,no,high,5.113965199
534,on,2050,legislated,low,high,low,low,no,high,5.429110396
535,on,2050,legislated,high,high,low,low,no,high,3.808516754
536,on,2050,legislated,ref,high,high,low,no,high,5.0915933
537,on,2050,legislated,low,high,high,low,no,high,5.418086766
538,on,2050,legislated,high,high,high,low,no,high,3.777524852
539,on,2050,legislated,ref,high,ref,low,yes,high,5.097225347
1296,on,2050,netzero,ref,ref,ref,ref,no,high,7.072330197
1297,on,2050,netzero,low,ref,ref,ref,no,high,7.312309431
1298,on,2050,netzero,low,ref,ref,ref,yes,high,6.377339065
1299,on,2050,netzero,low,high,ref,low,yes,high,6.052738391
1300,on,2050,netzero,high,high,ref,low,yes,high,4.642937291
1301,on,2050,netzero,ref,high,low,low,yes,high,5.684856046
1302,on,2050,netzero,low,high,low,low,yes,high,6.060316236
1303,on,2050,netzero,high,high,low,low,yes,high,4.70899198
1304,on,2050,netzero,ref,high,high,low,yes,high,5.640206584
1305,on,2050,netzero,low,high,high,low,yes,high,6.050932598
1306,on,2050,netzero,high,high,high,low,yes,high,4.629802712
1307,on,2050,netzero,high,ref,ref,ref,yes,high,5.02172264
1308,on,2050,netzero,ref,ref,low,ref,yes,high,5.978952227
1309,on,2050,netzero,low,ref,low,ref,yes,high,6.383849158
1310,on,2050,netzero,high,ref,low,ref,yes,high,5.135464334
1311,on,2050,netzero,ref,ref,high,ref,yes,high,5.947981012
1312,on,2050,netzero,low,ref,high,ref,yes,high,6.371730439
1313,on,2050,netzero,high,ref,high,ref,yes,high,4.954981177
1314,on,2050,netzero,ref,low,ref,ref,no,high,7.010834054
1315,on,2050,netzero,low,low,ref,ref,no,high,7.325397893
1316,on,2050,netzero,high,ref,ref,ref,no,high,6.800425016
1317,on,2050,netzero,high,low,ref,ref,no,high,6.503043989
1318,on,2050,netzero,ref,low,low,ref,no,high,6.994180246
1319,on,2050,netzero,low,low,low,ref,no,high,7.324786472
1320,on,2050,netzero,high,low,low,ref,no,high,6.796390807
1321,on,2050,netzero,ref,low,high,ref,no,high,7.0240974
1322,on,2050,netzero,low,low,high,ref,no,high,7.332531019
1323,on,2050,netzero,high,low,high,ref,no,high,6.703580433
1324,on,2050,netzero,ref,low,ref,ref,yes,high,5.819435221
1325,on,2050,netzero,low,low,ref,ref,yes,high,6.347332177
1326,on,2050,netzero,high,low,ref,ref,yes,high,4.874039913
1327,on,2050,netzero,ref,ref,low,ref,no,high,7.084793053
1328,on,2050,netzero,ref,low,low,ref,yes,high,5.864329968
1329,on,2050,netzero,low,low,low,ref,yes,high,6.340663267
1330,on,2050,netzero,high,low,low,ref,yes,high,4.963336264
1331,on,2050,netzero,ref,low,high,ref,yes,high,5.833854072
1332,on,2050,netzero,low,low,high,ref,yes,high,6.356910746
1333,on,2050,netzero,high,low,high,ref,yes,high,4.810034439
1334,on,2050,netzero,ref,high,ref,ref,no,high,7.086593876
1335,on,2050,netzero,low,high,ref,ref,no,high,7.272495485
1336,on,2050,netzero,high,high,ref,ref,no,high,6.771833094
1337,on,2050,netzero,ref,high,low,ref,no,high,7.122585538
1338,on,2050,netzero,low,ref,low,ref,no,high,7.309685968
1339,on,2050,netzero,low,high,low,ref,no,high,7.261686617
1340,on,2050,netzero,high,high,low,ref,no,high,6.826050665
1341,on,2050,netzero,ref,high,high,ref,no,high,7.093736267
1342,on,2050,netzero,low,high,high,ref,no,high,7.252174032
1343,on,2050,netzero,high,high,high,ref,no,high,6.734712341
1344,on,2050,netzero,ref,high,ref,ref,yes,high,5.9265635
1345,on,2050,netzero,low,high,ref,ref,yes,high,6.357545326
1346,on,2050,netzero,high,high,ref,ref,yes,high,4.967153396
1347,on,2050,netzero,ref,high,low,ref,yes,high,5.9548331
1348,on,2050,netzero,low,high,low,ref,yes,high,6.366310972
1349,on,2050,netzero,high,ref,low,ref,no,high,6.81040765
1350,on,2050,netzero,high,high,low,ref,yes,high,5.100745326
1351,on,2050,netzero,ref,high,high,ref,yes,high,5.919802089
1352,on,2050,netzero,low,high,high,ref,yes,high,6.355877071
1353,on,2050,netzero,high,high,high,ref,yes,high,4.962977029
1354,on,2050,netzero,ref,ref,ref,low,no,high,7.05513047
1355,on,2050,netzero,low,ref,ref,low,no,high,7.212929965
1356,on,2050,netzero,high,ref,ref,low,no,high,6.616370683
1357,on,2050,netzero,ref,ref,low,low,no,high,7.009360306
1358,on,2050,netzero,low,ref,low,low,no,high,7.211334736
1359,on,2050,netzero,high,ref,low,low,no,high,6.646026595
1360,on,2050,netzero,ref,ref,high,ref,no,high,7.073790984
1361,on,2050,netzero,ref,ref,high,low,no,high,7.060084077
1362,on,2050,netzero,low,ref,high,low,no,high,7.215848516
1363,on,2050,netzero,high,ref,high,low,no,high,6.589827551
1364,on,2050,netzero,ref,ref,ref,low,yes,high,5.658492792
1365,on,2050,netzero,low,ref,ref,low,yes,high,6.046465607
1366,on,2050,netzero,high,ref,ref,low,yes,high,4.661945729
1367,on,2050,netzero,ref,ref,low,low,yes,high,5.711194063
