id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,sector
12117,on,2020,legislated,ref,ref,ref,ref,no,high,275.3614225,transport
12145,on,2020,legislated,low,ref,ref,ref,no,high,272.679399,transport
12173,on,2020,legislated,low,ref,ref,ref,yes,high,272.679399,transport
12201,on,2020,legislated,low,high,ref,low,yes,high,272.7386028,transport
12229,on,2020,legislated,high,high,ref,low,yes,high,278.6828858,transport
12257,on,2020,legislated,ref,high,low,low,yes,high,275.4075388,transport
12285,on,2020,legislated,low,high,low,low,yes,high,272.7386028,transport
12313,on,2020,legislated,high,high,low,low,yes,high,278.6828858,transport
12341,on,2020,legislated,ref,high,high,low,yes,high,275.4075388,transport
12369,on,2020,legislated,low,high,high,low,yes,high,272.7386028,transport
12397,on,2020,legislated,high,high,high,low,yes,high,278.6828858,transport
12425,on,2020,legislated,high,ref,ref,ref,yes,high,278.6242049,transport
12453,on,2020,legislated,ref,ref,low,ref,yes,high,275.3694965,transport
12481,on,2020,legislated,low,ref,low,ref,yes,high,272.679399,transport
12509,on,2020,legislated,high,ref,low,ref,yes,high,278.6242049,transport
12537,on,2020,legislated,ref,ref,high,ref,yes,high,275.3694965,transport
12565,on,2020,legislated,low,ref,high,ref,yes,high,272.679399,transport
12593,on,2020,legislated,high,ref,high,ref,yes,high,278.6242049,transport
12621,on,2020,legislated,ref,low,ref,ref,no,high,275.3278313,transport
12649,on,2020,legislated,low,low,ref,ref,no,high,272.6058291,transport
12677,on,2020,legislated,high,ref,ref,ref,no,high,278.6242049,transport
12705,on,2020,legislated,high,low,ref,ref,no,high,278.5587926,transport
12733,on,2020,legislated,ref,low,low,ref,no,high,275.3278313,transport
12761,on,2020,legislated,low,low,low,ref,no,high,272.6058291,transport
12789,on,2020,legislated,high,low,low,ref,no,high,278.5587926,transport
12817,on,2020,legislated,ref,low,high,ref,no,high,275.3278313,transport
12845,on,2020,legislated,low,low,high,ref,no,high,272.6058291,transport
12873,on,2020,legislated,high,low,high,ref,no,high,278.5587926,transport
12901,on,2020,legislated,ref,low,ref,ref,yes,high,275.3278313,transport
12929,on,2020,legislated,low,low,ref,ref,yes,high,272.6058291,transport
12957,on,2020,legislated,high,low,ref,ref,yes,high,278.5587926,transport
12985,on,2020,legislated,ref,ref,low,ref,no,high,275.3694965,transport
13013,on,2020,legislated,ref,low,low,ref,yes,high,275.3278313,transport
13041,on,2020,legislated,low,low,low,ref,yes,high,272.6058291,transport
13069,on,2020,legislated,high,low,low,ref,yes,high,278.5587926,transport
13097,on,2020,legislated,ref,low,high,ref,yes,high,275.3278313,transport
13125,on,2020,legislated,low,low,high,ref,yes,high,272.6058291,transport
13153,on,2020,legislated,high,low,high,ref,yes,high,278.5587926,transport
13181,on,2020,legislated,ref,high,ref,ref,no,high,275.4075388,transport
13209,on,2020,legislated,low,high,ref,ref,no,high,272.7386028,transport
13237,on,2020,legislated,high,high,ref,ref,no,high,278.6828858,transport
13265,on,2020,legislated,ref,high,low,ref,no,high,275.4075388,transport
