id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,energy_type
15141,on,2020,legislated,ref,ref,ref,ref,no,high,514.4178715,electricity
15176,on,2020,legislated,low,ref,ref,ref,no,high,514.4423267,electricity
15211,on,2020,legislated,low,ref,ref,ref,yes,high,514.4423267,electricity
15246,on,2020,legislated,low,high,ref,low,yes,high,514.4425609,electricity
15281,on,2020,legislated,high,high,ref,low,yes,high,514.5195959,electricity
15316,on,2020,legislated,ref,high,low,low,yes,high,514.4175408,electricity
15351,on,2020,legislated,low,high,low,low,yes,high,514.4425609,electricity
15386,on,2020,legislated,high,high,low,low,yes,high,514.5195959,electricity
15421,on,2020,legislated,ref,high,high,low,yes,high,514.4175408,electricity
15456,on,2020,legislated,low,high,high,low,yes,high,514.4425609,electricity
15491,on,2020,legislated,high,high,high,low,yes,high,514.5195959,electricity
15526,on,2020,legislated,high,ref,ref,ref,yes,high,514.5229674,electricity
15561,on,2020,legislated,ref,ref,low,ref,yes,high,514.418442,electricity
15596,on,2020,legislated,low,ref,low,ref,yes,high,514.4423267,electricity
15631,on,2020,legislated,high,ref,low,ref,yes,high,514.5229674,electricity
15666,on,2020,legislated,ref,ref,high,ref,yes,high,514.418442,electricity
15701,on,2020,legislated,low,ref,high,ref,yes,high,514.4423267,electricity
15736,on,2020,legislated,high,ref,high,ref,yes,high,514.5229674,electricity
15771,on,2020,legislated,ref,low,ref,ref,no,high,514.4314027,electricity
15806,on,2020,legislated,low,low,ref,ref,no,high,514.4289958,electricity
15841,on,2020,legislated,high,ref,ref,ref,no,high,514.5229674,electricity
15876,on,2020,legislated,high,low,ref,ref,no,high,514.5203873,electricity
15911,on,2020,legislated,ref,low,low,ref,no,high,514.4314027,electricity
15946,on,2020,legislated,low,low,low,ref,no,high,514.4289958,electricity
15981,on,2020,legislated,high,low,low,ref,no,high,514.5203873,electricity
16016,on,2020,legislated,ref,low,high,ref,no,high,514.4314027,electricity
16051,on,2020,legislated,low,low,high,ref,no,high,514.4289958,electricity
