id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,technology
21203,on,2020,legislated,ref,ref,ref,ref,no,high,1.166074299,other
21252,on,2020,legislated,low,ref,ref,ref,no,high,1.166112437,other
21301,on,2020,legislated,low,ref,ref,ref,yes,high,1.166112437,other
21350,on,2020,legislated,low,high,ref,low,yes,high,1.166106556,other
21399,on,2020,legislated,high,high,ref,low,yes,high,1.166039226,other
21448,on,2020,legislated,ref,high,low,low,yes,high,1.166068351,other
21497,on,2020,legislated,low,high,low,low,yes,high,1.166106556,other
21546,on,2020,legislated,high,high,low,low,yes,high,1.166039226,other
21595,on,2020,legislated,ref,high,high,low,yes,high,1.166068351,other
21644,on,2020,legislated,low,high,high,low,yes,high,1.166106556,other
21693,on,2020,legislated,high,high,high,low,yes,high,1.166039226,other
21742,on,2020,legislated,high,ref,ref,ref,yes,high,1.166044894,other
21791,on,2020,legislated,ref,ref,low,ref,yes,high,1.166074193,other
21840,on,2020,legislated,low,ref,low,ref,yes,high,1.166112437,other
21889,on,2020,legislated,high,ref,low,ref,yes,high,1.166044894,other
21938,on,2020,legislated,ref,ref,high,ref,yes,high,1.166074193,other
21987,on,2020,legislated,low,ref,high,ref,yes,high,1.166112437,other
22036,on,2020,legislated,high,ref,high,ref,yes,high,1.166044894,other
22085,on,2020,legislated,ref,low,ref,ref,no,high,1.166079848,other
22134,on,2020,legislated,low,low,ref,ref,no,high,1.166120246,other
22183,on,2020,legislated,high,ref,ref,ref,no,high,1.166044894,other
22232,on,2020,legislated,high,low,ref,ref,no,high,1.166051981,other
22281,on,2020,legislated,ref,low,low,ref,no,high,1.166079848,other
22330,on,2020,legislated,low,low,low,ref,no,high,1.166120246,other
22379,on,2020,legislated,high,low,low,ref,no,high,1.166051981,other
22428,on,2020,legislated,ref,low,high,ref,no,high,1.166079848,other
22477,on,2020,legislated,low,low,high,ref,no,high,1.166120246,other
22526,on,2020,legislated,high,low,high,ref,no,high,1.166051981,other
22575,on,2020,legislated,ref,low,ref,ref,yes,high,1.166079848,other
