id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,eu_name,technology
18158,on,2020,legislated,ref,ref,ref,ref,no,high,100.0,heavy-duty,ice
18200,on,2020,legislated,low,ref,ref,ref,no,high,100.0,heavy-duty,ice
18242,on,2020,legislated,low,ref,ref,ref,yes,high,100.0,heavy-duty,ice
18284,on,2020,legislated,low,high,ref,low,yes,high,100.0,heavy-duty,ice
18326,on,2020,legislated,high,high,ref,low,yes,high,100.0,heavy-duty,ice
18368,on,2020,legislated,ref,high,low,low,yes,high,100.0,heavy-duty,ice
18410,on,2020,legislated,low,high,low,low,yes,high,100.0,heavy-duty,ice
18452,on,2020,legislated,high,high,low,low,yes,high,100.0,heavy-duty,ice
18494,on,2020,legislated,ref,high,high,low,yes,high,100.0,heavy-duty,ice
18536,on,2020,legislated,low,high,high,low,yes,high,100.0,heavy-duty,ice
18578,on,2020,legislated,high,high,high,low,yes,high,100.0,heavy-duty,ice
18620,on,2020,legislated,high,ref,ref,ref,yes,high,100.0,heavy-duty,ice
18662,on,2020,legislated,ref,ref,low,ref,yes,high,100.0,heavy-duty,ice
18704,on,2020,legislated,low,ref,low,ref,yes,high,100.0,heavy-duty,ice
18746,on,2020,legislated,high,ref,low,ref,yes,high,100.0,heavy-duty,ice
18788,on,2020,legislated,ref,ref,high,ref,yes,high,100.0,heavy-duty,ice
18830,on,2020,legislated,low,ref,high,ref,yes,high,100.0,heavy-duty,ice
18872,on,2020,legislated,high,ref,high,ref,yes,high,100.0,heavy-duty,ice
18914,on,2020,legislated,ref,low,ref,ref,no,high,100.0,heavy-duty,ice
18956,on,2020,legislated,low,low,ref,ref,no,high,100.0,heavy-duty,ice
18998,on,2020,legislated,high,ref,ref,ref,no,high,100.0,heavy-duty,ice
19040,on,2020,legislated,high,low,ref,ref,no,high,100.0,heavy-duty,ice
19082,on,2020,legislated,ref,low,low,ref,no,high,100.0,heavy-duty,ice
19124,on,2020,legislated,low,low,low,ref,no,high,100.0,heavy-duty,ice
19166,on,2020,legislated,high,low,low,ref,no,high,100.0,heavy-duty,ice
19208,on,2020,legislated,ref,low,high,ref,no,high,100.0,heavy-duty,ice
19250,on,2020,legislated,low,low,high,ref,no,high,100.0,heavy-duty,ice
19292,on,2020,legislated,high,low,high,ref,no,high,100.0,heavy-duty,ice
19334,on,2020,legislated,ref,low,ref,ref,yes,high,100.0,heavy-duty,ice
19376,on,2020,legislated,low,low,ref,ref,yes,high,100.0,heavy-duty,ice
