COUNTY	VEHICLE_CLASS	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
DISTRICT OF ALGOMA	PASSENGER	52750	122712	9634	40867	6556	4481	1	1435	238436
DISTRICT OF ALGOMA	MOTORCYCLE	3192	5971	1389	50	387	174	0	56	11219
DISTRICT OF ALGOMA	MOPED	2	185	4	0	4	12	0	0	207
DISTRICT OF ALGOMA	COMMERCIAL	29576	54412	4418	7625	2604	1464	0	917	101016
DISTRICT OF ALGOMA	BUS	384	574	63	46	16	20	0	14	1117
DISTRICT OF ALGOMA	TRAILER	73810	7828	99	79	849	485	0	0	83150
DISTRICT OF ALGOMA	SNOW VEHICLE	14020	20284	0	122	289	724	0	0	35439
DISTRICT OF ALGOMA	OFF ROAD	24900	2499	39	6	198	141	0	0	27783
BRANT	PASSENGER	83809	121413	17493	140154	6668	3691	2	2166	375396
BRANT	MOTORCYCLE	3148	4730	1360	16	255	113	1	94	9717
BRANT	MOPED	3	216	15	0	2	1	0	0	237
BRANT	COMMERCIAL	22623	34126	4147	14993	1980	734	2	751	79356
BRANT	BUS	1821	1091	144	44	93	186	0	4	3383
BRANT	TRAILER	40932	7261	85	18	733	453	0	0	49482
BRANT	SNOW VEHICLE	1998	3055	0	7	32	163	0	0	5255
BRANT	OFF ROAD	5604	1148	21	0	51	40	0	0	6864
BRUCE	PASSENGER	44644	87750	7773	37372	2472	2786	0	1005	183802
BRUCE	MOTORCYCLE	2715	4170	1071	14	163	101	0	55	8289
BRUCE	MOPED	3	277	8	0	0	11	0	0	299
BRUCE	COMMERCIAL	20805	30801	2793	6491	799	768	1	547	63005
BRUCE	BUS	133	302	99	433	3	14	0	10	994
BRUCE	TRAILER	44546	6273	68	50	381	598	0	0	51916
BRUCE	SNOW VEHICLE	4342	7406	2	131	44	462	0	0	12387
BRUCE	OFF ROAD	9821	1641	19	0	33	41	0	0	11555
OTTAWA-CARLETON	PASSENGER	520261	735966	55914	117252	333078	44210	26	11650	1818357
OTTAWA-CARLETON	MOTORCYCLE	12745	20915	4611	510	8418	461	3	342	48005
OTTAWA-CARLETON	MOPED	29	1171	28	6	140	24	0	1	1399
OTTAWA-CARLETON	COMMERCIAL	64306	95234	6933	8474	43084	5827	15	1903	225776
OTTAWA-CARLETON	BUS	1455	2964	211	206	351	232	0	23	5442
OTTAWA-CARLETON	TRAILER	139885	16903	220	56	14571	1098	1	0	172734
OTTAWA-CARLETON	SNOW VEHICLE	8647	11192	0	44	2544	471	0	0	22898
OTTAWA-CARLETON	OFF ROAD	19411	3697	67	4	3131	139	0	0	26449
DISTRICT OF COCHRANE	PASSENGER	30975	70184	4997	12712	7216	7818	1	1220	135123
DISTRICT OF COCHRANE	MOTORCYCLE	2051	3668	763	13	458	260	0	33	7246
DISTRICT OF COCHRANE	MOPED	1	151	9	1	5	14	0	0	181
DISTRICT OF COCHRANE	COMMERCIAL	23645	38162	2978	4213	3581	2877	0	780	76236
DISTRICT OF COCHRANE	BUS	187	764	122	34	24	24	0	17	1172
DISTRICT OF COCHRANE	TRAILER	63477	6471	77	92	1393	1053	0	0	72563
DISTRICT OF COCHRANE	SNOW VEHICLE	11011	19426	0	599	564	2327	0	0	33927
DISTRICT OF COCHRANE	OFF ROAD	25424	3259	30	17	528	493	0	0	29751
DUFFERIN	PASSENGER	40270	65523	5957	15475	3150	2425	3	1306	134109
DUFFERIN	MOTORCYCLE	2012	2776	671	7	155	48	1	46	5716
DUFFERIN	MOPED	3	74	8	1	1	1	0	0	88
DUFFERIN	COMMERCIAL	12212	21532	1633	2959	772	724	0	421	40253
DUFFERIN	BUS	122	103	44	22	2	1	0	1	295
DUFFERIN	TRAILER	23344	2742	56	10	269	206	0	0	26627
DUFFERIN	SNOW VEHICLE	2539	3916	0	26	40	140	0	0	6661
DUFFERIN	OFF ROAD	4414	864	11	0	169	20	0	0	5478
STORMONT,DUNDAS & GLENGARRY	PASSENGER	67677	146219	13504	39841	30897	7357	1	3392	308888
STORMONT,DUNDAS & GLENGARRY	MOTORCYCLE	3725	5448	1516	21	1540	188	0	102	12540
STORMONT,DUNDAS & GLENGARRY	MOPED	4	364	12	0	30	17	0	0	427
