,Unnamed: 0,Unnamed: 1,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,,,,,,,,,,,,,,,,,,,,,,,,
1,,Freight Air Transportation Energy Use (PJ),1.031852,0.941976,0.834176,0.865445,0.806344,0.907725,0.887104,0.821691,0.718128,0.685998,0.7553,0.713206,0.79225,0.80325,0.859825,0.807532,0.785243,0.89605,0.90465,0.863712,1.02102,1.6706
2,,Energy Use by Energy Source (PJ),,,,,,,,,,,,,,,,,,,,,,
3,,Aviation Gasoline,0.003914,0.00594,0.006118,0.007805,0.00544,0.005425,0.003328,0.004887,0.004512,0.003082,0.0039,0.007748,0.011625,0.005325,0.007975,0.008646,0.00897,0.01405,0.0132,0.01032,0.026598,0.0457
4,,Aviation Turbo Fuel,1.027938,0.936036,0.828058,0.85764,0.800904,0.9023,0.883776,0.816804,0.713616,0.682916,0.7514,0.705458,0.780625,0.797925,0.85185,0.798886,0.776273,0.882,0.89145,0.853392,0.994422,1.6249
5,,,,,,,,,,,,,,,,,,,,,,,,
6,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
7,,Aviation Gasoline,0.379318,0.630589,0.733418,0.901848,0.67465,0.597648,0.375153,0.594749,0.6283,0.449272,0.516351,1.086362,1.46734,0.662932,0.927514,1.07067,1.142322,1.567993,1.459128,1.194843,2.605042,2.735544
8,,Aviation Turbo Fuel,99.620682,99.369411,99.266582,99.098152,99.32535,99.402352,99.624847,99.405251,99.3717,99.550728,99.483649,98.913638,98.53266,99.337068,99.072486,98.92933,98.857678,98.432007,98.540872,98.805157,97.394958,97.264456
9,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,
11,,Freight Air Transportation GHG Emissions (Mt of CO2e),0.071249,0.065053,0.057611,0.059775,0.055683,0.062679,0.061245,0.056736,0.049586,0.047363,0.052149,0.049259,0.054731,0.055465,0.05938,0.055772,0.054235,0.061903,0.062493,0.059656,0.07058,0.115492
12,,GHG Emissions by Energy Source (Mt of CO2e),,,,,,,,,,,,,,,,,,,,,,
13,,Aviation Gasoline,0.000286,0.000434,0.000447,0.00057,0.000397,0.000396,0.000243,0.000357,0.00033,0.000225,0.000285,0.000566,0.000849,0.000389,0.000583,0.000632,0.000655,0.001026,0.000964,0.000754,0.001943,0.003338
14,,Aviation Turbo Fuel,0.070963,0.064619,0.057164,0.059204,0.055286,0.062283,0.061002,0.056379,0.049257,0.047137,0.051864,0.048693,0.053882,0.055076,0.058797,0.05514,0.053579,0.060876,0.061529,0.058902,0.068637,0.112154
15,,,,,,,,,,,,,,,,,,,,,,,,
16,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
17,,Aviation Gasoline,0.401301,0.667032,0.775778,0.953865,0.713678,0.632279,0.396958,0.629234,0.664716,0.475366,0.546319,1.149033,1.551641,0.701349,0.981119,1.132473,1.20822,1.658045,1.543023,1.263741,2.752949,2.890641
18,,Aviation Turbo Fuel,99.598699,99.332968,99.224222,99.046135,99.286322,99.367721,99.603042,99.370766,99.335284,99.524634,99.453681,98.850967,98.448359,99.298651,99.018881,98.867527,98.79178,98.341955,98.456977,98.736259,97.247051,97.109359
19,,,,,,,,,,,,,,,,,,,,,,,,
20,,GHG Intensity (tonne/TJ),69.049804,69.060496,69.062834,69.067946,69.056755,69.050468,69.038982,69.048026,69.04951,69.041768,69.044469,69.067231,69.082709,69.050174,69.060369,69.064879,69.067238,69.084,69.079743,69.068893,69.126778,69.132037
21,,,,,,,,,,,,,,,,,,,,,,,,
22,NOTE: Activity variable for air transportation is not available by region.,,,,,,,,,,,,,,,,,,,,,,,
