,Unnamed: 0,Unnamed: 1,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,,,,,,,,,,,,,,,,,,,,,,,,
1,,Passenger Light Truck Energy Use (PJ),52.088569,51.133427,52.350415,52.482601,55.062558,52.855795,47.901524,51.307252,49.673414,50.432076,52.092373,49.703279,51.468961,53.840483,56.44368,59.635622,67.441699,69.479043,72.155117,72.533991,64.244761,66.08221
2,,Energy Use by Energy Source (PJ),,,,,,,,,,,,,,,,,,,,,,
3,,Natural Gas,0.000923,0.000565,0.000363,0.000379,0.000392,0.000442,0.001061,0.001035,0.001132,0.001292,0.002135,0.004025,0.004373,0.003596,0.003618,0.002997,0.00266,0.00215,0.001685,0.001384,0.00211,0.001068
4,,Motor Gasoline,48.983689,47.513513,48.722688,49.084196,52.199739,50.173842,47.034829,50.203924,48.341881,49.410271,49.263225,46.685069,48.5145,50.892998,53.301634,58.250481,65.861785,67.848786,70.157894,70.49202,62.13736,63.936368
5,,Diesel Fuel Oil,2.527831,3.035792,3.110961,2.95277,2.451148,2.347268,0.472334,0.535686,0.637238,0.559626,0.586088,0.578853,0.614848,0.758227,0.881594,1.063948,1.312138,1.344421,1.536521,1.603901,1.768409,1.775123
6,,Ethanol,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1.753484,1.985829,1.920825,1.817359,1.949779,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
7,,Biodiesel Fuel,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
8,,Propane,0.576126,0.583556,0.516402,0.445255,0.411279,0.334243,0.3933,0.566607,0.693163,0.460887,0.487441,0.449504,0.414415,0.368303,0.307055,0.318196,0.265116,0.283686,0.459017,0.436685,0.336882,0.369651
9,,,,,,,,,,,,,,,,,,,,,,,,
10,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
11,,Natural Gas,0.001772,0.001106,0.000694,0.000723,0.000711,0.000836,0.002214,0.002017,0.002279,0.002563,0.004098,0.008098,0.008496,0.006678,0.00641,0.005025,0.003944,0.003094,0.002335,0.001908,0.003284,0.001616
12,,Motor Gasoline,94.03923,92.920651,93.0703,93.524703,94.800789,94.925906,98.190674,97.849567,97.319424,97.973899,94.568979,93.927543,94.259722,94.525523,94.433308,97.677327,97.657364,97.653599,97.232043,97.184809,96.719731,96.752769
13,,Diesel Fuel Oil,4.852948,5.937001,5.942572,5.626189,4.45157,4.440891,0.986052,1.044075,1.282856,1.109662,1.125093,1.164617,1.1946,1.408283,1.5619,1.784081,1.945588,1.935002,2.129469,2.211241,2.752612,2.686235
14,,Ethanol,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3.366106,3.995368,3.732007,3.375451,3.45438,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
15,,Biodiesel Fuel,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
16,,Propane,1.10605,1.141243,0.986434,0.848385,0.74693,0.632368,0.82106,1.104341,1.395441,0.913876,0.935724,0.904375,0.805175,0.684064,0.544002,0.533567,0.393103,0.408305,0.636153,0.602042,0.524373,0.55938
17,,,,,,,,,,,,,,,,,,,,,,,,
18,,Activity ,,,,,,,,,,,,,,,,,,,,,,
19,,Passenger-kilometres (millions),20363.838279,20200.763325,20717.806235,20807.115333,21898.633776,21149.87218,19385.349014,20893.856292,20307.467015,20792.994349,21703.314377,20839.72714,21864.531579,23036.044764,24322.33385,25937.160677,29663.081039,30879.504021,32318.432472,33058.496885,30897.322819,32141.673414
20,,,,,,,,,,,,,,,,,,,,,,,,
21,,Energy Intensity (MJ/Pkm),2.557895,2.531262,2.526832,2.522339,2.514429,2.499107,2.471017,2.455614,2.446066,2.425436,2.400204,2.385025,2.353993,2.337228,2.320652,2.299235,2.27359,2.250005,2.23263,2.19411,2.079299,2.055967
22,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,
24,,Passenger Light Truck GHG Emissions (Mt of CO2e),3.680033,3.617461,3.7047,3.714379,3.872274,3.700299,3.32784,3.542577,3.410154,3.449919,3.548041,3.368556,3.473343,3.622211,3.784699,4.001362,4.526638,4.663147,4.842533,4.868241,4.506928,4.635572
25,, GHG Emissions by Energy Source (Mt of CO2e),,,,,,,,,,,,,,,,,,,,,,
26,,Natural Gas,4.6e-05,2.8e-05,1.8e-05,1.9e-05,1.9e-05,2.2e-05,5.3e-05,5.1e-05,5.6e-05,6.4e-05,0.000105,0.000198,0.000214,0.000176,0.000176,0.000145,0.00013,0.000105,8.2e-05,6.7e-05,0.000102,5.2e-05
27,,Motor Gasoline,3.463744,3.36432,3.450248,3.47557,3.671483,3.511692,3.270005,3.469654,3.322242,3.381688,3.357219,3.165863,3.275427,3.424394,3.573663,3.90554,4.416255,4.549344,4.704308,4.726556,4.359642,4.485863
28,,Diesel Fuel Oil,0.181203,0.217621,0.223026,0.21171,0.175759,0.168257,0.033862,0.038411,0.045698,0.040136,0.042035,0.041518,0.044102,0.054389,0.063242,0.076324,0.094129,0.096445,0.110226,0.115059,0.126695,0.127176
29,,Ethanol,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.119035,0.133638,0.128395,0.120851,0.128942,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
30,,Biodiesel Fuel,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
31,,Propane,0.03504,0.035492,0.031407,0.02708,0.025014,0.020329,0.02392,0.034461,0.042158,0.028031,0.029646,0.027339,0.025205,0.0224,0.018675,0.019353,0.016124,0.017254,0.027917,0.026559,0.020489,0.022482
32,,,,,,,,,,,,,,,,,,,,,,,,
33,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
34,,Natural Gas,0.001252,0.00078,0.000489,0.000508,0.000503,0.000593,0.001583,0.001449,0.001642,0.001852,0.002968,0.005889,0.006175,0.004855,0.004658,0.003627,0.002861,0.002244,0.001683,0.001376,0.002265,0.001112
35,,Motor Gasoline,94.12265,93.002237,93.131655,93.570676,94.814628,94.902925,98.262093,97.941519,97.422051,98.022255,94.621765,93.982787,94.301839,94.538787,94.423973,97.60527,97.561492,97.559521,97.145619,97.089602,96.732009,96.77042
36,,Diesel Fuel Oil,4.92394,6.015862,6.020085,5.699752,4.538897,4.547107,1.017529,1.084272,1.34006,1.163382,1.184749,1.23253,1.269738,1.501552,1.671002,1.907454,2.079439,2.068233,2.276197,2.363466,2.811114,2.743478
37,,Ethanol,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3.354959,3.967211,3.69659,3.336397,3.406934,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
38,,Biodiesel Fuel,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
39,,Propane,0.952158,0.981121,0.847771,0.729064,0.645972,0.549376,0.718795,0.972761,1.236247,0.812511,0.835559,0.811583,0.725658,0.618409,0.493433,0.483649,0.356208,0.370001,0.576501,0.545556,0.454612,0.484989
40,,,,,,,,,,,,,,,,,,,,,,,,
41,,GHG Intensity (tonne/TJ),70.649525,70.74553,70.767347,70.773539,70.325,70.007447,69.472534,69.04632,68.651483,68.407231,68.110568,67.773312,67.484236,67.27671,67.052655,67.096848,67.119271,67.115883,67.112811,67.116684,70.152456,70.148563
