,Unnamed: 0,Unnamed: 1,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,,,,,,,,,,,,,,,,,,,,,,,,
1,,Sales (thousands),,,,,,,,,,,,,,,,,,,,,,
2,,Passenger Light Trucks,15.359,15.264,17.159,16.536,16.548,16.952,16.734,18.365,18.239,17.67,20.521,21.109,22.316,24.91,27.761,28.938,29.2,31.685,29.848,29.662,26.454,28.496
3,,Freight Light Trucks,4.451,4.421,4.957,4.777,4.786,4.865,4.795,5.262,5.225,5.055,5.865,5.981,6.325,7.059,7.864,8.189,8.247,8.94,8.418,8.374,7.481,8.098
4,,Medium Trucks,1.494,1.662,1.743,1.765,1.702,1.712,2.532,3.064,2.91,2.721,3.195,3.283,3.467,3.839,4.023,4.161,3.959,4.315,3.941,3.864,3.643,3.98
5,,Heavy Trucks,0.892,0.861,0.877,0.871,1.571,1.681,1.802,1.378,1.386,0.839,1.018,1.376,1.816,1.444,1.452,1.762,1.184,1.214,1.662,1.591,1.407,1.433
6,,,,,,,,,,,,,,,,,,,,,,,,
7,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
8,,Passenger Light Trucks,69.197151,68.731987,69.368538,69.046722,67.249153,67.243156,64.702469,65.428055,65.702454,67.224655,67.064285,66.487137,65.782341,66.868896,67.545013,67.219513,68.560699,68.650604,68.038933,68.202614,67.856865,67.836311
9,,Freight Light Trucks,20.053164,19.90724,20.039618,19.946552,19.449749,19.297897,18.539999,18.74666,18.822046,19.231501,19.167292,18.838388,18.644617,18.949318,19.13382,19.022068,19.363699,19.369934,19.18895,19.254559,19.189432,19.277739
10,,Medium Trucks,6.730942,7.483789,7.046411,7.369827,6.916731,6.790956,9.790048,10.915956,10.482709,10.351912,10.441518,10.340484,10.219903,10.305487,9.788321,9.665504,9.295609,9.349136,8.983564,8.884597,9.34462,9.474611
11,,Heavy Trucks,4.018742,3.876981,3.54544,3.636895,6.384362,6.667989,6.967483,4.90933,4.992795,3.191935,3.326906,4.333995,5.353142,3.876302,3.532847,4.092916,2.779995,2.630325,3.788552,3.658228,3.60908,3.411336
12,,,,,,,,,,,,,,,,,,,,,,,,
13,,Stock (thousands),,,,,,,,,,,,,,,,,,,,,,
14,,Passenger Light Trucks,202.371,213.425,219.987,231.296,244.041,225.678,219.545,275.033,286.82,299.055,310.053,292.639,311.924,321.88,332.934,344.212,356.194,368.607,381.917,390.414,396.751,397.686
15,,Freight Light Trucks,58.65,61.818,63.55,66.817,70.573,64.765,62.908,78.8,82.158,85.55,88.618,82.908,88.413,91.216,94.313,97.407,100.6,104.011,107.712,110.219,112.197,113.008
16,,Medium Trucks,29.16,30.305,31.731,32.615,33.998,32.267,34.461,43.642,46.462,49.662,52.766,51.62,54.323,56.475,57.096,57.688,58.036,54.478,55.112,55.295,54.458,54.729
