,Unnamed: 0,Unnamed: 1,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,,,,,,,,,,,,,,,,,,,,,,,,
1,,Car Energy Use (PJ),151.567429,152.852954,156.839588,160.549462,156.974288,155.659737,154.214631,160.843184,151.749082,153.909646,151.177411,153.608131,149.877685,146.230948,136.192997,136.927401,134.002216,135.789177,130.232431,129.017712,98.855943,102.187929
2,,Energy Use by Energy Source (PJ),,,,,,,,,,,,,,,,,,,,,,
3,,Natural Gas,0.012983,0.024677,0.02405,0.024866,0.025782,0.028232,0.03063,0.027941,0.028459,0.024955,0.027382,0.013164,0.053261,0.088847,0.497279,0.299541,0.185973,0.112692,0.055544,0.037568,0.021179,0.012465
4,,Motor Gasoline,150.399248,151.575704,155.756078,159.261162,155.712305,154.404123,152.533573,159.159861,150.143362,152.491678,149.607092,146.565662,143.075935,139.355413,129.05514,134.759926,131.972731,133.645497,128.374478,127.50768,97.72054,101.170186
5,,Diesel Fuel Oil,0.985622,0.941333,0.919804,1.173193,1.090262,1.117551,1.447904,1.40236,1.366914,1.21882,1.315881,1.420423,1.443209,1.621681,1.437897,1.560458,1.522551,1.738996,1.494107,1.145275,0.863332,0.762373
6,,Ethanol,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5.370577,5.034583,4.866004,4.904502,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
7,,Biodiesel Fuel,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
8,,Propane,0.169577,0.311241,0.139657,0.090241,0.14594,0.109831,0.202525,0.253022,0.210347,0.174194,0.227056,0.238304,0.270697,0.299004,0.29818,0.307475,0.320961,0.291993,0.308303,0.327188,0.250893,0.242905
9,,,,,,,,,,,,,,,,,,,,,,,,
10,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
11,,Natural Gas,0.008566,0.016144,0.015334,0.015488,0.016424,0.018137,0.019862,0.017372,0.018754,0.016214,0.018112,0.00857,0.035536,0.060758,0.365128,0.218759,0.138784,0.08299,0.04265,0.029119,0.021424,0.012198
12,,Motor Gasoline,99.229266,99.164392,99.30916,99.197568,99.196057,99.19336,98.909923,98.953438,98.941858,99.078701,98.961274,95.415303,95.461799,95.298166,94.759013,98.417063,98.485484,98.421317,98.573356,98.829593,98.851457,99.004047
13,,Diesel Fuel Oil,0.650286,0.615842,0.586461,0.730736,0.694548,0.717945,0.938889,0.87188,0.900773,0.791906,0.870422,0.924706,0.962925,1.108986,1.055779,1.139624,1.136213,1.280658,1.147262,0.887688,0.873323,0.74605
14,,Ethanol,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3.496284,3.359128,3.327615,3.601141,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
15,,Biodiesel Fuel,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
16,,Propane,0.111882,0.203622,0.089044,0.056208,0.09297,0.070558,0.131327,0.15731,0.138615,0.113179,0.150192,0.155138,0.180612,0.204474,0.218939,0.224554,0.239519,0.215034,0.236733,0.2536,0.253796,0.237704
17,,,,,,,,,,,,,,,,,,,,,,,,
18,,Activity ,,,,,,,,,,,,,,,,,,,,,,
19,,Passenger-kilometres (millions),72837.335818,74118.612105,76463.216369,78893.442749,77614.208891,77298.29625,77144.951597,81320.838691,77574.328377,79471.926404,78492.825519,80125.615396,78963.756397,77619.302055,72565.153622,73367.36885,72211.19794,73334.383333,70658.916365,70721.85985,57221.017295,59399.164908
20,,,,,,,,,,,,,,,,,,,,,,,,
21,,Energy Intensity (MJ/Pkm),2.080903,2.062275,2.051177,2.035017,2.022494,2.013754,1.999024,1.977884,1.956177,1.936654,1.926003,1.917091,1.898057,1.883951,1.876837,1.866326,1.855699,1.851644,1.843114,1.824298,1.727616,1.72036
22,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,
24,,Car GHG Emissions (Mt of CO2e),10.650057,10.747222,11.019657,11.271678,10.952074,10.809792,10.650334,11.053607,10.379048,10.491812,10.273402,10.399105,10.112424,9.839492,9.125041,9.18257,8.988686,9.11054,8.738024,8.655027,6.935125,7.169044
25,,GHG Emissions by Energy Source (Mt of CO2e),,,,,,,,,,,,,,,,,,,,,,
26,,Natural Gas,0.000648,0.001232,0.0012,0.001237,0.001282,0.001402,0.001521,0.001386,0.001408,0.001234,0.001351,0.000649,0.002613,0.004346,0.024229,0.014506,0.009054,0.005487,0.002687,0.001817,0.001025,0.000602
27,,Motor Gasoline,10.568453,10.659587,10.944028,11.180844,10.863745,10.721573,10.53266,10.936255,10.26681,10.392564,10.163858,9.921353,9.653352,9.376775,8.654816,9.037431,8.850897,8.962555,8.609412,8.551159,6.856995,7.099054
28,,Diesel Fuel Oil,0.070642,0.067474,0.065936,0.084108,0.078171,0.080137,0.103835,0.100578,0.098038,0.087419,0.094384,0.101885,0.103521,0.116323,0.103142,0.111933,0.109214,0.12474,0.107174,0.082152,0.061847,0.054614
29,,Ethanol,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.360726,0.336475,0.323863,0.324718,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
30,,Biodiesel Fuel,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
31,,Propane,0.010314,0.01893,0.008494,0.005488,0.008876,0.00668,0.012318,0.015389,0.012793,0.010594,0.013809,0.014494,0.016464,0.018185,0.018135,0.018701,0.019521,0.017759,0.018751,0.019899,0.015259,0.014773
32,,,,,,,,,,,,,,,,,,,,,,,,
33,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
