,Unnamed: 0,Unnamed: 1,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,,,,,,,,,,,,,,,,,,,,,,,,
1,,Car Energy Use (PJ),21.68227,20.512038,21.998994,22.617239,21.553416,20.508135,21.563485,23.183711,24.419519,24.64107,24.650833,19.51571,21.92914,21.665594,18.807331,19.219188,18.82533,18.388974,17.005469,16.175447,12.451513,11.997597
2,,Energy Use by Energy Source (PJ),,,,,,,,,,,,,,,,,,,,,,
3,,Natural Gas,0.010102,0.01284,0.015876,0.016328,0.01686,0.018101,0.019908,0.01759,0.017561,0.014514,0.016359,0.014843,0.006157,0.005016,0.003555,0.002014,0.001444,0.000986,0.000797,0.000393,0.000195,9.3e-05
4,,Motor Gasoline,21.438984,20.263372,21.770017,22.361441,21.294797,20.254611,21.260609,22.863547,24.098818,24.266722,24.299606,17.848049,20.212894,19.977885,17.179658,18.853097,18.513556,18.081553,16.715163,15.923855,12.248013,11.814329
5,,Diesel Fuel Oil,0.112333,0.102459,0.139298,0.188517,0.186132,0.212206,0.248704,0.268187,0.265589,0.320608,0.298737,0.29766,0.310826,0.334359,0.314994,0.321184,0.277361,0.276948,0.257493,0.2153,0.182021,0.165614
6,,Ethanol,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1.322717,1.353936,1.315318,1.266864,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
7,,Biodiesel Fuel,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
8,,Propane,0.120852,0.133368,0.073804,0.050954,0.055627,0.023217,0.034263,0.034388,0.037552,0.039226,0.036131,0.03244,0.045328,0.033016,0.04226,0.042892,0.032969,0.029486,0.032017,0.035898,0.021284,0.017561
9,,,,,,,,,,,,,,,,,,,,,,,,
10,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
11,,Natural Gas,0.046591,0.062599,0.072167,0.072191,0.078223,0.088264,0.092325,0.075873,0.071913,0.058901,0.066362,0.076056,0.028078,0.023151,0.018901,0.010481,0.007669,0.005361,0.004686,0.002431,0.001563,0.000779
12,,Motor Gasoline,98.877946,98.787704,98.959145,98.86901,98.800103,98.763787,98.595421,98.619011,98.6867,98.480798,98.575192,91.454778,92.173672,92.210191,91.345542,98.095182,98.343861,98.328234,98.292866,98.444608,98.365664,98.472461
13,,Diesel Fuel Oil,0.518087,0.499504,0.6332,0.833512,0.863587,1.034741,1.153359,1.156789,1.087609,1.301112,1.211875,1.525234,1.41741,1.54327,1.674848,1.671164,1.473337,1.506057,1.514176,1.33103,1.46184,1.380389
14,,Ethanol,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,6.777705,6.17414,6.071,6.736011,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
15,,Biodiesel Fuel,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
16,,Propane,0.557376,0.650192,0.335488,0.225287,0.258087,0.113208,0.158896,0.148327,0.153778,0.159189,0.146571,0.166227,0.2067,0.152389,0.224698,0.223173,0.175133,0.160349,0.188272,0.221931,0.170932,0.146371
17,,,,,,,,,,,,,,,,,,,,,,,,
18,,Activity ,,,,,,,,,,,,,,,,,,,,,,
19,,Passenger-kilometres (millions),9427.562262,9019.975523,9855.445682,10240.339253,9888.045629,9477.853016,10052.871088,10938.023246,11706.629724,11987.77507,12078.979228,9645.185608,11009.729857,10997.584096,9623.884373,9880.036039,9717.595351,9550.10807,8885.679277,8495.861758,6921.428266,6705.925995
20,,,,,,,,,,,,,,,,,,,,,,,,
21,,Energy Intensity (MJ/Pkm),2.299881,2.274068,2.232166,2.208642,2.179745,2.163795,2.145008,2.119552,2.085956,2.055517,2.040804,2.023363,1.991796,1.970032,1.954235,1.945255,1.937242,1.925525,1.913806,1.903921,1.79898,1.789104
22,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,
24,,Car GHG Emissions (Mt of CO2e),1.522409,1.441122,1.544912,1.587299,1.503264,1.423975,1.488984,1.593207,1.670079,1.679917,1.675274,1.321072,1.479608,1.458027,1.261333,1.290094,1.263603,1.234295,1.141456,1.085561,0.87378,0.841941
25,,GHG Emissions by Energy Source (Mt of CO2e),,,,,,,,,,,,,,,,,,,,,,
26,,Natural Gas,0.000504,0.000641,0.000792,0.000812,0.000838,0.000899,0.000989,0.000872,0.000869,0.000718,0.000807,0.000731,0.000302,0.000245,0.000173,9.8e-05,7e-05,4.8e-05,3.9e-05,1.9e-05,9e-06,5e-06
27,,Motor Gasoline,1.506503,1.425025,1.529646,1.569873,1.485697,1.406447,1.468075,1.571009,1.647878,1.653818,1.650843,1.208174,1.363767,1.344247,1.152118,1.264349,1.241632,1.212588,1.121,1.067915,0.859436,0.829005
28,,Diesel Fuel Oil,0.008051,0.007344,0.009985,0.013515,0.013346,0.015217,0.017836,0.019235,0.019049,0.022995,0.021427,0.021351,0.022295,0.023984,0.022595,0.023039,0.019895,0.019866,0.01847,0.015444,0.01304,0.011864
29,,Ethanol,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.088843,0.090487,0.087543,0.083877,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
30,,Biodiesel Fuel,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
31,,Propane,0.00735,0.008111,0.004489,0.003099,0.003383,0.001412,0.002084,0.002091,0.002284,0.002386,0.002197,0.001973,0.002757,0.002008,0.00257,0.002609,0.002005,0.001793,0.001947,0.002183,0.001294,0.001068
32,,,,,,,,,,,,,,,,,,,,,,,,
33,,Shares (%),,,,,,,,,,,,,,,,,,,,,,
34,,Natural Gas,0.033129,0.044485,0.051266,0.051169,0.055776,0.063135,0.066406,0.05475,0.05202,0.04272,0.048171,0.055368,0.020412,0.016826,0.013732,0.007561,0.005563,0.003888,0.003378,0.001752,0.001078,0.000536
35,,Motor Gasoline,98.955227,98.883054,99.011838,98.902139,98.831396,98.769086,98.595799,98.606695,98.670651,98.446424,98.541621,91.454054,92.170797,92.196334,91.341309,98.004401,98.261255,98.241333,98.207902,98.374478,98.358462,98.463468
36,,Diesel Fuel Oil,0.528846,0.50961,0.646347,0.851456,0.887772,1.068617,1.197841,1.207282,1.140576,1.368842,1.279038,1.616161,1.506842,1.644929,1.791348,1.78583,1.574494,1.609485,1.618129,1.422646,1.492315,1.40914
37,,Ethanol,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,6.725067,6.115629,6.004189,6.649843,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
38,,Biodiesel Fuel,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
39,,Propane,0.482798,0.562851,0.290549,0.195236,0.225056,0.099162,0.139954,0.131273,0.136753,0.142013,0.13117,0.149349,0.18632,0.137722,0.20377,0.202208,0.158688,0.145294,0.170592,0.201124,0.148145,0.126856
40,,,,,,,,,,,,,,,,,,,,,,,,
41,,GHG Intensity (tonne/TJ),70.214442,70.257359,70.226495,70.180945,69.745964,69.434658,69.051156,68.720975,68.391166,68.175476,67.960154,67.692739,67.472232,67.296876,67.066043,67.125314,67.122487,67.121476,67.12285,67.11168,70.174567,70.175838
