COUNTY	VEHICLE_CLASS	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
DISTRICT OF ALGOMA	PASSENGER	53017	117331	9325	39635	6298	4153	1	1210	230970
DISTRICT OF ALGOMA	MOTORCYCLE	3106	5574	1284	48	376	163	0	44	10595
DISTRICT OF ALGOMA	MOPED	2	185	4	0	4	8	0	0	203
DISTRICT OF ALGOMA	COMMERCIAL	29395	51182	4194	7410	2435	1361	0	767	96744
DISTRICT OF ALGOMA	BUS	372	532	61	46	11	18	0	10	1050
DISTRICT OF ALGOMA	TRAILER	69211	7144	92	79	783	424	0	0	77733
DISTRICT OF ALGOMA	SNOW VEHICLE	15540	17461	0	119	281	682	0	0	34083
DISTRICT OF ALGOMA	OFF ROAD	22830	2219	40	6	176	119	0	0	25390
BRANT	PASSENGER	80492	114824	16067	136612	6031	3046	2	1977	359051
BRANT	MOTORCYCLE	3130	4524	1266	15	220	91	1	77	9324
BRANT	MOPED	2	218	14	0	2	1	0	0	237
BRANT	COMMERCIAL	22354	32140	3951	14497	1666	570	1	684	75863
BRANT	BUS	1866	1012	138	44	92	186	0	3	3341
BRANT	TRAILER	37604	6656	79	18	662	365	0	0	45384
BRANT	SNOW VEHICLE	2043	2878	0	7	33	151	0	0	5112
BRANT	OFF ROAD	4911	1053	26	0	38	27	0	0	6055
BRUCE	PASSENGER	43840	84239	7575	35942	2317	2522	0	883	177318
BRUCE	MOTORCYCLE	2629	3854	997	13	139	96	0	41	7769
BRUCE	MOPED	7	270	8	0	0	11	0	0	296
BRUCE	COMMERCIAL	20151	29276	2657	6182	725	693	1	473	60158
BRUCE	BUS	136	316	100	433	6	11	0	12	1014
BRUCE	TRAILER	42328	5928	69	50	347	566	0	0	49288
BRUCE	SNOW VEHICLE	4129	6943	2	128	38	461	0	0	11701
BRUCE	OFF ROAD	8471	1469	17	0	22	43	0	0	10022
OTTAWA-CARLETON	PASSENGER	504571	710347	53492	108558	314026	41673	26	10710	1743403
OTTAWA-CARLETON	MOTORCYCLE	12421	20620	4450	508	7985	421	3	289	46697
OTTAWA-CARLETON	MOPED	33	1168	29	6	133	24	0	1	1394
OTTAWA-CARLETON	COMMERCIAL	59977	89182	6583	7818	39529	5208	14	1765	210076
OTTAWA-CARLETON	BUS	1767	2911	201	203	344	234	0	17	5677
OTTAWA-CARLETON	TRAILER	133219	16101	226	58	13521	1022	1	0	164148
OTTAWA-CARLETON	SNOW VEHICLE	8893	10209	0	40	2435	464	0	0	22041
OTTAWA-CARLETON	OFF ROAD	17508	3396	61	4	2703	127	0	0	23799
DISTRICT OF COCHRANE	PASSENGER	31077	67029	4946	11646	6887	7428	1	1004	130018
DISTRICT OF COCHRANE	MOTORCYCLE	2044	3513	730	11	414	257	1	19	6989
DISTRICT OF COCHRANE	MOPED	3	147	8	1	4	12	0	0	175
DISTRICT OF COCHRANE	COMMERCIAL	23547	36319	2875	3863	3319	2701	0	628	73252
DISTRICT OF COCHRANE	BUS	151	789	120	34	23	23	0	15	1155
DISTRICT OF COCHRANE	TRAILER	60182	6101	75	92	1250	955	0	0	68655
DISTRICT OF COCHRANE	SNOW VEHICLE	12834	16587	0	604	526	2272	0	0	32823
DISTRICT OF COCHRANE	OFF ROAD	24101	3013	27	17	445	450	0	0	28053
DUFFERIN	PASSENGER	40212	59251	5850	14219	2766	2058	2	1162	125520
DUFFERIN	MOTORCYCLE	1942	2638	633	6	118	50	1	44	5432
DUFFERIN	MOPED	2	82	7	1	1	1	0	0	94
DUFFERIN	COMMERCIAL	12014	15525	1658	2651	725	385	0	412	33370
DUFFERIN	BUS	124	81	42	19	2	1	0	1	270
DUFFERIN	TRAILER	21880	2671	53	10	227	181	0	0	25022
DUFFERIN	SNOW VEHICLE	2472	3785	0	27	28	140	0	0	6452
DUFFERIN	OFF ROAD	3830	758	10	0	24	17	0	0	4639
