VEHICLE_CLASS	MAKE	MODEL	MODEL-YEAR	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
PASSENGER	ACUR	ARL	2012	12	3	1	0	1	0	0	0	17
PASSENGER	ACUR	ARL	2011	6	2	0	0	0	0	0	0	8
PASSENGER	ACUR	ARL	2010	52	7	2	0	0	2	0	0	63
PASSENGER	ACUR	ARL	2009	34	13	5	1	4	0	0	0	57
PASSENGER	ACUR	ARL	2008	73	22	6	2	5	1	0	1	110
PASSENGER	ACUR	ARL	2007	49	15	8	2	7	0	0	1	82
PASSENGER	ACUR	ARL	2006	70	27	12	2	3	2	0	0	116
PASSENGER	ACUR	ARL	2005	219	110	56	35	24	4	0	2	450
PASSENGER	ACUR	ATL	2014	18	2	0	0	1	0	0	0	21
PASSENGER	ACUR	ATL	2013	143	27	3	2	8	0	0	0	183
PASSENGER	ACUR	ATL	2012	836	120	39	13	53	4	1	2	1068
PASSENGER	ACUR	ATL	2011	199	42	15	1	17	0	0	0	274
PASSENGER	ACUR	ATL	2010	534	91	32	7	20	3	0	4	691
PASSENGER	ACUR	ATL	2009	699	152	50	18	60	2	0	4	985
PASSENGER	ACUR	ATL	2008	1232	284	125	46	153	12	0	13	1865
PASSENGER	ACUR	ATL	2007	757	205	106	45	98	2	0	7	1220
PASSENGER	ACUR	ATL	2005	1379	691	265	189	202	28	3	56	2813
PASSENGER	ACUR	ATL	2004	1370	885	327	270	201	39	1	62	3155
PASSENGER	ACUR	AWT	2014	45	14	0	0	7	0	0	0	66
PASSENGER	ACUR	AWT	2013	63	9	4	1	12	1	0	1	91
PASSENGER	ACUR	AWT	2012	1312	288	61	12	188	16	0	2	1879
PASSENGER	ACUR	AWT	2011	171	49	10	6	25	0	0	1	262
PASSENGER	ACUR	AWT	2010	608	150	67	16	75	3	0	1	920
PASSENGER	ACUR	AWT	2009	642	189	59	9	87	5	0	2	993
PASSENGER	ACUR	CCS	2011	139	28	11	4	12	0	0	0	194
PASSENGER	ACUR	CCS	2009	648	107	56	26	55	3	0	2	897
PASSENGER	ACUR	CCS	2008	716	150	78	36	96	8	0	11	1095
