VEHICLE_CLASS	DESCRIPTOR	VALUE	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
PASSENGER	CYLINDERS	00	40509	5253	805	33	1232	128	0	17	47977
PASSENGER	CYLINDERS	02	1295	2276	610	485	429	145	0	155	5395
PASSENGER	CYLINDERS	03	36524	35113	3789	16587	9856	1339	1	309	103518
PASSENGER	CYLINDERS	04	4419858	4647033	763335	2458599	788720	193166	182	78137	13349030
PASSENGER	CYLINDERS	05	48538	62753	10325	25656	16634	2636	5	1717	168264
PASSENGER	CYLINDERS	06	2053036	4073735	520202	2128789	651447	185572	252	72643	9685676
PASSENGER	CYLINDERS	08	299466	2219596	325053	968962	234032	82291	161	18122	4147683
PASSENGER	CYLINDERS	10	10659	19497	2023	4817	3810	543	1	273	41623
PASSENGER	CYLINDERS	12	3456	5206	1136	350	1135	127	2	184	11596
PASSENGER	CYLINDERS	OTHER	79	605	236	72	68	29	7	8	1104
PASSENGER	MOTIVE POWER	B	2	58	6	25	8	2	0	0	101
PASSENGER	MOTIVE POWER	D	91577	107484	16208	62683	19000	3659	23	2743	303377
PASSENGER	MOTIVE POWER	E	39	196	30	14	11	12	0	0	302
PASSENGER	MOTIVE POWER	F	525681	230813	30961	22763	44024	9664	9	2737	866652
PASSENGER	MOTIVE POWER	G	6112105	10691996	1571350	5513854	1635251	451030	574	165683	26141843
PASSENGER	MOTIVE POWER	K	0	51	6	45	3	15	0	0	120
PASSENGER	MOTIVE POWER	L	122484	26901	7157	2920	6021	1232	4	347	167066
PASSENGER	MOTIVE POWER	N	13	118	7	47	4	3	0	2	194
PASSENGER	MOTIVE POWER	P	29	4607	310	1886	246	114	0	16	7208
PASSENGER	MOTIVE POWER	V	61476	8709	1449	50	2782	242	1	34	74743
PASSENGER	MOTIVE POWER	OTHER	14	134	30	63	13	3	0	3	260
PASSENGER	BODY TYPE	CV	118016	104111	20154	12500	32798	2797	29	2586	292991
PASSENGER	BODY TYPE	DB	101	359	159	5	16	9	2	6	657
PASSENGER	BODY TYPE	MH	22645	41878	4470	2380	8445	1117	39	2823	83797
PASSENGER	BODY TYPE	SW	77276	25032	6638	11584	9003	856	1	557	130947
PASSENGER	BODY TYPE	SX	327	822	173	151	142	22	0	39	1676
PASSENGER	BODY TYPE	TY	2988008	1472278	241677	270831	294870	69900	181	29027	5366772
PASSENGER	BODY TYPE	VN	462641	1103140	114911	599553	208375	51573	33	20003	2560229
PASSENGER	BODY TYPE	2B	62114	408084	48954	240370	81788	16542	12	7900	865764
PASSENGER	BODY TYPE	2D	254192	2031296	284189	1196879	252372	86622	87	19520	4125157
PASSENGER	BODY TYPE	2W	387	24723	3303	14953	2851	1419	0	44	47680
PASSENGER	BODY TYPE	4B	506564	415444	72606	212186	85317	16692	11	5893	1314713
PASSENGER	BODY TYPE	4D	2293132	4418545	644203	2654794	635615	194846	205	76787	10918127
PASSENGER	BODY TYPE	4W	128017	485154	52870	290372	69585	22098	11	6380	1054487
PASSENGER	BODY TYPE	OTHER	0	540201	133207	97792	26186	1483	0	0	798869
PASSENGER	YEAR	2022	83975	1106	130	0	98	11	0	7	85327
PASSENGER	YEAR	2021	430762	18141	2093	7	2145	200	0	108	453456
PASSENGER	YEAR	2020	422696	74438	6849	54	10340	1343	0	192	515912
PASSENGER	YEAR	2019	517396	107603	13702	264	22622	2396	0	253	664236
PASSENGER	YEAR	2018	534711	123784	20208	724	27725	3608	2	389	711151
PASSENGER	YEAR	2017	543758	130465	24867	1553	36681	4562	0	487	742373
PASSENGER	YEAR	2016	486871	126611	24483	2451	35851	4406	30	575	681278
PASSENGER	YEAR	2015	489953	130948	27247	4155	35225	5084	42	707	693361
PASSENGER	YEAR	2014	425526	119687	27730	7391	32680	4552	16	907	618489
PASSENGER	YEAR	2013	420215	129398	33993	12269	33822	4968	21	1345	636031
PASSENGER	YEAR	2012	369730	124550	33181	17761	31686	4609	9	1753	583279
PASSENGER	YEAR	2011	325214	128471	33602	22176	30163	5430	9	2376	547441
PASSENGER	YEAR	2010	347718	154076	43743	31524	34393	6672	7	3558	621691
PASSENGER	YEAR	2009	262822	145176	42692	39353	32473	6617	11	4126	533270
PASSENGER	YEAR	2008	255644	202921	48524	56705	42288	9626	17	6364	622089
PASSENGER	YEAR	2007	222416	233004	54447	81670	42319	11017	24	8070	652967
PASSENGER	YEAR	2006	171090	232255	49463	95106	41150	11595	34	8812	609505
PASSENGER	YEAR	2005	131235	251980	49672	125141	39120	13326	44	9776	620294
PASSENGER	YEAR	2004	89248	237328	44304	122622	33878	12206	49	9529	549164
PASSENGER	YEAR	2003	76704	295129	51229	168333	44075	16587	37	12117	664211
PASSENGER	YEAR	2002	51667	307792	46004	189096	49803	18301	30	12135	674828
PASSENGER	YEAR	2001	33440	281458	41460	172801	55408	17240	36	10860	612703
PASSENGER	YEAR	2000	29032	302884	43211	199313	61933	19546	27	11439	667385
PASSENGER	YEAR	1999	19680	258066	33984	164422	54845	15274	13	9154	555438
PASSENGER	YEAR	1998	13938	267741	34029	172662	69413	12891	15	9021	579710
