VEHICLE_CLASS	PLATE-CLASS	VEH-DCL	REG-DCL	VAL-DCL	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
PASSENGER	   				0	5881573	1502473	5685624	1704302	439807	574	44810	15259163
PASSENGER	   		ARM		0	0	0	0	4	0	0	0	4
PASSENGER	   		CCA		0	592	11	2	48	1	0	0	654
PASSENGER	   		CDA		0	2618	46	0	571	9	1	1	3246
PASSENGER	   		CHS		0	161	61	3	17	33	0	0	275
PASSENGER	   		FDA		0	3483	1101	676	1172	577	0	1	7010
PASSENGER	   		IND		0	92	16	0	6	11	0	0	125
PASSENGER	   		NOR		0	286638	42503	33835	39925	46933	7	2358	452199
PASSENGER	   		ONA		0	2932	856	80	105	189	0	0	4162
PASSENGER	   		RDX		0	5	0	0	0	0	0	0	5
PASSENGER	   		STJ		0	2	0	0	0	0	0	1	3
PASSENGER	   		XOR		0	13	1	0	5	0	0	0	19
PASSENGER	   		XTR		0	898	5	1	135	6	0	1	1046
PASSENGER	CAN				0	1	0	0	0	0	0	0	1
PASSENGER	CAN		FDA		0	1	0	0	0	0	0	0	1
PASSENGER	CCA			CCA	0	10	0	0	0	0	0	0	10
PASSENGER	CCA		CCA	CCA	0	1	0	0	0	0	0	0	1
PASSENGER	CCA		NOR	CCA	0	2	0	0	0	0	0	0	2
PASSENGER	CCJ				3	22	0	0	0	0	0	0	25
PASSENGER	CCJ			NOR	0	1	0	0	0	0	0	0	1
PASSENGER	CCJ		NOR	NOR	0	1	0	0	0	0	0	0	1
PASSENGER	CCP				0	20	0	0	0	0	0	0	20
PASSENGER	CCP		CCA		305	435	0	0	0	0	0	1	741
PASSENGER	CCP		CDA		1	1	0	0	0	0	0	0	2
PASSENGER	CCP		NOR		0	1	0	0	0	0	0	0	1
PASSENGER	CDA				0	6	0	0	0	0	0	0	6
PASSENGER	CDP				2	6	0	0	0	0	0	0	8
PASSENGER	CDP		CCA		7	2	0	0	0	0	0	0	9
PASSENGER	CDP		CDA		1118	1181	0	0	0	0	0	3	2302
PASSENGER	COM				0	1	0	0	0	0	0	0	1
PASSENGER	DCO				7	3	0	0	0	0	0	0	10
PASSENGER	DSA				0	1247	0	0	0	0	0	0	1247
PASSENGER	DSA			NOR	0	13	0	0	0	0	0	0	13
PASSENGER	DSA			OGT	0	189	0	0	0	0	0	0	189
PASSENGER	DSA			PUO	0	1	0	0	0	0	0	0	1
PASSENGER	DSA		CHS		0	1	0	0	0	0	0	0	1
PASSENGER	DSA		NOR		0	11	0	0	0	0	0	0	11
PASSENGER	DSA		NOR	NOR	0	185	0	0	0	0	0	0	185
PASSENGER	DSA		NOR	NPU	0	1	0	0	0	0	0	0	1
PASSENGER	DSA		NOR	OGT	0	1	0	0	0	0	0	0	1
PASSENGER	EVE				94308	5448	0	0	0	0	0	57	99813
PASSENGER	EVE			NOR	7	3	0	0	0	0	0	0	10
PASSENGER	EVE		CCA	CCA	2	0	0	0	0	0	0	0	2
PASSENGER	EVE		CDA	CDA	1	0	0	0	0	0	0	0	1
PASSENGER	EVE		FDA		79	7	0	0	0	0	0	0	86
PASSENGER	EVE		IND		3	0	0	0	0	0	0	0	3
PASSENGER	EVE		NOR		12	8	0	0	0	0	0	0	20
PASSENGER	EVE		NOR	NOR	1253	76	0	0	0	0	0	0	1329
PASSENGER	EVE		ONA	ONA	104	0	0	0	0	0	0	0	104
PASSENGER	EVE		RDX		2	0	0	0	0	0	0	0	2
PASSENGER	EVF				648	50	0	0	0	0	0	0	698
PASSENGER	EVF		FDA		4	1	0	0	0	0	0	0	5
PASSENGER	EVF		NOR	NOR	29	0	0	0	0	0	0	0	29
PASSENGER	EVF		ONA	ONA	1	0	0	0	0	0	0	0	1
PASSENGER	FCJ				2	94	35	1	0	0	0	0	132
PASSENGER	FCJ		NOR		0	7	1	0	0	0	0	0	8
PASSENGER	FDA				0	36	0	0	0	0	0	0	36
PASSENGER	FDA			FDA	0	54	1	0	0	0	0	0	55
PASSENGER	FDA		FDA		63	87	0	0	0	0	0	0	150
PASSENGER	FDA		FDA	FDA	0	684	5	33	0	0	0	0	722
PASSENGER	FDA		FDA	OGT	0	19	0	0	0	0	0	0	19
PASSENGER	FDA		FDA	ONA	0	2	1	0	0	0	0	0	3
PASSENGER	FDA		ONA	FDA	0	1	0	0	0	0	0	0	1
PASSENGER	FDA		ONA	ONA	0	1	0	0	0	0	0	0	1
PASSENGER	HAM				452	172	0	0	0	0	0	1	625
PASSENGER	HAM			OGT	0	20	0	0	0	0	0	0	20
PASSENGER	HAM		NOR		1	1	0	0	0	0	0	0	2
PASSENGER	HAM		NOR	NOR	43	25	0	0	0	0	0	0	68
PASSENGER	HVA				35137	21794	16	0	0	1	0	664	57612
PASSENGER	HVA			CCA	1	0	0	0	0	0	0	0	1
PASSENGER	HVA		CHS		0	1	0	0	0	0	0	0	1
PASSENGER	HVA		NOR		307	330	1	0	0	0	0	9	647
PASSENGER	HVA		ONA	ONA	1	0	0	0	0	0	0	0	1
PASSENGER	HVA		XTR	XTR	1	0	0	0	0	0	0	0	1
PASSENGER	MDA				773	866	34	1	0	0	0	3	1677
PASSENGER	MDA			CCA	1	0	0	0	0	0	0	0	1
