WEIGHT_CLASS	KG_FROM	KG_TO	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
COMMERCIAL	0000	3000	1155476	982702	9822	189	1	74	3	33477	2181744
COMMERCIAL	3001	3500	40763	28056	278	6	0	3	0	1039	70145
COMMERCIAL	3501	4000	42473	22503	286	2	0	1	2	677	65944
COMMERCIAL	4001	4500	132424	41329	84	3	0	0	1	2323	176164
COMMERCIAL	4501	5000	5938	12401	242	5	0	0	0	360	18946
COMMERCIAL	5001	6000	10095	10233	105	2	0	2	0	465	20902
COMMERCIAL	6001	7000	12646	8867	123	0	0	0	0	403	22039
COMMERCIAL	7001	8000	7758	8756	194	1	0	1	0	434	17144
COMMERCIAL	8001	9000	17216	7942	150	0	0	0	0	508	25816
COMMERCIAL	9001	10000	7149	8725	148	0	0	0	0	522	16544
COMMERCIAL	10001	11000	30213	13442	165	0	1	2	0	664	44487
COMMERCIAL	11001	12000	2419	3899	87	0	0	0	0	179	6584
COMMERCIAL	12001	13000	1543	4816	224	0	0	4	0	97	6684
COMMERCIAL	13001	14000	1840	4588	121	0	0	0	0	103	6652
COMMERCIAL	14001	15000	7966	7911	186	0	2	0	0	255	16320
COMMERCIAL	15001	16000	3758	4345	38	0	0	0	0	87	8228
COMMERCIAL	16001	17000	2144	1631	15	0	0	0	0	55	3845
COMMERCIAL	17001	18000	2356	1621	14	0	0	0	0	74	4065
COMMERCIAL	18001	19000	1339	1179	19	0	0	0	0	44	2581
COMMERCIAL	19001	20000	3199	2487	23	0	0	1	0	138	5848
COMMERCIAL	20001	21000	818	1383	56	0	0	0	0	31	2288
COMMERCIAL	21001	22000	945	2547	77	0	0	0	0	53	3622
COMMERCIAL	22001	23000	982	3459	86	0	1	0	0	63	4591
COMMERCIAL	23001	24000	2054	2292	38	1	0	0	0	76	4461
COMMERCIAL	24001	25000	4982	3838	48	1	0	0	0	125	8994
COMMERCIAL	25001	26000	2216	2541	19	0	0	0	0	73	4849
COMMERCIAL	26001	27000	4872	2631	18	0	0	0	0	87	7608
COMMERCIAL	27001	28000	4559	3189	71	1	0	0	0	71	7891
COMMERCIAL	28001	29000	1801	1066	14	1	0	0	0	25	2907
COMMERCIAL	29001	30000	4944	3245	68	0	0	0	0	114	8371
COMMERCIAL	30001	31000	794	419	24	0	0	0	0	10	1247
COMMERCIAL	31001	32000	932	1038	27	0	0	0	0	26	2023
COMMERCIAL	32001	33000	787	907	22	0	0	0	0	30	1746
COMMERCIAL	33001	34000	777	930	43	0	1	0	0	27	1778
COMMERCIAL	34001	35000	2075	1681	25	0	2	0	0	79	3862
COMMERCIAL	35001	36000	6833	2177	4	0	0	0	0	128	9142
COMMERCIAL	36001	37000	12455	14234	200	0	1	0	0	115	27005
COMMERCIAL	37001	38000	5898	3403	40	0	0	0	0	55	9396
COMMERCIAL	38001	39000	2850	2336	49	0	0	0	0	17	5252
COMMERCIAL	39001	40000	22230	7999	63	0	0	0	0	116	30408
COMMERCIAL	40001	41000	1109	3008	75	0	0	0	0	11	4203
COMMERCIAL	41001	42000	2152	1214	21	0	0	0	0	7	3394
COMMERCIAL	42001	43000	573	867	15	0	0	0	0	3	1458
COMMERCIAL	43001	44000	829	622	36	0	0	0	0	9	1496
COMMERCIAL	44001	45000	3349	1381	4	0	0	0	0	40	4774
COMMERCIAL	45001	46000	1187	1588	41	0	0	0	0	9	2825
COMMERCIAL	46001	47000	1635	865	1	0	0	0	0	8	2509
COMMERCIAL	47001	48000	2038	589	4	0	0	0	0	4	2635
COMMERCIAL	48001	49000	681	659	15	0	0	0	0	4	1359
COMMERCIAL	49001	50000	6912	6968	111	0	3	0	0	58	14052
COMMERCIAL	50001	51000	410	684	20	0	0	0	0	0	1114
COMMERCIAL	51001	52000	1361	1444	45	1	0	0	0	6	2857
COMMERCIAL	52001	53000	962	2492	50	0	0	0	0	9	3513
COMMERCIAL	53001	54000	564	2611	8	0	0	0	0	8	3191
COMMERCIAL	54001	55000	1515	1402	45	0	0	0	0	16	2978
COMMERCIAL	55001	56000	650	595	16	0	0	0	0	13	1274
COMMERCIAL	56001	57000	294	1044	15	0	0	0	0	0	1353
COMMERCIAL	57001	58000	1215	2977	14	0	0	0	0	8	4214
COMMERCIAL	58001	59000	683	768	19	0	0	0	0	8	1478
COMMERCIAL	59001	60000	2121	1217	11	0	0	0	0	34	3383
COMMERCIAL	60001	61000	370	365	7	0	0	0	0	7	749
COMMERCIAL	61001	62000	640	734	23	0	0	0	0	12	1409
COMMERCIAL	62001	63000	1376	827	7	0	0	0	0	12	2222
COMMERCIAL	63001	63500	19732	5150	6	0	2	0	0	140	25030
COMMERCIAL	63501	99999	19	6	0	0	0	0	0	14	39
ROAD BUILDING MACHINERY	0000	3000	0	4	0	0	0	0	0	0	4
ROAD BUILDING MACHINERY	3001	3500	0	2	0	0	0	0	0	0	2
ROAD BUILDING MACHINERY	3501	4000	0	9	0	0	0	0	0	0	9
ROAD BUILDING MACHINERY	4001	4500	0	4	0	0	0	0	0	0	4
ROAD BUILDING MACHINERY	4501	5000	0	12	0	0	0	0	0	0	12
ROAD BUILDING MACHINERY	5001	6000	0	7	0	0	0	0	0	0	7
ROAD BUILDING MACHINERY	6001	7000	0	12	0	0	0	0	0	0	12
ROAD BUILDING MACHINERY	7001	8000	0	13	0	0	0	0	0	1	14
ROAD BUILDING MACHINERY	8001	9000	0	16	1	0	0	0	0	0	17
